Country,y,f,Total installed capacity (GW),Source
MAR,2020,COA,4.321,Coal
MAR,2020,GAS,1.33385,Natural Gas
MAR,2020,HFO,1.607708,Heavy Fuel Oil
MAR,2020,HYD,1.22087,Hydropower
MAR,2020,LFO,0.564507,Light Fuel Oil
MAR,2020,SOL,1.3040627,Solar
MAR,2020,WIN,1.0175999999999998,Wind
MAR,2021,BIO,0.1,Biomass
MAR,2021,COA,4.321,Coal
MAR,2021,GAS,1.2671575,Natural Gas
MAR,2021,HFO,1.5273226,Heavy Fuel Oil
MAR,2021,HYD,1.22087,Hydropower
MAR,2021,LFO,0.5562816500000001,Light Fuel Oil
MAR,2021,SOL,3.0520594,Solar
MAR,2021,WIN,1.22772,Wind
MAR,2022,BIO,0.2,Biomass
MAR,2022,COA,4.321,Coal
MAR,2022,GAS,1.200465,Natural Gas
MAR,2022,HFO,1.4469372,Heavy Fuel Oil
MAR,2022,HYD,1.22087,Hydropower
MAR,2022,LFO,0.5480563,Light Fuel Oil
MAR,2022,SOL,4.411295659687962,Solar
MAR,2022,WIN,1.68784,Wind
MAR,2023,BIO,0.3,Biomass
MAR,2023,COA,4.191750000000001,Coal
MAR,2023,GAS,1.1337725,Natural Gas
MAR,2023,HFO,1.3665518,Heavy Fuel Oil
MAR,2023,HYD,1.7033085435879662,Hydropower
MAR,2023,LFO,0.53983095,Light Fuel Oil
MAR,2023,SOL,5.159292359687963,Solar
MAR,2023,WIN,1.64796,Wind
MAR,2024,BIO,0.4,Biomass
MAR,2024,COA,4.0625,Coal
MAR,2024,GAS,1.06708,Natural Gas
MAR,2024,HFO,1.2861664,Heavy Fuel Oil
MAR,2024,HYD,1.82087,Hydropower
MAR,2024,LFO,0.5316056,Light Fuel Oil
MAR,2024,SOL,5.907289059687963,Solar
MAR,2024,WIN,1.85808,Wind
MAR,2025,BIO,0.5,Biomass
MAR,2025,COA,3.93325,Coal
MAR,2025,GAS,1.0003875,Natural Gas
MAR,2025,HFO,1.205781,Heavy Fuel Oil
MAR,2025,HYD,2.32087,Hydropower
MAR,2025,LFO,0.42338025,Light Fuel Oil
MAR,2025,SOL,6.655285759687962,Solar
MAR,2025,WIN,2.3182,Wind
MAR,2026,BIO,0.6,Biomass
MAR,2026,COA,3.804,Coal
MAR,2026,GAS,0.933695,Natural Gas
MAR,2026,HFO,1.1253956,Heavy Fuel Oil
MAR,2026,HYD,2.32087,Hydropower
MAR,2026,LFO,0.3151549,Light Fuel Oil
MAR,2026,SOL,7.416847965722655,Solar
MAR,2026,WIN,2.77832,Wind
MAR,2027,BIO,0.7,Biomass
MAR,2027,COA,3.67475,Coal
MAR,2027,GAS,1.1378571766963068,Natural Gas
MAR,2027,HFO,1.0450102,Heavy Fuel Oil
MAR,2027,HYD,2.32087,Hydropower
MAR,2027,LFO,0.20692955,Light Fuel Oil
MAR,2027,SOL,8.164844665722654,Solar
MAR,2027,WIN,2.9342177026353617,Wind
MAR,2028,BIO,0.7999999999999999,Biomass
MAR,2028,COA,3.5455000000000005,Coal
MAR,2028,GAS,1.5423738058317475,Natural Gas
MAR,2028,HFO,0.9646248,Heavy Fuel Oil
MAR,2028,HYD,2.32087,Hydropower
MAR,2028,LFO,0.0987042,Light Fuel Oil
MAR,2028,SOL,8.912841365722656,Solar
MAR,2028,WIN,3.116217459994096,Wind
MAR,2029,BIO,0.8999999999999999,Biomass
MAR,2029,COA,3.41625,Coal
MAR,2029,GAS,1.939353578140708,Natural Gas
MAR,2029,HFO,0.8842394,Heavy Fuel Oil
MAR,2029,HYD,2.32087,Hydropower
MAR,2029,LFO,0.09047885,Light Fuel Oil
MAR,2029,SOL,9.660838065722656,Solar
MAR,2029,WIN,3.3223922048133865,Wind
MAR,2030,BIO,1.0,Biomass
MAR,2030,COA,3.2870000000000004,Coal
MAR,2030,GAS,2.258521911214724,Natural Gas
MAR,2030,HFO,0.803854,Heavy Fuel Oil
MAR,2030,HYD,2.82087,Hydropower
MAR,2030,LFO,0.0822535,Light Fuel Oil
MAR,2030,SOL,10.408834765722656,Solar
MAR,2030,WIN,3.5325122048133863,Wind
