Country,y,f,Total installed capacity (GW),Source
MRT,2020,HFO,0.423034,Heavy Fuel Oil
MRT,2020,HYD,0.0689999999999999,Hydropower
MRT,2020,LFO,0.0475917864529775,Light Fuel Oil
MRT,2020,SOL,0.1012884851558554,Solar
MRT,2020,WIN,0.0344,Wind
MRT,2021,HFO,0.4085623,Heavy Fuel Oil
MRT,2021,HYD,0.0689999999999999,Hydropower
MRT,2021,LFO,0.0458797364529775,Light Fuel Oil
MRT,2021,SOL,0.1558639109708769,Solar
MRT,2021,WIN,0.0468653516577272,Wind
MRT,2022,HFO,0.3940906,Heavy Fuel Oil
MRT,2022,HYD,0.0689999999999999,Hydropower
MRT,2022,LFO,0.0441676864529775,Light Fuel Oil
MRT,2022,SOL,0.2007009991234949,Solar
MRT,2022,WIN,0.0466453516577272,Wind
MRT,2023,HFO,0.3796189,Heavy Fuel Oil
MRT,2023,HYD,0.0689999999999999,Hydropower
MRT,2023,LFO,0.0424556364529775,Light Fuel Oil
MRT,2023,SOL,0.1998409991234949,Solar
MRT,2023,WIN,0.0464253516577272,Wind
MRT,2024,GAS,0.3618786402422596,Natural Gas
MRT,2024,HFO,0.3651472,Heavy Fuel Oil
MRT,2024,HYD,0.1225522026689585,Hydropower
MRT,2024,LFO,0.0407435864529775,Light Fuel Oil
MRT,2024,SOL,0.2196054854327326,Solar
MRT,2024,WIN,0.0462053516577272,Wind
MRT,2025,GAS,0.368847231383635,Natural Gas
MRT,2025,HFO,0.3506755,Heavy Fuel Oil
MRT,2025,HYD,0.1289999999999997,Hydropower
MRT,2025,LFO,0.039031481383172,Light Fuel Oil
MRT,2025,SOL,0.2319031207455767,Solar
MRT,2025,WIN,0.0641374271370464,Wind
MRT,2026,GAS,0.368847231383635,Natural Gas
MRT,2026,HFO,0.3362038,Heavy Fuel Oil
MRT,2026,HYD,0.1289999999999997,Hydropower
MRT,2026,LFO,0.0315399304081469,Light Fuel Oil
MRT,2026,SOL,0.2589472600635581,Solar
MRT,2026,WIN,0.0693067452006662,Wind
MRT,2027,GAS,0.368847231383635,Natural Gas
MRT,2027,HFO,0.3217320999999999,Heavy Fuel Oil
MRT,2027,HYD,0.1289999999999997,Hydropower
MRT,2027,LFO,0.025249730626592,Light Fuel Oil
MRT,2027,SOL,0.2798391819841649,Solar
MRT,2027,WIN,0.0690867452006662,Wind
MRT,2028,GAS,0.368847231383635,Natural Gas
MRT,2028,HFO,0.3072604,Heavy Fuel Oil
MRT,2028,HYD,0.1289999999999997,Hydropower
MRT,2028,LFO,0.0205446,Light Fuel Oil
MRT,2028,SOL,0.3135536321008912,Solar
MRT,2028,WIN,0.0688667452006662,Wind
MRT,2029,GAS,0.3995628347318242,Natural Gas
MRT,2029,HFO,0.2927887,Heavy Fuel Oil
MRT,2029,HYD,0.1289999999999997,Hydropower
MRT,2029,LFO,0.01883255,Light Fuel Oil
MRT,2029,SOL,0.3953438843043734,Solar
MRT,2029,WIN,0.0686467452006662,Wind
MRT,2030,GAS,0.3995628347318242,Natural Gas
MRT,2030,HFO,0.278317,Heavy Fuel Oil
MRT,2030,HYD,0.1289999999999997,Hydropower
MRT,2030,LFO,0.0171205,Light Fuel Oil
MRT,2030,SOL,0.5189690850406455,Solar
MRT,2030,WIN,0.0684267452006662,Wind
