Country,y,f,Total installed capacity (GW),Source
NGA,2020,BIO,0.0077,Biomass
NGA,2020,GAS,8.045564606191135,Natural Gas
NGA,2020,HFO,1.658497,Heavy Fuel Oil
NGA,2020,HYD,3.0408,Hydropower
NGA,2020,LFO,0.359774,Light Fuel Oil
NGA,2020,SOL,0.0172974,Solar
NGA,2020,WIN,0.016175,Wind
NGA,2021,BIO,0.007315,Biomass
NGA,2021,GAS,8.758677056191136,Natural Gas
NGA,2021,HFO,1.58357215,Heavy Fuel Oil
NGA,2021,HYD,3.0408,Hydropower
NGA,2021,LFO,0.3517853,Light Fuel Oil
NGA,2021,SOL,0.0458572490975807,Solar
NGA,2021,WIN,0.015875,Wind
NGA,2022,BIO,0.00693,Biomass
NGA,2022,COA,0.6,Coal
NGA,2022,GAS,9.471789506191136,Natural Gas
NGA,2022,HFO,1.5086473,Heavy Fuel Oil
NGA,2022,HYD,3.0408,Hydropower
NGA,2022,LFO,0.3437966,Light Fuel Oil
NGA,2022,SOL,0.0930763154884773,Solar
NGA,2022,WIN,0.0155749999999999,Wind
NGA,2023,BIO,0.006545,Biomass
NGA,2023,COA,1.2,Coal
NGA,2023,GAS,9.936873514777512,Natural Gas
NGA,2023,HFO,1.43372245,Heavy Fuel Oil
NGA,2023,HYD,3.7908,Hydropower
NGA,2023,LFO,0.3358079,Light Fuel Oil
NGA,2023,SOL,0.1266811903466663,Solar
NGA,2023,WIN,0.015275,Wind
NGA,2024,BIO,0.1934953374686372,Biomass
NGA,2024,COA,3.4052355760865183,Coal
NGA,2024,GAS,9.649985964777514,Natural Gas
NGA,2024,HFO,1.3587976,Heavy Fuel Oil
NGA,2024,HYD,4.3308,Hydropower
NGA,2024,LFO,0.3278192,Light Fuel Oil
NGA,2024,SOL,0.146011894418071,Solar
NGA,2024,WIN,0.0149749999999999,Wind
NGA,2025,BIO,0.2418482853297436,Biomass
NGA,2025,COA,4.589392778042629,Coal
NGA,2025,GAS,9.363098414777513,Natural Gas
NGA,2025,HFO,1.28387275,Heavy Fuel Oil
NGA,2025,HYD,5.0808,Hydropower
NGA,2025,LFO,0.3198305,Light Fuel Oil
NGA,2025,SOL,0.3489689458336056,Solar
NGA,2025,WIN,0.014675,Wind
NGA,2026,BIO,0.2414632853297436,Biomass
NGA,2026,COA,5.767325392955271,Coal
NGA,2026,GAS,9.076210864777511,Natural Gas
NGA,2026,HFO,1.2089479,Heavy Fuel Oil
NGA,2026,HYD,5.8308,Hydropower
NGA,2026,LFO,0.3118418,Light Fuel Oil
NGA,2026,SOL,0.8481663458336057,Solar
NGA,2026,WIN,0.0143749999999999,Wind
NGA,2027,BIO,0.2410782853297436,Biomass
NGA,2027,COA,5.767325392955271,Coal
NGA,2027,GAS,9.537132276888666,Natural Gas
NGA,2027,HFO,1.13402305,Heavy Fuel Oil
NGA,2027,HYD,6.5808,Hydropower
NGA,2027,LFO,0.2038531,Light Fuel Oil
NGA,2027,SOL,0.9239373776652018,Solar
NGA,2027,WIN,0.014075,Wind
NGA,2028,BIO,0.2406932853297436,Biomass
NGA,2028,COA,5.767325392955271,Coal
NGA,2028,GAS,10.039844697995044,Natural Gas
NGA,2028,HFO,1.0590982,Heavy Fuel Oil
NGA,2028,HYD,7.310575443701151,Hydropower
NGA,2028,LFO,0.0958644,Light Fuel Oil
NGA,2028,SOL,1.1827278461890425,Solar
NGA,2028,WIN,0.0137749999999999,Wind
NGA,2029,BIO,0.2403082853297436,Biomass
NGA,2029,COA,5.767325392955271,Coal
NGA,2029,GAS,10.033549531624653,Natural Gas
NGA,2029,HFO,0.98417335,Heavy Fuel Oil
NGA,2029,HYD,7.816428233031234,Hydropower
NGA,2029,LFO,0.0878757,Light Fuel Oil
NGA,2029,SOL,1.3501834730520657,Solar
NGA,2029,WIN,0.013475,Wind
NGA,2030,BIO,0.2399232853297436,Biomass
NGA,2030,COA,6.065569607072505,Coal
NGA,2030,GAS,9.746661981624651,Natural Gas
NGA,2030,HFO,0.9092485,Heavy Fuel Oil
NGA,2030,HYD,8.273977044068268,Hydropower
NGA,2030,LFO,0.079887,Light Fuel Oil
NGA,2030,SOL,1.5019793885810568,Solar
NGA,2030,WIN,0.013175,Wind
