Country,y,f,Total installed capacity (GW),Source
SOM,2020,LFO,0.136543978028909,Light Fuel Oil
SOM,2020,SOL,0.0715397238006946,Solar
SOM,2020,WIN,0.004,Wind
SOM,2021,LFO,0.135761978028909,Light Fuel Oil
SOM,2021,SOL,0.0714897238006946,Solar
SOM,2021,WIN,0.1768882314882801,Wind
SOM,2022,LFO,0.134979978028909,Light Fuel Oil
SOM,2022,SOL,0.0714397238006946,Solar
SOM,2022,WIN,0.2142952909431172,Wind
SOM,2023,COA,0.0517087365673373,Coal
SOM,2023,LFO,0.1341979780289089,Light Fuel Oil
SOM,2023,SOL,0.0713897238006946,Solar
SOM,2023,WIN,0.2141952909431172,Wind
SOM,2024,COA,0.0517087365673373,Coal
SOM,2024,LFO,0.133415978028909,Light Fuel Oil
SOM,2024,SOL,0.0713397238006945,Solar
SOM,2024,WIN,0.256201899864384,Wind
SOM,2025,COA,0.0517087365673373,Coal
SOM,2025,GAS,0.0491044696008659,Natural Gas
SOM,2025,LFO,0.0348834650138926,Light Fuel Oil
SOM,2025,SOL,0.0712897238006946,Solar
SOM,2025,WIN,0.256101899864384,Wind
SOM,2026,COA,0.0517087365673373,Coal
SOM,2026,GAS,0.061071946386276,Natural Gas
SOM,2026,LFO,0.0341014650138926,Light Fuel Oil
SOM,2026,SOL,0.0712397238006946,Solar
SOM,2026,WIN,0.2863903335324688,Wind
SOM,2027,COA,0.0517087365673373,Coal
SOM,2027,GAS,0.0725042513735951,Natural Gas
SOM,2027,LFO,0.0333194650138926,Light Fuel Oil
SOM,2027,SOL,0.0847074167473508,Solar
SOM,2027,WIN,0.3131986464597491,Wind
SOM,2028,COA,0.0517087365673373,Coal
SOM,2028,GAS,0.09376407506942,Natural Gas
SOM,2028,LFO,0.009384,Light Fuel Oil
SOM,2028,SOL,0.1096810414166784,Solar
SOM,2028,WIN,0.3394513746844407,Wind
SOM,2029,COA,0.0517087365673373,Coal
SOM,2029,GAS,0.0957855362000102,Natural Gas
SOM,2029,LFO,0.008602,Light Fuel Oil
SOM,2029,SOL,0.1471467779169011,Solar
SOM,2029,WIN,0.3593995412930572,Wind
SOM,2030,COA,0.0517087365673373,Coal
SOM,2030,GAS,0.0959481602003499,Natural Gas
SOM,2030,LFO,0.00782,Light Fuel Oil
SOM,2030,SOL,0.2006894468135492,Solar
SOM,2030,WIN,0.3592995412930572,Wind
