Country,y,f,Total annual demand (GWh),Demand type
BFA,2020.0,EL3E,1657.9444457708,Current electrified
BFA,2021.0,EL3E,1700.1666680268,Current electrified
BFA,2021.0,EL3U,56.7222222676,New electrified
BFA,2022.0,EL3E,1738.194445835,Current electrified
BFA,2022.0,EL3U,113.4166667574,New electrified
BFA,2023.0,EL3E,1772.3888903067998,Current electrified
BFA,2023.0,EL3U,170.13888902500003,New electrified
BFA,2024.0,EL3E,1803.5277792206,Current electrified
BFA,2024.0,EL3U,226.8611112926,New electrified
BFA,2025.0,EL3E,1898.8333348524,Current electrified
BFA,2025.0,EL3U,283.5555557824,New electrified
BFA,2026.0,EL3E,1995.3333349296,Current electrified
BFA,2026.0,EL3U,340.27777805000005,New electrified
BFA,2027.0,EL3E,2093.0833350078,Current electrified
BFA,2027.0,EL3U,362.1388891786,New electrified
BFA,2028.0,EL3E,2191.8888906424004,Current electrified
BFA,2028.0,EL3U,384.027778085,New electrified
BFA,2029.0,EL3E,2291.6111129444,Current electrified
BFA,2029.0,EL3U,405.9166669914,New electrified
BFA,2030.0,EL3E,2406.7222241476,Current electrified
BFA,2030.0,EL3U,427.7777781200001,New electrified
BFA,2020.0,MLIEL1,735.3888894772001,Exports (MLI)
BFA,2021.0,MLIEL1,836.1944451134,Exports (MLI)
BFA,2022.0,MLIEL1,1143.0277786922,Exports (MLI)
BFA,2028.0,MLIEL1,116.9722223158,Exports (MLI)
BFA,2029.0,MLIEL1,158.8333334604,Exports (MLI)
BFA,2030.0,MLIEL1,5.694444449000001,Exports (MLI)
