Country,y,f,Total annual demand (GWh),Demand type
JOR,2020.0,EGYDEL,2496.6111131084003,Exports (EGY)
JOR,2021.0,EGYDEL,786.6111117404,Exports (EGY)
JOR,2022.0,EGYDEL,2496.6111131084003,Exports (EGY)
JOR,2023.0,EGYDEL,2496.6111131084003,Exports (EGY)
JOR,2024.0,EGYDEL,2496.6111131084003,Exports (EGY)
JOR,2025.0,EGYDEL,2496.6111131084003,Exports (EGY)
JOR,2026.0,EGYDEL,2496.6111131084003,Exports (EGY)
JOR,2027.0,EGYDEL,2496.6111131084003,Exports (EGY)
JOR,2028.0,EGYDEL,2496.6111131084003,Exports (EGY)
JOR,2029.0,EGYDEL,2496.6111131084003,Exports (EGY)
JOR,2030.0,EGYDEL,2496.6111131084003,Exports (EGY)
