Country,y,f,Total annual demand (GWh),Demand type
LBR,2020.0,EL3E,317.1944446982001,Current electrified
LBR,2021.0,EL3E,325.277778038,Current electrified
LBR,2021.0,EL3U,156.0277779026,New electrified
LBR,2022.0,EL3E,332.5555558216,Current electrified
LBR,2022.0,EL3U,312.0277780274,New electrified
LBR,2023.0,EL3E,339.0833336046,Current electrified
LBR,2023.0,EL3U,468.05555593,New electrified
LBR,2024.0,EL3E,345.02777805380003,Current electrified
LBR,2024.0,EL3U,624.0833338326,New electrified
LBR,2025.0,EL3E,363.2777780684,Current electrified
LBR,2025.0,EL3U,780.0833339574,New electrified
LBR,2026.0,EL3E,381.7222225276,Current electrified
LBR,2026.0,EL3U,936.11111186,New electrified
LBR,2027.0,EL3E,400.4444447648,Current electrified
LBR,2027.0,EL3U,980.277778562,New electrified
LBR,2028.0,EL3E,419.3611114466,Current electrified
LBR,2028.0,EL3U,1024.444445264,New electrified
LBR,2029.0,EL3E,438.4444447952,Current electrified
LBR,2029.0,EL3U,1068.611111966,New electrified
LBR,2030.0,EL3E,460.4444448128,Current electrified
LBR,2030.0,EL3U,1112.777778668,New electrified
LBR,2020.0,CIVEL1,986.4722230114,Exports (CIV)
LBR,2021.0,CIVEL1,456.25000036500006,Exports (CIV)
LBR,2022.0,CIVEL1,217.9722223966,Exports (CIV)
LBR,2022.0,GINEL1,1.6666666680000002,Exports (GIN)
LBR,2022.0,SLEEL1,39.111111142400006,Exports (SLE)
LBR,2023.0,CIVEL1,744.1111117064,Exports (CIV)
LBR,2024.0,CIVEL1,326.8888891504,Exports (CIV)
LBR,2026.0,CIVEL1,400.1111114312,Exports (CIV)
LBR,2027.0,CIVEL1,755.972222827,Exports (CIV)
LBR,2028.0,CIVEL1,224.6388890686,Exports (CIV)
LBR,2029.0,CIVEL1,83.4444445112,Exports (CIV)
LBR,2030.0,CIVEL1,3.9722222254,Exports (CIV)
