Country,y,f,Total annual demand (GWh),Demand type
NGA,2020.0,EL3E,24460.583352901805,Current electrified
NGA,2021.0,EL3E,27073.3611327698,Current electrified
NGA,2021.0,EL3U,9619.444452140002,New electrified
NGA,2022.0,EL3E,27242.6944662386,Current electrified
NGA,2022.0,EL3U,19238.888904280004,New electrified
NGA,2023.0,EL3E,27372.472244120203,Current electrified
NGA,2023.0,EL3U,28858.33335642,New electrified
NGA,2024.0,EL3E,27460.777799746404,Current electrified
NGA,2024.0,EL3U,38477.77780856001,New electrified
NGA,2025.0,EL3E,27504.944466448404,Current electrified
NGA,2025.0,EL3U,48097.2222607,New electrified
NGA,2026.0,EL3E,28161.472244751403,Current electrified
NGA,2026.0,EL3U,57716.66671284,New electrified
NGA,2027.0,EL3E,28771.5000230172,Current electrified
NGA,2027.0,EL3U,60705.000048564005,New electrified
NGA,2028.0,EL3E,29335.72224569081,Current electrified
NGA,2028.0,EL3U,63693.333384288,New electrified
NGA,2029.0,EL3E,29854.138912772203,Current electrified
NGA,2029.0,EL3U,66681.666720012,New electrified
NGA,2030.0,EL3E,30327.083357595,Current electrified
NGA,2030.0,EL3U,69670.000055736,New electrified
NGA,2020.0,BENEL1,572.777778236,Exports (BEN)
NGA,2020.0,NEREL1,1034.9166674946,Exports (NER)
NGA,2021.0,NEREL1,1200.0277787378,Exports (NER)
NGA,2022.0,BENEL1,524.2777781972001,Exports (BEN)
NGA,2022.0,NEREL1,1233.3333343200002,Exports (NER)
NGA,2023.0,BENEL1,172.66666680480003,Exports (BEN)
NGA,2023.0,NEREL1,1182.1666676124,Exports (NER)
NGA,2024.0,NEREL1,251.1944446454,Exports (NER)
NGA,2025.0,NEREL1,43.333333368000005,Exports (NER)
NGA,2027.0,BENEL1,3232.083335919,Exports (BEN)
NGA,2027.0,NEREL1,50.555555596,Exports (NER)
NGA,2028.0,BENEL1,5708.888893456,Exports (BEN)
NGA,2028.0,NEREL1,1686.6944457938,Exports (NER)
NGA,2029.0,BENEL1,5618.5277822726,Exports (BEN)
NGA,2029.0,NEREL1,1810.1111125592,Exports (NER)
NGA,2030.0,BENEL1,4961.0555595244,Exports (BEN)
NGA,2030.0,NEREL1,1572.2777790356,Exports (NER)
