Country,y,f,Total annual demand (GWh),Demand type
SEN,2020.0,EL3E,4251.888892290401,Current electrified
SEN,2021.0,EL3E,4518.9444480596,Current electrified
SEN,2021.0,EL3U,160.8888890176,New electrified
SEN,2022.0,EL3E,4716.0000037728,Current electrified
SEN,2022.0,EL3U,321.7500002574,New electrified
SEN,2023.0,EL3E,4912.2500039298,Current electrified
SEN,2023.0,EL3U,482.63888927500005,New electrified
SEN,2024.0,EL3E,5107.638892975,Current electrified
SEN,2024.0,EL3U,643.5277782926,New electrified
SEN,2025.0,EL3E,5302.083337575,Current electrified
SEN,2025.0,EL3U,804.3888895324001,New electrified
SEN,2026.0,EL3E,5512.638893298999,Current electrified
SEN,2026.0,EL3U,965.27777855,New electrified
SEN,2027.0,EL3E,5722.083337911,Current electrified
SEN,2027.0,EL3U,1015.138889701,New electrified
SEN,2028.0,EL3E,5930.472226966601,Current electrified
SEN,2028.0,EL3U,1065.000000852,New electrified
SEN,2029.0,EL3E,6137.7500049102,Current electrified
SEN,2029.0,EL3U,1114.861112003,New electrified
SEN,2030.0,EL3E,6343.888893964,Current electrified
SEN,2030.0,EL3U,1164.722223154,New electrified
SEN,2020.0,GINEL1,123.750000099,Exports (GIN)
SEN,2020.0,MLIEL1,2738.7777799688,Exports (MLI)
SEN,2021.0,GMBEL1,135.9444445532,Exports (GMB)
SEN,2021.0,MLIEL1,2602.1666687484003,Exports (MLI)
SEN,2022.0,GMBEL1,86.9722222918,Exports (GMB)
SEN,2022.0,MLIEL1,2355.1666685508003,Exports (MLI)
SEN,2023.0,MLIEL1,2738.7777799688,Exports (MLI)
SEN,2024.0,MLIEL1,2620.2222243184,Exports (MLI)
SEN,2025.0,MLIEL1,2217.777779552,Exports (MLI)
SEN,2026.0,MLIEL1,2738.7777799688,Exports (MLI)
SEN,2027.0,MLIEL1,2738.7777799688,Exports (MLI)
SEN,2028.0,MLIEL1,2629.583335437,Exports (MLI)
SEN,2029.0,MLIEL1,2738.7777799688,Exports (MLI)
SEN,2030.0,MLIEL1,2545.8611131478,Exports (MLI)
