Country,y,f,Total annual demand (GWh),Demand type
SSD,2020.0,EL3E,471.13888926580006,Current electrified
SSD,2021.0,EL3E,483.16666705320006,Current electrified
SSD,2021.0,EL3U,5.9166666714,New electrified
SSD,2022.0,EL3E,493.9444448396,Current electrified
SSD,2022.0,EL3U,11.8611111206,New electrified
SSD,2023.0,EL3E,503.66666706960007,Current electrified
SSD,2023.0,EL3U,17.777777792000002,New electrified
SSD,2024.0,EL3E,512.5277781878,Current electrified
SSD,2024.0,EL3U,23.6944444634,New electrified
SSD,2025.0,EL3E,539.6111115428,Current electrified
SSD,2025.0,EL3U,29.6388889126,New electrified
SSD,2026.0,EL3E,567.0555560092,Current electrified
SSD,2026.0,EL3U,35.555555584000004,New electrified
SSD,2027.0,EL3E,594.8055560314001,Current electrified
SSD,2027.0,EL3U,38.750000031000006,New electrified
SSD,2028.0,EL3E,622.916667165,Current electrified
SSD,2028.0,EL3U,41.944444478,New electrified
SSD,2029.0,EL3E,651.2222227432,Current electrified
SSD,2029.0,EL3U,45.138888925,New electrified
SSD,2030.0,EL3E,683.9444449916001,Current electrified
SSD,2030.0,EL3U,48.333333372,New electrified
