Country,y,f,Total annual demand (GWh),Demand type
SWZ,2020.0,EL3E,1985.1944460326,Current electrified
SWZ,2021.0,EL3E,2318.9166685218,Current electrified
SWZ,2021.0,EL3U,21.4722222394,New electrified
SWZ,2022.0,EL3E,2691.8611132646,Current electrified
SWZ,2022.0,EL3U,42.972222256600006,New electrified
SWZ,2023.0,EL3E,3107.6666691528003,Current electrified
SWZ,2023.0,EL3U,64.444444496,New electrified
SWZ,2024.0,EL3E,3571.4166695238,Current electrified
SWZ,2024.0,EL3U,85.91666673540001,New electrified
SWZ,2025.0,EL3E,4010.3611143194,Current electrified
SWZ,2025.0,EL3U,107.4166667526,New electrified
SWZ,2026.0,EL3E,4492.0000035936,Current electrified
SWZ,2026.0,EL3U,128.888888992,New electrified
SWZ,2027.0,EL3E,5018.861115126199,Current electrified
SWZ,2027.0,EL3U,137.00000010960002,New electrified
SWZ,2028.0,EL3E,5594.2222266976,Current electrified
SWZ,2028.0,EL3U,145.138889005,New electrified
SWZ,2029.0,EL3E,6221.722227199601,Current electrified
SWZ,2029.0,EL3U,153.2777779004,New electrified
SWZ,2030.0,EL3E,6838.1666721372,Current electrified
SWZ,2030.0,EL3U,161.388889018,New electrified
SWZ,2026.0,MOZEL1,220.3333335096,Exports (MOZ)
SWZ,2027.0,MOZEL1,305.1666669108,Exports (MOZ)
SWZ,2027.0,ZAFEL1,10.2222222304,Exports (ZAF)
SWZ,2028.0,MOZEL1,205.6666668312,Exports (MOZ)
SWZ,2029.0,MOZEL1,30.5277778022,Exports (MOZ)
SWZ,2029.0,ZAFEL1,305.6666669112,Exports (ZAF)
SWZ,2030.0,ZAFEL1,2112.3055572454,Exports (ZAF)
