Country,y,f,Total annual demand (GWh),Demand type
ZAF,2020.0,EL3E,214397.33350485124,Current electrified
ZAF,2021.0,EL3E,218009.9168410746,Current electrified
ZAF,2021.0,EL3U,2346.4722240994,New electrified
ZAF,2022.0,EL3E,225143.91684678185,Current electrified
ZAF,2022.0,EL3U,4692.9444481988,New electrified
ZAF,2023.0,EL3E,232185.8890746376,Current electrified
ZAF,2023.0,EL3U,7039.4166722982,New electrified
ZAF,2024.0,EL3E,239143.4446357592,Current electrified
ZAF,2024.0,EL3U,9385.8888963976,New electrified
ZAF,2025.0,EL3E,246028.7779746008,Current electrified
ZAF,2025.0,EL3U,11732.361120497,New electrified
ZAF,2026.0,EL3E,251113.80575644656,Current electrified
ZAF,2026.0,EL3U,14078.8333445964,New electrified
ZAF,2027.0,EL3E,256137.63909379905,Current electrified
ZAF,2027.0,EL3U,14350.527789258202,New electrified
ZAF,2028.0,EL3E,261098.63909776785,Current electrified
ZAF,2028.0,EL3U,14622.222233920002,New electrified
ZAF,2029.0,EL3E,265999.583546133,Current electrified
ZAF,2029.0,EL3U,14893.9166785818,New electrified
ZAF,2030.0,EL3E,270843.333550008,Current electrified
ZAF,2030.0,EL3U,15165.6111232436,New electrified
ZAF,2020.0,LSOEL1,823.1666673252,Exports (LSO)
ZAF,2020.0,MOZEL1,5544.5833377690005,Exports (MOZ)
ZAF,2020.0,NAMEL1,3841.9166697402,Exports (NAM)
ZAF,2020.0,SWZEL1,1803.6944458874,Exports (SWZ)
ZAF,2021.0,BWAEL1,308.0000002464,Exports (BWA)
ZAF,2021.0,LSOEL1,1052.3333341752002,Exports (LSO)
ZAF,2021.0,MOZEL1,5887.138893598601,Exports (MOZ)
ZAF,2021.0,NAMEL1,4966.0277817506,Exports (NAM)
ZAF,2021.0,SWZEL1,2208.1388906554,Exports (SWZ)
ZAF,2022.0,BWAEL1,3273.6666692856,Exports (BWA)
ZAF,2022.0,LSOEL1,1301.4722232634,Exports (LSO)
ZAF,2022.0,MOZEL1,3994.250003195401,Exports (MOZ)
ZAF,2022.0,NAMEL1,5841.4444491176,Exports (NAM)
ZAF,2022.0,SWZEL1,2656.6388910142,Exports (SWZ)
ZAF,2023.0,BWAEL1,4572.0000036576,Exports (BWA)
ZAF,2023.0,LSOEL1,1538.1388901194,Exports (LSO)
ZAF,2023.0,MOZEL1,7284.277783605201,Exports (MOZ)
ZAF,2023.0,NAMEL1,5858.055560242,Exports (NAM)
ZAF,2023.0,SWZEL1,3152.6111136332,Exports (SWZ)
ZAF,2023.0,ZWEEL1,659.1666671940001,Exports (ZWE)
ZAF,2024.0,BWAEL1,4163.750003331,Exports (BWA)
ZAF,2024.0,LSOEL1,1575.8888901496,Exports (LSO)
ZAF,2024.0,MOZEL1,6329.583338397,Exports (MOZ)
ZAF,2024.0,NAMEL1,6241.5000049932005,Exports (NAM)
ZAF,2024.0,SWZEL1,3701.8333362948,Exports (SWZ)
ZAF,2024.0,ZWEEL1,5.1666666708,Exports (ZWE)
ZAF,2025.0,BWAEL1,3987.638892079,Exports (BWA)
ZAF,2025.0,LSOEL1,1583.5000012668,Exports (LSO)
ZAF,2025.0,MOZEL1,2526.9722242438,Exports (MOZ)
ZAF,2025.0,NAMEL1,4022.0000032176,Exports (NAM)
ZAF,2025.0,SWZEL1,2726.1944466254,Exports (SWZ)
ZAF,2026.0,BWAEL1,2772.5277799958,Exports (BWA)
ZAF,2026.0,LSOEL1,1608.9722235094,Exports (LSO)
ZAF,2026.0,MOZEL1,3157.5555580816003,Exports (MOZ)
ZAF,2026.0,NAMEL1,4039.8888921208,Exports (NAM)
ZAF,2027.0,BWAEL1,2470.555557532,Exports (BWA)
ZAF,2027.0,LSOEL1,1650.6111124316,Exports (LSO)
ZAF,2027.0,MOZEL1,636.1944449534,Exports (MOZ)
ZAF,2027.0,NAMEL1,4005.6388920934,Exports (NAM)
ZAF,2028.0,BWAEL1,2711.2222243912,Exports (BWA)
ZAF,2028.0,LSOEL1,1645.83333465,Exports (LSO)
ZAF,2028.0,NAMEL1,4152.500003322,Exports (NAM)
ZAF,2029.0,BWAEL1,2483.750001987,Exports (BWA)
ZAF,2029.0,LSOEL1,1571.6666679240002,Exports (LSO)
ZAF,2029.0,NAMEL1,4117.4722255162005,Exports (NAM)
ZAF,2030.0,BWAEL1,2248.3611129098,Exports (BWA)
ZAF,2030.0,LSOEL1,1407.1944455702,Exports (LSO)
ZAF,2030.0,NAMEL1,3900.9444475652,Exports (NAM)
