Country,y,f,Total annual production (GWh),Source
CIV,2020.0,HFO,67.52777783180001,Heavy Fuel Oil
CIV,2020.0,HYD,2422.9444463828,Hydropower
CIV,2020.0,Imports (GHA),2721.3055577326,Imports (GHA)
CIV,2020.0,Imports (LBR),986.4722230114,Imports (LBR)
CIV,2020.0,LFO,327.2500002618,Light Fuel Oil
CIV,2020.0,NGA,7202.555561317601,Natural Gas
CIV,2020.0,SOL,5.4444444488,Solar
CIV,2021.0,HFO,64.1388889402,Heavy Fuel Oil
CIV,2021.0,HYD,2422.9444463828,Hydropower
CIV,2021.0,Imports (GHA),2721.3055577326,Imports (GHA)
CIV,2021.0,Imports (LBR),456.25000036500006,Imports (LBR)
CIV,2021.0,LFO,320.7222224788,Light Fuel Oil
CIV,2021.0,NGA,9786.4444522736,Natural Gas
CIV,2021.0,SOL,5.2222222264,Solar
CIV,2022.0,BIO,181.6944445898,Biomass
CIV,2022.0,HFO,60.7777778264,Heavy Fuel Oil
CIV,2022.0,HYD,2422.9444463828,Hydropower
CIV,2022.0,Imports (GHA),2316.6388907422,Imports (GHA)
CIV,2022.0,Imports (LBR),217.9722223966,Imports (LBR)
CIV,2022.0,LFO,306.4444446896,Light Fuel Oil
CIV,2022.0,NGA,11837.8611205814,Natural Gas
CIV,2022.0,SOL,5.000000003999999,Solar
CIV,2023.0,BIO,181.6944445898,Biomass
CIV,2023.0,HFO,57.3888889348,Heavy Fuel Oil
CIV,2023.0,HYD,2627.0277798794,Hydropower
CIV,2023.0,Imports (LBR),744.1111117064,Imports (LBR)
CIV,2023.0,LFO,292.19444467820006,Light Fuel Oil
CIV,2023.0,NGA,11695.666676023202,Natural Gas
CIV,2023.0,SOL,4.7777777816,Solar
CIV,2024.0,BIO,181.6944445898,Biomass
CIV,2024.0,HFO,54.0000000432,Heavy Fuel Oil
CIV,2024.0,HYD,4452.4166702286,Hydropower
CIV,2024.0,Imports (LBR),326.8888891504,Imports (LBR)
CIV,2024.0,LFO,277.9444446668,Light Fuel Oil
CIV,2024.0,NGA,11553.4166759094,Natural Gas
CIV,2024.0,SOL,4.555555559200001,Solar
CIV,2025.0,BIO,181.6944445898,Biomass
CIV,2025.0,HFO,50.6388889294,Heavy Fuel Oil
CIV,2025.0,HYD,7056.6111167564,Hydropower
CIV,2025.0,LFO,263.72222243320005,Light Fuel Oil
CIV,2025.0,NGA,11411.1944535734,Natural Gas
CIV,2025.0,SOL,4.305555559,Solar
CIV,2026.0,BIO,181.6944445898,Biomass
CIV,2026.0,COA,1977.2777793596,Coal
CIV,2026.0,HFO,47.2500000378,Heavy Fuel Oil
CIV,2026.0,HYD,7916.2777841108,Hydropower
CIV,2026.0,Imports (LBR),400.1111114312,Imports (LBR)
CIV,2026.0,LFO,191.388889042,Light Fuel Oil
CIV,2026.0,NGA,11268.944453459602,Natural Gas
CIV,2026.0,SOL,4.0833333366,Solar
CIV,2027.0,BIO,181.6944445898,Biomass
CIV,2027.0,COA,1977.2777793596,Coal
CIV,2027.0,HFO,43.888888924,Heavy Fuel Oil
CIV,2027.0,HYD,7916.2777841108,Hydropower
CIV,2027.0,Imports (LBR),755.972222827,Imports (LBR)
CIV,2027.0,LFO,177.94444458680002,Light Fuel Oil
CIV,2027.0,NGA,11126.7500089014,Natural Gas
CIV,2027.0,SOL,3.8611111142,Solar
CIV,2028.0,BIO,181.6944445898,Biomass
CIV,2028.0,COA,1977.2777793596,Coal
CIV,2028.0,HFO,40.5000000324,Heavy Fuel Oil
CIV,2028.0,HYD,7916.2777841108,Hydropower
CIV,2028.0,Imports (LBR),224.6388890686,Imports (LBR)
CIV,2028.0,LFO,161.41666679579998,Light Fuel Oil
CIV,2028.0,NGA,10984.5000087876,Natural Gas
CIV,2028.0,SOL,75.8055556162,Solar
CIV,2029.0,BIO,181.6944445898,Biomass
CIV,2029.0,COA,2558.7222242692,Coal
CIV,2029.0,HFO,37.1388889186,Heavy Fuel Oil
CIV,2029.0,HYD,7916.2777841108,Hydropower
CIV,2029.0,Imports (LBR),83.4444445112,Imports (LBR)
CIV,2029.0,LFO,147.97222234059998,Light Fuel Oil
CIV,2029.0,NGA,10842.2777864516,Natural Gas
CIV,2029.0,SOL,429.027778121,Solar
CIV,2030.0,BIO,181.6944445898,Biomass
CIV,2030.0,COA,3492.3333361272003,Coal
CIV,2030.0,HFO,33.750000027,Heavy Fuel Oil
CIV,2030.0,HYD,7916.2777841108,Hydropower
CIV,2030.0,Imports (LBR),3.9722222254,Imports (LBR)
CIV,2030.0,LFO,134.5277778854,Light Fuel Oil
CIV,2030.0,NGA,10700.0277863378,Natural Gas
CIV,2030.0,SOL,947.5833340914,Solar
