Country,y,f,Total annual production (GWh),Source
COD,2020.0,HFO,29.6111111348,Heavy Fuel Oil
COD,2020.0,HYD,10866.3333420264,Hydropower
COD,2020.0,Imports (AGO),1035.1666674948,Imports (AGO)
COD,2020.0,LFO,12.3333333432,Light Fuel Oil
COD,2020.0,NGA,20.3611111274,Natural Gas
COD,2020.0,SOL,4.583333337,Solar
COD,2021.0,HFO,28.1388889114,Heavy Fuel Oil
COD,2021.0,HYD,10866.3333420264,Hydropower
COD,2021.0,Imports (AGO),2446.2222241792,Imports (AGO)
COD,2021.0,Imports (RWA),165.8611112438,Imports (RWA)
COD,2021.0,LFO,18.3888889036,Light Fuel Oil
COD,2021.0,NGA,19.3333333488,Natural Gas
COD,2021.0,SOL,4.5277777814,Solar
COD,2022.0,HFO,26.666666688000003,Heavy Fuel Oil
COD,2022.0,HYD,11070.222231078398,Hydropower
COD,2022.0,Imports (AGO),430.3611114554,Imports (AGO)
COD,2022.0,Imports (BDI),85.5833334018,Imports (BDI)
COD,2022.0,Imports (RWA),2143.0000017144,Imports (RWA)
COD,2022.0,Imports (ZMB),368.6944447394,Imports (ZMB)
COD,2022.0,LFO,17.7500000142,Light Fuel Oil
COD,2022.0,NGA,18.3055555702,Natural Gas
COD,2022.0,SOL,4.4722222258,Solar
COD,2023.0,HFO,25.166666686800003,Heavy Fuel Oil
COD,2023.0,HYD,11070.222231078398,Hydropower
COD,2023.0,Imports (BDI),117.500000094,Imports (BDI)
COD,2023.0,Imports (RWA),3328.8055582186003,Imports (RWA)
COD,2023.0,Imports (ZMB),1507.500001206,Imports (ZMB)
COD,2023.0,LFO,17.1111111248,Light Fuel Oil
COD,2023.0,NGA,17.305555569400003,Natural Gas
COD,2023.0,SOL,4.416666670200001,Solar
COD,2024.0,HFO,23.6944444634,Heavy Fuel Oil
COD,2024.0,HYD,11070.222231078398,Hydropower
COD,2024.0,Imports (AGO),3632.1666695724,Imports (AGO)
COD,2024.0,Imports (RWA),1329.5000010636002,Imports (RWA)
COD,2024.0,LFO,16.4722222354,Light Fuel Oil
COD,2024.0,NGA,16.277777790800002,Natural Gas
COD,2024.0,SOL,4.3611111146,Solar
COD,2025.0,HFO,46.2777778148,Heavy Fuel Oil
COD,2025.0,HYD,11070.222231078398,Hydropower
