Country,y,f,Total annual production (GWh),Source
DZA,2020.0,HFO,587.6111115812,Heavy Fuel Oil
DZA,2020.0,HYD,981.1944452294,Hydropower
DZA,2020.0,LFO,292.6944446786,Light Fuel Oil
DZA,2020.0,NGA,87640.833403446,Natural Gas
DZA,2020.0,SOL,1695.0555569116,Solar
DZA,2020.0,WIN,41.2777778108,Wind
DZA,2021.0,HFO,558.2500004466,Heavy Fuel Oil
DZA,2021.0,HYD,981.1944452294,Hydropower
DZA,2021.0,LFO,505.4444448488,Light Fuel Oil
DZA,2021.0,NGA,94770.694520261,Natural Gas
DZA,2021.0,SOL,3175.1944469846003,Solar
DZA,2021.0,WIN,39.2222222536,Wind
DZA,2022.0,HFO,528.8611115342,Heavy Fuel Oil
DZA,2022.0,HYD,981.1944452294,Hydropower
DZA,2022.0,LFO,561.527778227,Light Fuel Oil
DZA,2022.0,NGA,104545.1111947472,Natural Gas
DZA,2022.0,SOL,4655.3888926132,Solar
DZA,2022.0,WIN,37.1666666964,Wind
DZA,2023.0,HFO,499.4722226218,Heavy Fuel Oil
DZA,2023.0,HYD,981.1944452294,Hydropower
DZA,2023.0,LFO,546.8888893264,Light Fuel Oil
DZA,2023.0,NGA,113593.3889797636,Natural Gas
DZA,2023.0,SOL,6135.611116019601,Solar
DZA,2023.0,WIN,591.1666671396,Wind
DZA,2024.0,HFO,2032.6111127372,Heavy Fuel Oil
DZA,2024.0,HYD,1474.5555567352,Hydropower
DZA,2024.0,LFO,532.2500004258,Light Fuel Oil
DZA,2024.0,NGA,118735.694539433,Natural Gas
DZA,2024.0,SOL,7615.7500060926,Solar
DZA,2024.0,WIN,1601.0277790586,Wind
DZA,2025.0,BIO,743.3333339280001,Biomass
DZA,2025.0,HFO,2203.5833350962,Heavy Fuel Oil
DZA,2025.0,HYD,1605.3055568398,Hydropower
DZA,2025.0,LFO,443.0833336878,Light Fuel Oil
DZA,2025.0,NGA,119930.000095944,Natural Gas
DZA,2025.0,SOL,9095.9444517212,Solar
DZA,2025.0,WIN,2023.8611127302,Wind
DZA,2026.0,BIO,2231.7222240076003,Biomass
DZA,2026.0,HFO,2056.666668312,Heavy Fuel Oil
DZA,2026.0,HYD,1605.3055568398,Hydropower
DZA,2026.0,Imports (TUN),1644.861112427,Imports (TUN)
DZA,2026.0,LFO,353.9166669498,Light Fuel Oil
DZA,2026.0,NGA,124694.6389886446,Natural Gas
DZA,2026.0,SOL,10576.1388973498,Solar
DZA,2026.0,WIN,2428.6388908318,Wind
DZA,2027.0,BIO,2961.0000023688,Biomass
DZA,2027.0,HFO,1909.7500015278,Heavy Fuel Oil
DZA,2027.0,HYD,1605.3055568398,Hydropower
DZA,2027.0,Imports (TUN),3839.3333364048,Imports (TUN)
DZA,2027.0,LFO,264.7777779896,Light Fuel Oil
DZA,2027.0,NGA,125551.4723226634,Natural Gas
DZA,2027.0,SOL,12056.3055652006,Solar
DZA,2027.0,WIN,3311.4722248714,Wind
DZA,2028.0,BIO,2961.0000023688,Biomass
DZA,2028.0,HFO,1762.8611125214002,Heavy Fuel Oil
DZA,2028.0,HYD,1605.3055568398,Hydropower
DZA,2028.0,Imports (TUN),3673.5833362722,Imports (TUN)
DZA,2028.0,LFO,175.6111112516,Light Fuel Oil
DZA,2028.0,NGA,125233.7223224092,Natural Gas
DZA,2028.0,SOL,17311.0833471822,Solar
DZA,2028.0,WIN,4513.0277813882,Wind
DZA,2029.0,BIO,2961.0000023688,Biomass
DZA,2029.0,HFO,1615.9444457372,Heavy Fuel Oil
DZA,2029.0,HYD,1605.3055568398,Hydropower
DZA,2029.0,Imports (TUN),3164.3055580870005,Imports (TUN)
DZA,2029.0,LFO,160.972222351,Light Fuel Oil
DZA,2029.0,NGA,124846.8612109886,Natural Gas
DZA,2029.0,SOL,22722.8333515116,Solar
DZA,2029.0,WIN,5714.583337905,Wind
DZA,2030.0,BIO,4399.2777812972,Biomass
DZA,2030.0,HFO,293.8055557906,Heavy Fuel Oil
DZA,2030.0,HYD,1657.3055568814,Hydropower
DZA,2030.0,Imports (MAR),5991.8333381268,Imports (MAR)
DZA,2030.0,Imports (TUN),3665.27778071,Imports (TUN)
DZA,2030.0,LFO,146.3611112282,Light Fuel Oil
DZA,2030.0,NGA,110701.7223107836,Natural Gas
DZA,2030.0,SOL,28134.5555780632,Solar
DZA,2030.0,WIN,6916.1111166440005,Wind
