Country,y,f,Total annual production (GWh),Source
EGY,2020.0,BIO,4421.083336870201,Biomass
EGY,2020.0,HFO,1706.6666680320002,Heavy Fuel Oil
EGY,2020.0,HYD,11959.0555651228,Hydropower
EGY,2020.0,Imports (JOR),2496.6111131084003,Imports (JOR)
EGY,2020.0,Imports (SDN),2130.6666683712,Imports (SDN)
EGY,2020.0,LFO,695.6111116676,Light Fuel Oil
EGY,2020.0,NGA,184641.2223699352,Natural Gas
EGY,2020.0,SOL,4936.4722261714005,Solar
EGY,2020.0,WIN,4637.027781487401,Wind
EGY,2021.0,BIO,4694.9722259782,Biomass
EGY,2021.0,HFO,1621.3333346304,Heavy Fuel Oil
EGY,2021.0,HYD,11959.0555651228,Hydropower
EGY,2021.0,Imports (JOR),786.6111117404,Imports (JOR)
EGY,2021.0,Imports (LBY),1414.7500011318,Imports (LBY)
EGY,2021.0,Imports (SAU),6360.5000050884,Imports (SAU)
EGY,2021.0,Imports (SDN),16644.0000133152,Imports (SDN)
EGY,2021.0,LFO,675.7222227628,Light Fuel Oil
EGY,2021.0,NGA,174486.5001395892,Natural Gas
EGY,2021.0,SOL,19516.916682280204,Solar
EGY,2021.0,WIN,8024.916673086601,Wind
EGY,2022.0,BIO,4968.8333373084,Biomass
EGY,2022.0,HFO,1536.0000012288,Heavy Fuel Oil
EGY,2022.0,HYD,11959.0555651228,Hydropower
EGY,2022.0,Imports (JOR),2496.6111131084003,Imports (JOR)
EGY,2022.0,Imports (LBY),1414.7500011318,Imports (LBY)
EGY,2022.0,Imports (SAU),24966.0000199728,Imports (SAU)
EGY,2022.0,Imports (SDN),16022.22223504,Imports (SDN)
EGY,2022.0,LFO,655.8611116358001,Light Fuel Oil
EGY,2022.0,NGA,211223.91683564585,Natural Gas
EGY,2022.0,SOL,25013.2222422328,Solar
EGY,2022.0,WIN,11412.8333424636,Wind
EGY,2023.0,BIO,4802.7500038422,Biomass
EGY,2023.0,HFO,1450.6666678272002,Heavy Fuel Oil
EGY,2023.0,HYD,12834.9166769346,Hydropower
EGY,2023.0,Imports (JOR),2496.6111131084003,Imports (JOR)
EGY,2023.0,Imports (SAU),24966.0000199728,Imports (SAU)
EGY,2023.0,Imports (SDN),11717.111120484802,Imports (SDN)
EGY,2023.0,LFO,635.972222731,Light Fuel Oil
EGY,2023.0,NGA,235135.58352144185,Natural Gas
EGY,2023.0,SOL,26867.166688160403,Solar
EGY,2023.0,WIN,14800.7222340628,Wind
EGY,2024.0,BIO,4636.6944481538,Biomass
EGY,2024.0,HFO,21017.8889057032,Heavy Fuel Oil
EGY,2024.0,HYD,12834.9166769346,Hydropower
EGY,2024.0,Imports (JOR),2496.6111131084003,Imports (JOR)
EGY,2024.0,Imports (SAU),24966.0000199728,Imports (SAU)
EGY,2024.0,Imports (SDN),9996.5555635528,Imports (SDN)
EGY,2024.0,LFO,616.0833338262,Light Fuel Oil
EGY,2024.0,NGA,233074.444630904,Natural Gas
EGY,2024.0,SOL,31451.05558071641,Solar
EGY,2024.0,WIN,18188.611125662,Wind
EGY,2025.0,BIO,3640.3055584678,Biomass
EGY,2025.0,COA,22232.8889066752,Coal
EGY,2025.0,HFO,20591.2222386952,Heavy Fuel Oil
EGY,2025.0,HYD,12834.9166769346,Hydropower
EGY,2025.0,Imports (JOR),2496.6111131084003,Imports (JOR)
EGY,2025.0,Imports (SAU),24966.0000199728,Imports (SAU)
EGY,2025.0,Imports (SDN),5006.7500040054,Imports (SDN)
EGY,2025.0,LFO,521.6944448618,Light Fuel Oil
EGY,2025.0,NGA,231013.27796258844,Natural Gas
EGY,2025.0,SOL,37888.888919200006,Solar
EGY,2025.0,WIN,21576.5000172612,Wind
EGY,2026.0,BIO,3474.2500027794003,Biomass
EGY,2026.0,COA,44465.7500355726,Coal
EGY,2026.0,HFO,15776.111123732,Heavy Fuel Oil
EGY,2026.0,HYD,12834.9166769346,Hydropower
EGY,2026.0,Imports (JOR),2496.6111131084003,Imports (JOR)
EGY,2026.0,Imports (SAU),24966.0000199728,Imports (SAU)
EGY,2026.0,LFO,427.2777781196,Light Fuel Oil
EGY,2026.0,NGA,228952.1112942728,Natural Gas
EGY,2026.0,SOL,44326.7222576836,Solar
EGY,2026.0,WIN,24964.3889088604,Wind
EGY,2027.0,BIO,3308.1944470910007,Biomass
EGY,2027.0,COA,47306.6111489564,Coal
EGY,2027.0,HFO,19737.8889046792,Heavy Fuel Oil
EGY,2027.0,HYD,12834.9166769346,Hydropower
EGY,2027.0,Imports (JOR),2496.6111131084003,Imports (JOR)
EGY,2027.0,Imports (SAU),24966.0000199728,Imports (SAU)
EGY,2027.0,Imports (SDN),4215.7222255948,Imports (SDN)
EGY,2027.0,LFO,332.91666693300004,Light Fuel Oil
EGY,2027.0,NGA,226890.972403735,Natural Gas
EGY,2027.0,SOL,50764.5278183894,Solar
EGY,2027.0,WIN,28352.277800459604,Wind
EGY,2028.0,BIO,3142.1111136248,Biomass
EGY,2028.0,COA,51012.083374143,Coal
EGY,2028.0,HFO,19311.1944598934,Heavy Fuel Oil
EGY,2028.0,HYD,12834.9166769346,Hydropower
EGY,2028.0,Imports (JOR),2496.6111131084003,Imports (JOR)
EGY,2028.0,Imports (LBY),399.72222254200005,Imports (LBY)
EGY,2028.0,Imports (SAU),24966.0000199728,Imports (SAU)
EGY,2028.0,Imports (SDN),12152.1944541662,Imports (SDN)
EGY,2028.0,LFO,238.5000001908,Light Fuel Oil
EGY,2028.0,NGA,224829.8335131972,Natural Gas
EGY,2028.0,SOL,57202.361156873,Solar
EGY,2028.0,WIN,31740.166692058803,Wind
EGY,2029.0,BIO,2976.0555579364004,Biomass
EGY,2029.0,COA,54717.5833771074,Coal
EGY,2029.0,HFO,18884.5277928854,Heavy Fuel Oil
EGY,2029.0,HYD,15079.805567619402,Hydropower
EGY,2029.0,Imports (JOR),2496.6111131084003,Imports (JOR)
EGY,2029.0,Imports (LBY),1231.9722232078002,Imports (LBY)
EGY,2029.0,Imports (SAU),24966.0000199728,Imports (SAU)
EGY,2029.0,Imports (SDN),16644.0000133152,Imports (SDN)
EGY,2029.0,LFO,531.8333337588,Light Fuel Oil
EGY,2029.0,NGA,223097.91684514505,Natural Gas
EGY,2029.0,SOL,63640.1667175788,Solar
EGY,2029.0,WIN,35128.055583658,Wind
EGY,2030.0,BIO,4926.6388928302,Biomass
EGY,2030.0,COA,59287.6667140968,Coal
EGY,2030.0,HFO,18457.8611258774,Heavy Fuel Oil
EGY,2030.0,HYD,15079.805567619402,Hydropower
EGY,2030.0,Imports (JOR),2496.6111131084003,Imports (JOR)
EGY,2030.0,Imports (LBY),399.72222254200005,Imports (LBY)
EGY,2030.0,Imports (SAU),24966.0000199728,Imports (SAU)
EGY,2030.0,Imports (SDN),19691.1389046418,Imports (SDN)
EGY,2030.0,LFO,848.5555562344001,Light Fuel Oil
EGY,2030.0,NGA,224773.0001798184,Natural Gas
EGY,2030.0,SOL,70078.0278338402,Solar
EGY,2030.0,WIN,38515.972253035005,Wind
