Country,y,f,Total annual production (GWh),Source
ERI,2020.0,HFO,472.4166670446001,Heavy Fuel Oil
ERI,2020.0,LFO,53.055555598000005,Light Fuel Oil
ERI,2020.0,SOL,1.7777777792000002,Solar
ERI,2020.0,WIN,1.1666666676,Wind
ERI,2021.0,BIO,36.2777778068,Biomass
ERI,2021.0,HFO,469.3611114866,Heavy Fuel Oil
ERI,2021.0,LFO,50.5000000404,Light Fuel Oil
ERI,2021.0,SOL,1.7777777792000002,Solar
ERI,2021.0,WIN,1.111111112,Wind
ERI,2022.0,BIO,79.52777784140001,Biomass
ERI,2022.0,HFO,457.8611114774001,Heavy Fuel Oil
ERI,2022.0,LFO,47.9722222606,Light Fuel Oil
ERI,2022.0,SOL,1.7777777792000002,Solar
ERI,2022.0,WIN,1.0277777786000002,Wind
ERI,2023.0,BIO,118.2222223168,Biomass
ERI,2023.0,HFO,440.0833336854,Heavy Fuel Oil
ERI,2023.0,LFO,45.138888925,Light Fuel Oil
ERI,2023.0,SOL,9.7777777856,Solar
ERI,2023.0,WIN,0.972222223,Wind
ERI,2024.0,BIO,118.2222223168,Biomass
ERI,2024.0,GEO,330.8611113758,Geothermal
ERI,2024.0,HFO,138.6388889998,Heavy Fuel Oil
ERI,2024.0,LFO,42.611111145200006,Light Fuel Oil
ERI,2024.0,SOL,9.7777777856,Solar
ERI,2024.0,WIN,0.9166666674,Wind
ERI,2025.0,BIO,118.2222223168,Biomass
ERI,2025.0,GEO,389.0833336446,Geothermal
ERI,2025.0,HFO,129.9722223262,Heavy Fuel Oil
ERI,2025.0,LFO,40.0833333654,Light Fuel Oil
ERI,2025.0,SOL,9.7777777856,Solar
ERI,2025.0,WIN,0.8611111118,Wind
ERI,2026.0,BIO,118.2222223168,Biomass
ERI,2026.0,GEO,447.5555559136,Geothermal
ERI,2026.0,HFO,121.3055556526,Heavy Fuel Oil
ERI,2026.0,LFO,37.5833333634,Light Fuel Oil
ERI,2026.0,SOL,9.7777777856,Solar
ERI,2026.0,WIN,0.8055555562,Wind
ERI,2027.0,BIO,118.2222223168,Biomass
ERI,2027.0,GEO,484.83333372120006,Geothermal
ERI,2027.0,HFO,112.638888979,Heavy Fuel Oil
ERI,2027.0,LFO,35.0833333614,Light Fuel Oil
ERI,2027.0,SOL,22.944444462800003,Solar
ERI,2027.0,WIN,0.7500000006,Wind
ERI,2028.0,BIO,118.2222223168,Biomass
ERI,2028.0,GEO,486.52777816700006,Geothermal
ERI,2028.0,HFO,103.9722223054,Heavy Fuel Oil
ERI,2028.0,LFO,30.0833333574,Light Fuel Oil
ERI,2028.0,SOL,67.8888889432,Solar
ERI,2028.0,WIN,0.694444445,Wind
ERI,2029.0,BIO,118.2222223168,Biomass
ERI,2029.0,GEO,508.6944448514,Geothermal
ERI,2029.0,HFO,96.666666744,Heavy Fuel Oil
ERI,2029.0,LFO,27.5833333554,Light Fuel Oil
ERI,2029.0,SOL,92.6944445186,Solar
ERI,2029.0,WIN,0.6388888894,Wind
ERI,2030.0,BIO,118.2222223168,Biomass
ERI,2030.0,GEO,508.6944448514,Geothermal
ERI,2030.0,HFO,86.63888895820001,Heavy Fuel Oil
ERI,2030.0,LFO,25.055555575600003,Light Fuel Oil
ERI,2030.0,SOL,141.83333344680003,Solar
ERI,2030.0,WIN,0.5833333338,Wind
