Country,y,f,Total annual production (GWh),Source
GHA,2020.0,BIO,26.277777798800003,Biomass
GHA,2020.0,HFO,3638.9166695778,Heavy Fuel Oil
GHA,2020.0,HYD,6574.3888941484,Hydropower
GHA,2020.0,LFO,322.3888891468,Light Fuel Oil
GHA,2020.0,NGA,9294.6944518802,Natural Gas
GHA,2020.0,SOL,26.111111132,Solar
GHA,2020.0,WIN,460.833333702,Wind
GHA,2021.0,BIO,1366.9166677602002,Biomass
GHA,2021.0,HFO,5530.0277822018,Heavy Fuel Oil
GHA,2021.0,HYD,6574.3888941484,Hydropower
GHA,2021.0,LFO,368.7222225172,Light Fuel Oil
GHA,2021.0,NGA,9089.3611183826,Natural Gas
GHA,2021.0,SOL,24.722222242,Solar
GHA,2021.0,WIN,460.833333702,Wind
GHA,2022.0,BIO,1650.00000132,Biomass
GHA,2022.0,HFO,6305.277782822,Heavy Fuel Oil
GHA,2022.0,HYD,6574.3888941484,Hydropower
GHA,2022.0,LFO,360.277778066,Light Fuel Oil
GHA,2022.0,NGA,8985.0833405214,Natural Gas
GHA,2022.0,SOL,23.3611111298,Solar
GHA,2022.0,WIN,460.833333702,Wind
GHA,2023.0,BIO,1808.750001447,Biomass
GHA,2023.0,HFO,6216.0277827506,Heavy Fuel Oil
GHA,2023.0,HYD,6574.3888941484,Hydropower
GHA,2023.0,LFO,340.0555558276,Light Fuel Oil
GHA,2023.0,NGA,8779.7500070238,Natural Gas
GHA,2023.0,SOL,21.9722222398,Solar
GHA,2023.0,WIN,460.833333702,Wind
GHA,2024.0,BIO,1964.7777793496,Biomass
GHA,2024.0,HFO,6126.777782679199,Heavy Fuel Oil
GHA,2024.0,HYD,6841.4166721398005,Hydropower
GHA,2024.0,LFO,325.694444705,Light Fuel Oil
GHA,2024.0,NGA,8574.3888957484,Natural Gas
GHA,2024.0,SOL,20.6111111276,Solar
GHA,2024.0,WIN,460.833333702,Wind
GHA,2025.0,BIO,2116.8611128046,Biomass
GHA,2025.0,HFO,6037.5277826078,Heavy Fuel Oil
GHA,2025.0,HYD,8635.888895797601,Hydropower
GHA,2025.0,LFO,309.36111135860006,Light Fuel Oil
GHA,2025.0,NGA,8369.027784473,Natural Gas
GHA,2025.0,SOL,19.2500000154,Solar
GHA,2025.0,WIN,460.833333702,Wind
GHA,2026.0,BIO,2254.027779581,Biomass
GHA,2026.0,HFO,5948.2777825364,Heavy Fuel Oil
GHA,2026.0,HYD,9903.166674589202,Hydropower
GHA,2026.0,Imports (CIV),837.7222228924,Imports (CIV)
GHA,2026.0,Imports (TGO),92.222222296,Imports (TGO)
GHA,2026.0,LFO,234.8333335212,Light Fuel Oil
GHA,2026.0,NGA,8163.6944509754,Natural Gas
GHA,2026.0,SOL,17.8611111254,Solar
GHA,2026.0,WIN,460.833333702,Wind
GHA,2027.0,BIO,2252.6944462466,Biomass
GHA,2027.0,HFO,5859.0000046872,Heavy Fuel Oil
GHA,2027.0,HYD,9903.166674589202,Hydropower
GHA,2027.0,Imports (BEN),3158.0000025264003,Imports (BEN)
GHA,2027.0,Imports (TGO),215.0833335054,Imports (TGO)
GHA,2027.0,LFO,217.1111112848,Light Fuel Oil
GHA,2027.0,NGA,7958.3333397,Natural Gas
GHA,2027.0,SOL,161.0000001288,Solar
GHA,2027.0,WIN,460.833333702,Wind
GHA,2028.0,BIO,2251.38889069,Biomass
GHA,2028.0,COA,328.9722224854,Coal
GHA,2028.0,HFO,5769.750004615799,Heavy Fuel Oil
GHA,2028.0,HYD,9903.166674589202,Hydropower
GHA,2028.0,Imports (BEN),5359.6111153988,Imports (BEN)
GHA,2028.0,Imports (CIV),80.8611111758,Imports (CIV)
GHA,2028.0,Imports (TGO),124.9166667666,Imports (TGO)
GHA,2028.0,LFO,193.4444445992,Light Fuel Oil
GHA,2028.0,NGA,7753.000006202401,Natural Gas
GHA,2028.0,SOL,370.83333363,Solar
GHA,2028.0,WIN,460.833333702,Wind
GHA,2029.0,BIO,2250.0833351334,Biomass
GHA,2029.0,COA,2339.5000018716,Coal
GHA,2029.0,HFO,5680.5000045444,Heavy Fuel Oil
GHA,2029.0,HYD,9903.166674589202,Hydropower
GHA,2029.0,Imports (BEN),5159.833337461199,Imports (BEN)
GHA,2029.0,LFO,177.3055556974,Light Fuel Oil
GHA,2029.0,NGA,7547.6111171492,Natural Gas
GHA,2029.0,SOL,982.361111897,Solar
GHA,2029.0,WIN,460.833333702,Wind
GHA,2030.0,BIO,2248.7777795768,Biomass
GHA,2030.0,COA,4318.9444478996,Coal
GHA,2030.0,HFO,5591.250004473,Heavy Fuel Oil
GHA,2030.0,HYD,9903.166674589202,Hydropower
GHA,2030.0,Imports (BEN),4342.750003474201,Imports (BEN)
GHA,2030.0,LFO,161.1944445734,Light Fuel Oil
GHA,2030.0,NGA,7342.277783651601,Natural Gas
GHA,2030.0,SOL,1882.8888903952,Solar
GHA,2030.0,WIN,460.833333702,Wind
