Country,y,f,Total annual production (GWh),Source
GNB,2020.0,Imports (GIN),16.0833333462,Imports (GIN)
GNB,2020.0,Imports (GMB),52.4444444864,Imports (GMB)
GNB,2020.0,LFO,85.97222229100001,Light Fuel Oil
GNB,2020.0,SOL,0.3888888892,Solar
GNB,2021.0,Imports (GIN),160.8055556842,Imports (GIN)
GNB,2021.0,LFO,58.8055556026,Light Fuel Oil
GNB,2021.0,SOL,27.6666666888,Solar
GNB,2022.0,Imports (GIN),243.1666668612,Imports (GIN)
GNB,2022.0,LFO,56.94444449000001,Light Fuel Oil
GNB,2022.0,SOL,29.333333356800004,Solar
GNB,2023.0,Imports (GIN),121.61111120840002,Imports (GIN)
GNB,2023.0,LFO,44.6388889246,Light Fuel Oil
GNB,2023.0,SOL,29.305555579000004,Solar
GNB,2024.0,Imports (GIN),131.4722223274,Imports (GIN)
GNB,2024.0,LFO,43.55555559040001,Light Fuel Oil
GNB,2024.0,SOL,29.305555579000004,Solar
GNB,2025.0,HYD,0.8888888896000001,Hydropower
GNB,2025.0,Imports (GIN),114.9722223142,Imports (GIN)
GNB,2025.0,Imports (GMB),27.1944444662,Imports (GMB)
GNB,2025.0,LFO,45.2500000362,Light Fuel Oil
GNB,2025.0,SOL,29.277777801200003,Solar
GNB,2026.0,HYD,67.5555556096,Hydropower
GNB,2026.0,Imports (GIN),76.11111117200001,Imports (GIN)
GNB,2026.0,Imports (GMB),6.0833333382,Imports (GMB)
GNB,2026.0,LFO,43.8055555906,Light Fuel Oil
GNB,2026.0,SOL,34.611111138800005,Solar
GNB,2027.0,HYD,178.1666668092,Hydropower
GNB,2027.0,Imports (GIN),5.861111115800001,Imports (GIN)
GNB,2027.0,Imports (GMB),6.2777777828,Imports (GMB)
GNB,2027.0,LFO,30.166666690800003,Light Fuel Oil
GNB,2027.0,SOL,34.583333361,Solar
GNB,2028.0,HYD,178.1666668092,Hydropower
GNB,2028.0,LFO,26.2222222432,Light Fuel Oil
GNB,2028.0,SOL,54.2222222656,Solar
GNB,2029.0,HYD,178.1666668092,Hydropower
GNB,2029.0,Imports (GIN),2.1388888906,Imports (GIN)
GNB,2029.0,LFO,24.0555555748,Light Fuel Oil
GNB,2029.0,SOL,64.50000005160001,Solar
GNB,2030.0,HYD,178.1666668092,Hydropower
GNB,2030.0,LFO,21.8611111286,Light Fuel Oil
GNB,2030.0,SOL,78.3611111738,Solar
