Country,y,f,Total annual production (GWh),Source
GNQ,2020.0,HFO,199.9722223822,Heavy Fuel Oil
GNQ,2020.0,HYD,514.6388893006,Hydropower
GNQ,2020.0,LFO,175.8055556962,Light Fuel Oil
GNQ,2020.0,NGA,1270.138889905,Natural Gas
GNQ,2020.0,SOL,367.6111114052,Solar
GNQ,2021.0,HFO,189.9722223742,Heavy Fuel Oil
GNQ,2021.0,HYD,514.6388893006,Hydropower
GNQ,2021.0,LFO,23.888888908,Light Fuel Oil
GNQ,2021.0,NGA,1179.7777787216,Natural Gas
GNQ,2021.0,SOL,730.5277783621999,Solar
GNQ,2022.0,HFO,179.9722223662,Heavy Fuel Oil
GNQ,2022.0,HYD,514.6388893006,Hydropower
GNQ,2022.0,LFO,24.444444464,Light Fuel Oil
GNQ,2022.0,NGA,1120.7500008966,Natural Gas
GNQ,2022.0,SOL,1093.4166675414,Solar
GNQ,2023.0,HFO,130.277777882,Heavy Fuel Oil
GNQ,2023.0,HYD,514.6388893006,Hydropower
GNQ,2023.0,LFO,17.0555555692,Light Fuel Oil
GNQ,2023.0,NGA,1110.4444453328,Natural Gas
GNQ,2023.0,SOL,1456.3055567206002,Solar
GNQ,2024.0,HFO,69.305555611,Heavy Fuel Oil
GNQ,2024.0,HYD,514.6388893006,Hydropower
GNQ,2024.0,LFO,17.027777791400002,Light Fuel Oil
GNQ,2024.0,NGA,1100.138889769,Natural Gas
GNQ,2024.0,SOL,1819.2222236776,Solar
GNQ,2025.0,HFO,73.5277778366,Heavy Fuel Oil
GNQ,2025.0,HYD,514.6388893006,Hydropower
GNQ,2025.0,LFO,17.0000000136,Light Fuel Oil
GNQ,2025.0,NGA,1024.0833341526002,Natural Gas
GNQ,2025.0,SOL,2182.1111128568,Solar
GNQ,2026.0,HFO,88.8611111822,Heavy Fuel Oil
GNQ,2026.0,HYD,514.6388893006,Hydropower
GNQ,2026.0,LFO,16.944444458,Light Fuel Oil
GNQ,2026.0,NGA,929.7500007438,Natural Gas
GNQ,2026.0,SOL,2545.0277798138,Solar
GNQ,2027.0,HFO,73.4444445032,Heavy Fuel Oil
GNQ,2027.0,HYD,514.6388893006,Hydropower
GNQ,2027.0,LFO,16.916666680200002,Light Fuel Oil
GNQ,2027.0,NGA,812.0277784274001,Natural Gas
GNQ,2027.0,SOL,2907.916668993,Solar
GNQ,2028.0,HFO,83.3333334,Heavy Fuel Oil
GNQ,2028.0,HYD,514.6388893006,Hydropower
GNQ,2028.0,LFO,6.8333333388,Light Fuel Oil
GNQ,2028.0,NGA,827.77777844,Natural Gas
GNQ,2028.0,SOL,3125.138891389,Solar
GNQ,2029.0,HFO,76.38888895000001,Heavy Fuel Oil
GNQ,2029.0,HYD,514.6388893006,Hydropower
GNQ,2029.0,LFO,6.2777777828,Light Fuel Oil
GNQ,2029.0,NGA,892.4444451584001,Natural Gas
GNQ,2029.0,SOL,3296.7777804152,Solar
GNQ,2030.0,HFO,69.4444445,Heavy Fuel Oil
GNQ,2030.0,HYD,514.6388893006,Hydropower
GNQ,2030.0,LFO,5.694444449000001,Light Fuel Oil
GNQ,2030.0,NGA,874.9722229222,Natural Gas
GNQ,2030.0,SOL,3548.750002839,Solar
