Country,y,f,Total annual production (GWh),Source
KEN,2020.0,GEO,4616.500003693201,Geothermal
KEN,2020.0,HFO,668.2777783124001,Heavy Fuel Oil
KEN,2020.0,HYD,3294.6666693024,Hydropower
KEN,2020.0,Imports (ETH),7967.472228596201,Imports (ETH)
KEN,2020.0,Imports (UGA),223.194444623,Imports (UGA)
KEN,2020.0,LFO,518.2777781924001,Light Fuel Oil
KEN,2020.0,SOL,446.61111146840005,Solar
KEN,2020.0,WIN,2117.4444461384,Wind
KEN,2021.0,BIO,164.166666798,Biomass
KEN,2021.0,GEO,4966.4722261954,Geothermal
KEN,2021.0,HFO,634.861111619,Heavy Fuel Oil
KEN,2021.0,HYD,3294.6666693024,Hydropower
KEN,2021.0,Imports (ETH),10673.9722307614,Imports (ETH)
KEN,2021.0,LFO,496.5000003972,Light Fuel Oil
KEN,2021.0,SOL,614.9166671586,Solar
KEN,2021.0,WIN,2587.6944465146,Wind
KEN,2022.0,BIO,346.9166669442,Biomass
KEN,2022.0,GEO,6939.666672218401,Geothermal
KEN,2022.0,HFO,601.4444449256,Heavy Fuel Oil
KEN,2022.0,HYD,3294.6666693024,Hydropower
KEN,2022.0,Imports (ETH),13015.1666770788,Imports (ETH)
KEN,2022.0,LFO,472.6944448226,Light Fuel Oil
KEN,2022.0,SOL,752.3333339352,Solar
KEN,2022.0,WIN,3407.3055582814,Wind
KEN,2023.0,BIO,332.0555558212,Biomass
KEN,2023.0,GEO,9136.2222295312,Geothermal
KEN,2023.0,HFO,568.0277782322,Heavy Fuel Oil
KEN,2023.0,HYD,3294.6666693024,Hydropower
KEN,2023.0,Imports (ETH),16644.0000133152,Imports (ETH)
KEN,2023.0,LFO,447.63888924700007,Light Fuel Oil
KEN,2023.0,SOL,920.6388896254,Solar
KEN,2023.0,WIN,3575.6388917494,Wind
KEN,2024.0,BIO,127.8888889912,Biomass
KEN,2024.0,COA,1185.5277787262,Coal
KEN,2024.0,GEO,11444.5000091556,Geothermal
KEN,2024.0,HFO,534.6111115388001,Heavy Fuel Oil
KEN,2024.0,HYD,3294.6666693024,Hydropower
KEN,2024.0,Imports (ETH),16251.0555685564,Imports (ETH)
KEN,2024.0,LFO,422.58333367140006,Light Fuel Oil
KEN,2024.0,SOL,1121.4166675638,Solar
KEN,2024.0,WIN,4002.7500032022,Wind
KEN,2025.0,BIO,227.9444446268,Biomass
KEN,2025.0,COA,3029.2222246456004,Coal
KEN,2025.0,GEO,11441.527786931,Geothermal
KEN,2025.0,HFO,501.1944448454,Heavy Fuel Oil
KEN,2025.0,HYD,3294.6666693024,Hydropower
KEN,2025.0,Imports (ETH),16644.0000133152,Imports (ETH)
KEN,2025.0,LFO,392.8055558698,Light Fuel Oil
KEN,2025.0,SOL,1119.722223118,Solar
KEN,2025.0,WIN,3998.5000031988,Wind
KEN,2026.0,BIO,213.055555726,Biomass
KEN,2026.0,COA,3029.2222246456004,Coal
KEN,2026.0,GEO,11438.5555647064,Geothermal
KEN,2026.0,HFO,467.8055559298,Heavy Fuel Oil
KEN,2026.0,HYD,3294.6666693024,Hydropower
KEN,2026.0,Imports (ETH),16644.0000133152,Imports (ETH)
KEN,2026.0,LFO,353.333333616,Light Fuel Oil
KEN,2026.0,SOL,1118.0277786722,Solar
KEN,2026.0,WIN,3994.2777809732,Wind
KEN,2027.0,BIO,198.194444603,Biomass
KEN,2027.0,COA,3239.7500025918,Coal
KEN,2027.0,GEO,11435.5833424818,Geothermal
KEN,2027.0,HFO,1386.8611122206,Heavy Fuel Oil
KEN,2027.0,HYD,3294.6666693024,Hydropower
KEN,2027.0,Imports (ETH),16644.0000133152,Imports (ETH)
KEN,2027.0,LFO,327.77777804000004,Light Fuel Oil
KEN,2027.0,SOL,1116.3055564486,Solar
KEN,2027.0,WIN,3990.0555587476,Wind
KEN,2028.0,BIO,183.3055557022,Biomass
KEN,2028.0,COA,3029.2222246456004,Coal
KEN,2028.0,GEO,11432.6111202572,Geothermal
KEN,2028.0,HFO,1317.2500010538,Heavy Fuel Oil
KEN,2028.0,HYD,3294.6666693024,Hydropower
KEN,2028.0,Imports (ETH),16644.0000133152,Imports (ETH)
KEN,2028.0,LFO,300.6666669072,Light Fuel Oil
KEN,2028.0,SOL,1114.6111120028,Solar
KEN,2028.0,WIN,3985.833336522,Wind
KEN,2029.0,BIO,168.44444457920002,Biomass
KEN,2029.0,COA,3029.2222246456004,Coal
KEN,2029.0,GEO,11429.6111202548,Geothermal
KEN,2029.0,HFO,1247.6388898870002,Heavy Fuel Oil
KEN,2029.0,HYD,3294.6666693024,Hydropower
KEN,2029.0,Imports (ETH),16418.6944575794,Imports (ETH)
KEN,2029.0,LFO,275.6111113316,Light Fuel Oil
KEN,2029.0,SOL,1679.1111124544002,Solar
KEN,2029.0,WIN,3981.6111142964,Wind
KEN,2030.0,BIO,153.5555556784,Biomass
KEN,2030.0,COA,3029.2222246456004,Coal
KEN,2030.0,GEO,13407.750010726202,Geothermal
KEN,2030.0,HFO,1178.0277787202,Heavy Fuel Oil
KEN,2030.0,HYD,3294.6666693024,Hydropower
KEN,2030.0,Imports (ETH),15710.3333459016,Imports (ETH)
KEN,2030.0,LFO,250.555555756,Light Fuel Oil
KEN,2030.0,SOL,2238.750001791,Solar
KEN,2030.0,WIN,3977.3888920708,Wind
