Country,y,f,Total annual production (GWh),Source
NGA,2020.0,BIO,30.7500000246,Biomass
NGA,2020.0,HFO,2008.4166682734,Heavy Fuel Oil
NGA,2020.0,HYD,12567.4722322762,Hydropower
NGA,2020.0,LFO,214.13888906020003,Light Fuel Oil
NGA,2020.0,NGA,15261.1389010978,Natural Gas
NGA,2020.0,SOL,29.6388889126,Solar
NGA,2020.0,WIN,22.7222222404,Wind
NGA,2021.0,BIO,29.1944444678,Biomass
NGA,2021.0,HFO,9339.833340805202,Heavy Fuel Oil
NGA,2021.0,HYD,12567.4722322762,Hydropower
NGA,2021.0,LFO,495.9166670634,Light Fuel Oil
NGA,2021.0,NGA,22016.8889065024,Natural Gas
NGA,2021.0,SOL,78.61111117400002,Solar
NGA,2021.0,WIN,22.083333351,Wind
NGA,2022.0,BIO,27.6666666888,Biomass
NGA,2022.0,COA,4446.583336890601,Coal
NGA,2022.0,HFO,10173.1388970274,Heavy Fuel Oil
NGA,2022.0,HYD,12567.4722322762,Hydropower
NGA,2022.0,LFO,483.9166670538,Light Fuel Oil
NGA,2022.0,NGA,29275.3333567536,Natural Gas
NGA,2022.0,SOL,159.55555568320003,Solar
NGA,2022.0,WIN,21.472222239400004,Wind
NGA,2023.0,BIO,26.1388889098,Biomass
NGA,2023.0,COA,8893.138896003402,Coal
NGA,2023.0,HFO,9671.0277855146,Heavy Fuel Oil
NGA,2023.0,HYD,15688.222234772802,Hydropower
NGA,2023.0,LFO,472.3055559334,Light Fuel Oil
NGA,2023.0,NGA,33690.27780473,Natural Gas
NGA,2023.0,SOL,217.1388890626,Solar
NGA,2023.0,WIN,20.8611111278,Wind
NGA,2024.0,BIO,848.7222229012,Biomass
NGA,2024.0,COA,25236.0555757444,Coal
NGA,2024.0,HFO,1606.7222235076,Heavy Fuel Oil
NGA,2024.0,HYD,17935.166681014798,Hydropower
NGA,2024.0,LFO,461.0277781466,Light Fuel Oil
NGA,2024.0,NGA,33035.0555819836,Natural Gas
NGA,2024.0,SOL,250.3055557558,Solar
NGA,2024.0,WIN,20.1944444606,Wind
NGA,2025.0,BIO,1062.3888897388,Biomass
NGA,2025.0,COA,34011.805582765,Coal
NGA,2025.0,HFO,1506.3055567606,Heavy Fuel Oil
NGA,2025.0,HYD,21055.9166835114,Hydropower
NGA,2025.0,LFO,310.277778026,Light Fuel Oil
NGA,2025.0,NGA,32379.861137015,Natural Gas
NGA,2025.0,SOL,598.1944449230001,Solar
NGA,2025.0,WIN,19.583333349,Wind
NGA,2026.0,BIO,1060.8611119598,Biomass
NGA,2026.0,COA,42741.4167008598,Coal
NGA,2026.0,HFO,1405.8888900136,Heavy Fuel Oil
NGA,2026.0,HYD,24176.666686008,Hydropower
NGA,2026.0,Imports (BEN),500.3611115114,Imports (BEN)
NGA,2026.0,Imports (NER),38.972222253400005,Imports (NER)
NGA,2026.0,LFO,149.8888890088,Light Fuel Oil
NGA,2026.0,NGA,31724.6666920464,Natural Gas
NGA,2026.0,SOL,1453.9166678298,Solar
NGA,2026.0,WIN,18.9444444596,Wind
NGA,2027.0,BIO,1059.3333341808,Biomass
NGA,2027.0,COA,42741.4167008598,Coal
NGA,2027.0,HFO,1482.5277789637998,Heavy Fuel Oil
NGA,2027.0,HYD,27297.416688504603,Hydropower
NGA,2027.0,LFO,164.5000001316,Light Fuel Oil
NGA,2027.0,NGA,36611.4166959558,Natural Gas
NGA,2027.0,SOL,1583.7777790448,Solar
NGA,2027.0,WIN,18.333333348,Wind
NGA,2028.0,BIO,1057.777778624,Biomass
NGA,2028.0,COA,42741.4167008598,Coal
NGA,2028.0,HFO,1302.77777882,Heavy Fuel Oil
NGA,2028.0,HYD,30334.0000242672,Hydropower
NGA,2028.0,LFO,128.47222232500002,Light Fuel Oil
NGA,2028.0,NGA,41807.916700113004,Natural Gas
NGA,2028.0,SOL,2027.4166682886,Solar
NGA,2028.0,WIN,17.7222222364,Wind
NGA,2029.0,BIO,1056.250000845,Biomass
NGA,2029.0,COA,42741.4167008598,Coal
NGA,2029.0,HFO,1622.1111124088,Heavy Fuel Oil
NGA,2029.0,HYD,32438.8611370622,Hydropower
NGA,2029.0,LFO,117.777777872,Light Fuel Oil
NGA,2029.0,NGA,43232.166701252405,Natural Gas
NGA,2029.0,SOL,2314.4444462960005,Solar
NGA,2029.0,WIN,17.055555569200003,Wind
NGA,2030.0,BIO,1054.722223066,Biomass
NGA,2030.0,COA,44951.6944804058,Coal
NGA,2030.0,HFO,1004.1944452478,Heavy Fuel Oil
NGA,2030.0,HYD,34342.7222496964,Hydropower
NGA,2030.0,LFO,107.083333419,Light Fuel Oil
NGA,2030.0,NGA,42576.944478506,Natural Gas
NGA,2030.0,SOL,2574.6666687264,Solar
NGA,2030.0,WIN,16.444444457600003,Wind
