Country,y,f,Total annual production (GWh),Source
TUN,2020.0,BIO,39.9166666986,Biomass
TUN,2020.0,HFO,1377.6944455466,Heavy Fuel Oil
TUN,2020.0,HYD,198.3055557142,Hydropower
TUN,2020.0,Imports (DZA),3994.5555587512,Imports (DZA)
TUN,2020.0,LFO,142.88888900320003,Light Fuel Oil
TUN,2020.0,NGA,11905.0555650796,Natural Gas
TUN,2020.0,SOL,76.4722222834,Solar
TUN,2020.0,WIN,934.2777785252,Wind
TUN,2021.0,BIO,37.916666697,Biomass
TUN,2021.0,HFO,1308.8055566026003,Heavy Fuel Oil
TUN,2021.0,HYD,198.3055557142,Hydropower
TUN,2021.0,Imports (DZA),3994.5555587512,Imports (DZA)
TUN,2021.0,LFO,297.1111113488,Light Fuel Oil
TUN,2021.0,NGA,15653.4166791894,Natural Gas
TUN,2021.0,SOL,75.11111117120001,Solar
TUN,2021.0,WIN,953.194445207,Wind
TUN,2022.0,BIO,34.1388889162,Biomass
TUN,2022.0,HFO,1550.416667907,Heavy Fuel Oil
TUN,2022.0,HYD,198.3055557142,Hydropower
TUN,2022.0,Imports (DZA),3994.5555587512,Imports (DZA)
TUN,2022.0,LFO,289.97222245420005,Light Fuel Oil
TUN,2022.0,NGA,17961.6944588138,Natural Gas
TUN,2022.0,SOL,496.4722226194,Solar
TUN,2022.0,WIN,1865.3611126034,Wind
TUN,2023.0,BIO,29.0000000232,Biomass
TUN,2023.0,HFO,4614.305559247,Heavy Fuel Oil
TUN,2023.0,HYD,198.3055557142,Hydropower
TUN,2023.0,Imports (DZA),3994.5555587512,Imports (DZA)
TUN,2023.0,LFO,282.8611113374,Light Fuel Oil
TUN,2023.0,NGA,17436.4722361714,Natural Gas
TUN,2023.0,SOL,917.8333340676002,Solar
TUN,2023.0,WIN,2777.5555577776004,Wind
TUN,2024.0,BIO,23.2222222408,Biomass
TUN,2024.0,COA,1852.7500014822,Coal
TUN,2024.0,HFO,5510.8055599642,Heavy Fuel Oil
TUN,2024.0,HYD,302.3333335752,Hydropower
TUN,2024.0,Imports (DZA),2911.388891218,Imports (DZA)
TUN,2024.0,LFO,275.75000022060004,Light Fuel Oil
TUN,2024.0,NGA,17433.1666806132,Natural Gas
TUN,2024.0,SOL,1980.8611126958,Solar
TUN,2024.0,WIN,3689.7500029518,Wind
TUN,2025.0,BIO,17.416666680600002,Biomass
TUN,2025.0,COA,5558.2222266688,Coal
TUN,2025.0,HFO,5166.388893022,Heavy Fuel Oil
TUN,2025.0,HYD,302.3333335752,Hydropower
TUN,2025.0,Imports (DZA),1405.8611122358,Imports (DZA)
TUN,2025.0,LFO,268.611111326,Light Fuel Oil
TUN,2025.0,NGA,17334.555569423203,Natural Gas
TUN,2025.0,SOL,3043.9444468796,Solar
TUN,2025.0,WIN,4601.944448126001,Wind
TUN,2026.0,BIO,12.1944444542,Biomass
TUN,2026.0,COA,5558.2222266688,Coal
TUN,2026.0,HFO,4821.944448302001,Heavy Fuel Oil
TUN,2026.0,HYD,302.3333335752,Hydropower
TUN,2026.0,LFO,248.750000199,Light Fuel Oil
TUN,2026.0,NGA,20514.833349745204,Natural Gas
TUN,2026.0,SOL,4106.9722255078,Solar
TUN,2026.0,WIN,5514.1388933002,Wind
TUN,2027.0,BIO,7.916666673000001,Biomass
TUN,2027.0,COA,5558.2222266688,Coal
TUN,2027.0,HFO,4477.5277813598,Heavy Fuel Oil
TUN,2027.0,HYD,302.3333335752,Hydropower
TUN,2027.0,LFO,167.1111112448,Light Fuel Oil
TUN,2027.0,NGA,22935.138907237004,Natural Gas
TUN,2027.0,SOL,5170.055559691601,Solar
TUN,2027.0,WIN,6426.3333384744,Wind
TUN,2028.0,BIO,4.7500000038,Biomass
TUN,2028.0,COA,5558.2222266688,Coal
TUN,2028.0,HFO,4133.1111144176,Heavy Fuel Oil
TUN,2028.0,HYD,302.3333335752,Hydropower
TUN,2028.0,LFO,85.4722222906,Light Fuel Oil
TUN,2028.0,NGA,22865.0833516254,Natural Gas
TUN,2028.0,SOL,6233.1111160976,Solar
TUN,2028.0,WIN,7338.500005870801,Wind
TUN,2029.0,BIO,2.6111111132,Biomass
TUN,2029.0,COA,5558.2222266688,Coal
TUN,2029.0,HFO,3788.6666696976,Heavy Fuel Oil
TUN,2029.0,HYD,302.3333335752,Hydropower
TUN,2029.0,LFO,78.36111117380001,Light Fuel Oil
TUN,2029.0,NGA,22339.861128983,Natural Gas
TUN,2029.0,SOL,7296.1944502814,Solar
TUN,2029.0,WIN,8250.694451045001,Wind
TUN,2030.0,BIO,1.3055555566,Biomass
TUN,2030.0,COA,5558.2222266688,Coal
TUN,2030.0,HFO,3444.2500027554,Heavy Fuel Oil
TUN,2030.0,HYD,302.3333335752,Hydropower
TUN,2030.0,LFO,71.22222227920001,Light Fuel Oil
TUN,2030.0,NGA,22450.4444624048,Natural Gas
TUN,2030.0,SOL,8781.94445147,Solar
TUN,2030.0,WIN,9162.8888962192,Wind
