Country,y,f,Total installed capacity (GW),Source
BFA,2020,BIO,0.00245,Biomass
BFA,2020,HFO,0.162424,Heavy Fuel Oil
BFA,2020,HYD,0.02622,Hydropower
BFA,2020,LFO,0.2170653641389242,Light Fuel Oil
BFA,2020,SOL,0.255195,Solar
BFA,2021,BIO,0.0023275,Biomass
BFA,2021,HFO,0.1543028,Heavy Fuel Oil
BFA,2021,HYD,0.02622,Hydropower
BFA,2021,LFO,0.2094240141389242,Light Fuel Oil
BFA,2021,SOL,0.3095742178920743,Solar
BFA,2022,BIO,0.002205,Biomass
BFA,2022,HFO,0.1461816,Heavy Fuel Oil
BFA,2022,HYD,0.0471199999999999,Hydropower
BFA,2022,LFO,0.2017826641389242,Light Fuel Oil
BFA,2022,SOL,0.3091492178920741,Solar
BFA,2023,BIO,0.0020825,Biomass
BFA,2023,HFO,0.1380604,Heavy Fuel Oil
BFA,2023,HYD,0.0611199999999999,Hydropower
BFA,2023,LFO,0.1941413141389242,Light Fuel Oil
BFA,2023,SOL,0.3087242178920742,Solar
BFA,2024,BIO,0.00196,Biomass
BFA,2024,HFO,0.1299392,Heavy Fuel Oil
BFA,2024,HYD,0.0611199999999999,Hydropower
BFA,2024,LFO,0.1864999641389242,Light Fuel Oil
BFA,2024,SOL,0.3082992178920742,Solar
BFA,2025,BIO,0.001225,Biomass
BFA,2025,HFO,0.121818,Heavy Fuel Oil
BFA,2025,HYD,0.0611199999999999,Hydropower
BFA,2025,LFO,0.1788586141389242,Light Fuel Oil
BFA,2025,SOL,0.3414811758864011,Solar
BFA,2026,BIO,0.0011025,Biomass
BFA,2026,HFO,0.1136968,Heavy Fuel Oil
BFA,2026,HYD,0.0611199999999999,Hydropower
BFA,2026,LFO,0.1532022663768693,Light Fuel Oil
BFA,2026,SOL,0.4410561758864013,Solar
BFA,2027,BIO,0.00098,Biomass
BFA,2027,HFO,0.1055756,Heavy Fuel Oil
BFA,2027,HYD,0.0611199999999999,Hydropower
BFA,2027,LFO,0.1349845787630024,Light Fuel Oil
BFA,2027,SOL,0.5370448921499112,Solar
BFA,2028,BIO,0.0008575,Biomass
BFA,2028,HFO,0.0974544,Heavy Fuel Oil
BFA,2028,HYD,0.0611199999999999,Hydropower
BFA,2028,LFO,0.0916962,Light Fuel Oil
BFA,2028,SOL,0.6366198921499112,Solar
BFA,2029,BIO,0.000735,Biomass
BFA,2029,HFO,0.0893332,Heavy Fuel Oil
BFA,2029,HYD,0.0611199999999999,Hydropower
BFA,2029,LFO,0.08405485,Light Fuel Oil
BFA,2029,SOL,0.7361948921499113,Solar
BFA,2030,BIO,0.0006125,Biomass
BFA,2030,HFO,0.081212,Heavy Fuel Oil
BFA,2030,HYD,0.0611199999999999,Hydropower
BFA,2030,LFO,0.0764135,Light Fuel Oil
BFA,2030,SOL,0.8357698921499113,Solar
