Country,y,f,Total installed capacity (GW),Source
CIV,2020,GAS,1.125,Natural Gas
CIV,2020,HFO,0.010075,Heavy Fuel Oil
CIV,2020,HYD,0.5848,Hydropower
CIV,2020,LFO,0.2492663571933991,Light Fuel Oil
CIV,2020,SOL,0.0048,Solar
CIV,2021,BIO,1.904828324275769,Biomass
CIV,2021,GAS,1.08165,Natural Gas
CIV,2021,HFO,0.00957125,Heavy Fuel Oil
CIV,2021,HYD,0.5848,Hydropower
CIV,2021,LFO,0.2392294571933991,Light Fuel Oil
CIV,2021,SOL,0.0046,Solar
CIV,2022,BIO,1.904828324275769,Biomass
CIV,2022,GAS,1.0383,Natural Gas
CIV,2022,HFO,0.0090675,Heavy Fuel Oil
CIV,2022,HYD,0.5848,Hydropower
CIV,2022,LFO,0.2291925571933991,Light Fuel Oil
CIV,2022,SOL,0.0043999999999999,Solar
CIV,2023,BIO,1.904828324275769,Biomass
CIV,2023,GAS,0.99495,Natural Gas
CIV,2023,HFO,0.00856375,Heavy Fuel Oil
CIV,2023,HYD,1.905,Hydropower
CIV,2023,LFO,0.2191556571933991,Light Fuel Oil
CIV,2023,SOL,0.0042,Solar
CIV,2024,BIO,1.904828324275769,Biomass
CIV,2024,GAS,0.9516,Natural Gas
CIV,2024,HFO,0.00806,Heavy Fuel Oil
CIV,2024,HYD,1.905,Hydropower
CIV,2024,LFO,0.2091187571933991,Light Fuel Oil
CIV,2024,SOL,0.004,Solar
CIV,2025,BIO,1.904828324275769,Biomass
CIV,2025,GAS,0.90825,Natural Gas
CIV,2025,HFO,0.00755625,Heavy Fuel Oil
CIV,2025,HYD,1.905,Hydropower
CIV,2025,LFO,0.1990818571933991,Light Fuel Oil
CIV,2025,SOL,0.0038,Solar
CIV,2026,BIO,1.904828324275769,Biomass
CIV,2026,GAS,0.8649,Natural Gas
CIV,2026,HFO,0.0070525,Heavy Fuel Oil
CIV,2026,HYD,1.905,Hydropower
CIV,2026,LFO,0.1405166,Light Fuel Oil
CIV,2026,SOL,0.0036,Solar
CIV,2027,BIO,1.904828324275769,Biomass
CIV,2027,GAS,0.82155,Natural Gas
CIV,2027,HFO,0.00654875,Heavy Fuel Oil
CIV,2027,HYD,1.905,Hydropower
CIV,2027,LFO,0.1304797,Light Fuel Oil
CIV,2027,SOL,0.0034,Solar
CIV,2028,BIO,1.904828324275769,Biomass
CIV,2028,GAS,0.7782,Natural Gas
CIV,2028,HFO,0.006045,Heavy Fuel Oil
CIV,2028,HYD,1.905,Hydropower
CIV,2028,LFO,0.1204428,Light Fuel Oil
CIV,2028,SOL,0.2532,Solar
CIV,2029,BIO,1.904828324275769,Biomass
CIV,2029,GAS,0.73485,Natural Gas
CIV,2029,HFO,0.00554125,Heavy Fuel Oil
CIV,2029,HYD,1.905,Hydropower
CIV,2029,LFO,0.1104059,Light Fuel Oil
CIV,2029,SOL,0.503,Solar
CIV,2030,BIO,1.904828324275769,Biomass
CIV,2030,GAS,0.6915,Natural Gas
CIV,2030,HFO,0.0050375,Heavy Fuel Oil
CIV,2030,HYD,1.905,Hydropower
CIV,2030,LFO,0.100369,Light Fuel Oil
CIV,2030,SOL,0.896797195714663,Solar
