Country,y,f,Total installed capacity (GW),Source
COD,2020,GAS,0.0145,Natural Gas
COD,2020,HFO,0.0221,Heavy Fuel Oil
COD,2020,HYD,2.68084,Hydropower
COD,2020,LFO,0.0145817919461964,Light Fuel Oil
COD,2020,SOL,0.00395,Solar
COD,2021,GAS,0.013775,Natural Gas
COD,2021,HFO,0.020995,Heavy Fuel Oil
COD,2021,HYD,2.68084,Hydropower
COD,2021,LFO,0.0141217919461964,Light Fuel Oil
COD,2021,SOL,0.0039,Solar
COD,2022,GAS,0.01305,Natural Gas
COD,2022,HFO,0.01989,Heavy Fuel Oil
COD,2022,HYD,2.72984,Hydropower
COD,2022,LFO,0.0136617919461963,Light Fuel Oil
COD,2022,SOL,0.00385,Solar
COD,2023,GAS,0.012325,Natural Gas
COD,2023,HFO,0.018785,Heavy Fuel Oil
COD,2023,HYD,2.72984,Hydropower
COD,2023,LFO,0.0132017919461964,Light Fuel Oil
COD,2023,SOL,0.0038,Solar
COD,2024,GAS,0.0116,Natural Gas
COD,2024,HFO,0.01768,Heavy Fuel Oil
COD,2024,HYD,2.72984,Hydropower
COD,2024,LFO,0.0127417919461964,Light Fuel Oil
COD,2024,SOL,0.00375,Solar
COD,2025,GAS,0.010875,Natural Gas
COD,2025,HFO,0.016575,Heavy Fuel Oil
COD,2025,HYD,3.2051776046996485,Hydropower
COD,2025,LFO,0.0122817919461964,Light Fuel Oil
COD,2025,SOL,0.0037,Solar
COD,2026,GAS,0.01015,Natural Gas
COD,2026,HFO,0.01547,Heavy Fuel Oil
COD,2026,HYD,3.693712291059106,Hydropower
COD,2026,LFO,0.0118217919461964,Light Fuel Oil
COD,2026,SOL,0.00365,Solar
COD,2027,GAS,0.009425,Natural Gas
COD,2027,HFO,0.014365,Heavy Fuel Oil
COD,2027,HYD,4.138123662436399,Hydropower
COD,2027,LFO,0.0113617919461964,Light Fuel Oil
COD,2027,SOL,0.0036,Solar
COD,2028,GAS,0.0087,Natural Gas
COD,2028,HFO,0.01326,Heavy Fuel Oil
COD,2028,HYD,4.578420288538407,Hydropower
COD,2028,LFO,0.00552,Light Fuel Oil
COD,2028,SOL,0.00355,Solar
COD,2029,GAS,0.007975,Natural Gas
COD,2029,HFO,0.012155,Heavy Fuel Oil
COD,2029,HYD,5.0826338103257385,Hydropower
COD,2029,LFO,0.00506,Light Fuel Oil
COD,2029,SOL,0.0035,Solar
COD,2030,GAS,0.00725,Natural Gas
COD,2030,HFO,0.01105,Heavy Fuel Oil
COD,2030,HYD,5.424674503652085,Hydropower
COD,2030,LFO,0.0046,Light Fuel Oil
COD,2030,SOL,0.0592271962353254,Solar
