Country,y,f,Total installed capacity (GW),Source
LBR,2020,HFO,0.157,Heavy Fuel Oil
LBR,2020,HYD,0.071,Hydropower
LBR,2020,LFO,0.0226089447604077,Light Fuel Oil
LBR,2021,HFO,0.15105,Heavy Fuel Oil
LBR,2021,HYD,0.071,Hydropower
LBR,2021,LFO,0.0218339447604078,Light Fuel Oil
LBR,2021,SOL,0.0020476834607026,Solar
LBR,2022,HFO,0.1451,Heavy Fuel Oil
LBR,2022,HYD,0.071,Hydropower
LBR,2022,LFO,0.0210589447604078,Light Fuel Oil
LBR,2022,SOL,0.0040842099718689,Solar
LBR,2023,HFO,0.13915,Heavy Fuel Oil
LBR,2023,HYD,0.918537872384044,Hydropower
LBR,2023,LFO,0.0202839447604077,Light Fuel Oil
LBR,2023,SOL,0.0057010113023772,Solar
LBR,2024,HFO,0.1332,Heavy Fuel Oil
LBR,2024,HYD,0.966361627291974,Hydropower
LBR,2024,LFO,0.0195089447604078,Light Fuel Oil
LBR,2024,SOL,0.0189737042486936,Solar
LBR,2025,HFO,0.12725,Heavy Fuel Oil
LBR,2025,HYD,1.0171601857540158,Hydropower
LBR,2025,LFO,0.0187339447604078,Light Fuel Oil
LBR,2025,SOL,0.0242372674816054,Solar
LBR,2026,HFO,0.1212999999999999,Heavy Fuel Oil
LBR,2026,HYD,1.0698128133463012,Hydropower
LBR,2026,LFO,0.0179589447604078,Light Fuel Oil
LBR,2026,SOL,0.0261001077731073,Solar
LBR,2027,HFO,0.11535,Heavy Fuel Oil
LBR,2027,HYD,1.0893437467617442,Hydropower
LBR,2027,LFO,0.0157181013439803,Light Fuel Oil
LBR,2027,SOL,0.0273784623230849,Solar
LBR,2028,HFO,0.1094,Heavy Fuel Oil
LBR,2028,HYD,1.0992224615727473,Hydropower
LBR,2028,LFO,0.0093,Light Fuel Oil
LBR,2028,SOL,0.0327814637463115,Solar
LBR,2029,HFO,0.1034499999999999,Heavy Fuel Oil
LBR,2029,HYD,1.1234962694717043,Hydropower
LBR,2029,LFO,0.008525,Light Fuel Oil
LBR,2029,SOL,0.0342723609130121,Solar
LBR,2030,HFO,0.0975,Heavy Fuel Oil
LBR,2030,HYD,1.1234962694717043,Hydropower
LBR,2030,LFO,0.00775,Light Fuel Oil
LBR,2030,SOL,0.0557956755146514,Solar
