Country,y,f,Total installed capacity (GW),Source
MOZ,2020,GAS,0.5851,Natural Gas
MOZ,2020,HFO,0.01768,Heavy Fuel Oil
MOZ,2020,HYD,2.24427,Hydropower
MOZ,2020,LFO,0.449846,Light Fuel Oil
MOZ,2020,SOL,0.0146499999999999,Solar
MOZ,2021,BIO,9.027341523611216,Biomass
MOZ,2021,GAS,0.560845,Natural Gas
MOZ,2021,HFO,0.016796,Heavy Fuel Oil
MOZ,2021,HYD,2.24427,Hydropower
MOZ,2021,LFO,0.4473537,Light Fuel Oil
MOZ,2021,SOL,0.0142999999999999,Solar
MOZ,2022,BIO,9.027341523611216,Biomass
MOZ,2022,GAS,0.53659,Natural Gas
MOZ,2022,HFO,0.015912,Heavy Fuel Oil
MOZ,2022,HYD,2.24427,Hydropower
MOZ,2022,LFO,0.4448614,Light Fuel Oil
MOZ,2022,SOL,0.0139499999999999,Solar
MOZ,2023,BIO,9.027341523611216,Biomass
MOZ,2023,GAS,0.512335,Natural Gas
MOZ,2023,HFO,0.015028,Heavy Fuel Oil
MOZ,2023,HYD,2.24427,Hydropower
MOZ,2023,LFO,0.4423691,Light Fuel Oil
MOZ,2023,SOL,0.0136,Solar
MOZ,2024,BIO,9.027341523611216,Biomass
MOZ,2024,GAS,0.4880799999999999,Natural Gas
MOZ,2024,HFO,0.014144,Heavy Fuel Oil
MOZ,2024,HYD,2.24427,Hydropower
MOZ,2024,LFO,0.4398768,Light Fuel Oil
MOZ,2024,SOL,0.01325,Solar
MOZ,2025,BIO,9.027341523611216,Biomass
MOZ,2025,GAS,0.463825,Natural Gas
MOZ,2025,HFO,0.01326,Heavy Fuel Oil
MOZ,2025,HYD,2.284331182406766,Hydropower
MOZ,2025,LFO,0.3373845,Light Fuel Oil
MOZ,2025,SOL,0.0129,Solar
MOZ,2026,BIO,9.027341523611216,Biomass
MOZ,2026,GAS,0.43957,Natural Gas
MOZ,2026,HFO,0.012376,Heavy Fuel Oil
MOZ,2026,HYD,2.6030286752968657,Hydropower
MOZ,2026,LFO,0.2348922,Light Fuel Oil
MOZ,2026,SOL,0.01255,Solar
MOZ,2027,BIO,9.027341523611216,Biomass
MOZ,2027,GAS,0.415315,Natural Gas
MOZ,2027,HFO,0.011492,Heavy Fuel Oil
MOZ,2027,HYD,2.871536687859346,Hydropower
MOZ,2027,LFO,0.1323999,Light Fuel Oil
MOZ,2027,SOL,0.0122,Solar
MOZ,2028,BIO,9.027341523611216,Biomass
MOZ,2028,GAS,0.3910599999999999,Natural Gas
MOZ,2028,HFO,0.010608,Heavy Fuel Oil
MOZ,2028,HYD,3.372471417971797,Hydropower
MOZ,2028,LFO,0.0299076,Light Fuel Oil
MOZ,2028,SOL,0.01185,Solar
MOZ,2029,BIO,9.027341523611216,Biomass
MOZ,2029,GAS,0.366805,Natural Gas
MOZ,2029,HFO,0.009724,Heavy Fuel Oil
MOZ,2029,HYD,3.5171626972221457,Hydropower
MOZ,2029,LFO,0.0274153,Light Fuel Oil
MOZ,2029,SOL,0.0115,Solar
MOZ,2030,BIO,9.027341523611216,Biomass
MOZ,2030,GAS,0.34255,Natural Gas
MOZ,2030,HFO,0.00884,Heavy Fuel Oil
MOZ,2030,HYD,3.5171626972221457,Hydropower
MOZ,2030,LFO,0.024923,Light Fuel Oil
MOZ,2030,SOL,0.01115,Solar
