Country,y,f,Total installed capacity (GW),Source
MRT,2020,HFO,0.423034,Heavy Fuel Oil
MRT,2020,HYD,0.0689999999999999,Hydropower
MRT,2020,LFO,0.0750611058898503,Light Fuel Oil
MRT,2020,SOL,0.1675259984090289,Solar
MRT,2020,WIN,0.0344,Wind
MRT,2021,BIO,0.0962860022918293,Biomass
MRT,2021,HFO,0.4085623,Heavy Fuel Oil
MRT,2021,HYD,0.0689999999999999,Hydropower
MRT,2021,LFO,0.0733490558898503,Light Fuel Oil
MRT,2021,SOL,0.2134954829127647,Solar
MRT,2021,WIN,0.25,Wind
MRT,2022,BIO,0.0962860022918293,Biomass
MRT,2022,HFO,0.3940906,Heavy Fuel Oil
MRT,2022,HYD,0.0689999999999999,Hydropower
MRT,2022,LFO,0.0716370058898503,Light Fuel Oil
MRT,2022,SOL,0.245021659375893,Solar
MRT,2022,WIN,0.25,Wind
MRT,2023,BIO,0.0962860022918293,Biomass
MRT,2023,HFO,0.3796189,Heavy Fuel Oil
MRT,2023,HYD,0.1289999999999999,Hydropower
MRT,2023,LFO,0.0699249558898503,Light Fuel Oil
MRT,2023,SOL,0.244161659375893,Solar
MRT,2023,WIN,0.24978,Wind
MRT,2024,BIO,0.0962860022918293,Biomass
MRT,2024,HFO,0.3651472,Heavy Fuel Oil
MRT,2024,HYD,0.1289999999999999,Hydropower
MRT,2024,LFO,0.0682129058898503,Light Fuel Oil
MRT,2024,SOL,0.2479682569095004,Solar
MRT,2024,WIN,0.24956,Wind
MRT,2025,BIO,0.0962860022918293,Biomass
MRT,2025,HFO,0.3506755,Heavy Fuel Oil
MRT,2025,HYD,0.1289999999999999,Hydropower
MRT,2025,LFO,0.0665008558898503,Light Fuel Oil
MRT,2025,SOL,0.2560634512977934,Solar
MRT,2025,WIN,0.25,Wind
MRT,2026,BIO,0.0962860022918293,Biomass
MRT,2026,HFO,0.3362038,Heavy Fuel Oil
MRT,2026,HYD,0.1289999999999999,Hydropower
MRT,2026,LFO,0.0590092498450196,Light Fuel Oil
MRT,2026,SOL,0.2811701611944905,Solar
MRT,2026,WIN,0.25,Wind
MRT,2027,BIO,0.0962860022918293,Biomass
MRT,2027,HFO,0.3217320999999999,Heavy Fuel Oil
MRT,2027,HYD,0.1289999999999999,Hydropower
MRT,2027,LFO,0.0406627753978567,Light Fuel Oil
MRT,2027,SOL,0.3294245900004935,Solar
MRT,2027,WIN,0.25,Wind
MRT,2028,BIO,0.0962860022918293,Biomass
MRT,2028,HFO,0.3072604,Heavy Fuel Oil
MRT,2028,HYD,0.1289999999999999,Hydropower
MRT,2028,LFO,0.0205446,Light Fuel Oil
MRT,2028,SOL,0.4056643596953232,Solar
MRT,2028,WIN,0.24978,Wind
MRT,2029,BIO,0.0962860022918293,Biomass
MRT,2029,HFO,0.2927887,Heavy Fuel Oil
MRT,2029,HYD,0.1289999999999999,Hydropower
MRT,2029,LFO,0.01883255,Light Fuel Oil
MRT,2029,SOL,0.48796006720695,Solar
MRT,2029,WIN,0.24956,Wind
MRT,2030,BIO,0.0962860022918293,Biomass
MRT,2030,HFO,0.278317,Heavy Fuel Oil
MRT,2030,HYD,0.1289999999999999,Hydropower
MRT,2030,LFO,0.0171205,Light Fuel Oil
MRT,2030,SOL,0.6624208693105238,Solar
MRT,2030,WIN,0.24934,Wind
