Country,y,f,Total installed capacity (GW),Source
TGO,2020,HFO,0.00125,Heavy Fuel Oil
TGO,2020,HYD,0.1407,Hydropower
TGO,2020,LFO,0.0730901280498216,Light Fuel Oil
TGO,2020,SOL,0.00295,Solar
TGO,2021,BIO,0.2862684956233181,Biomass
TGO,2021,HFO,0.0011875,Heavy Fuel Oil
TGO,2021,HYD,0.1407,Hydropower
TGO,2021,LFO,0.0695844280498216,Light Fuel Oil
TGO,2021,SOL,0.0029,Solar
TGO,2022,BIO,0.2862684956233181,Biomass
TGO,2022,HFO,0.001125,Heavy Fuel Oil
TGO,2022,HYD,0.1407,Hydropower
TGO,2022,LFO,0.0660787280498216,Light Fuel Oil
TGO,2022,SOL,0.00285,Solar
TGO,2023,BIO,0.2862684956233181,Biomass
TGO,2023,HFO,0.0010625,Heavy Fuel Oil
TGO,2023,HYD,0.3016,Hydropower
TGO,2023,LFO,0.0625730280498216,Light Fuel Oil
TGO,2023,SOL,0.0028,Solar
TGO,2024,BIO,0.2862684956233181,Biomass
TGO,2024,HFO,0.001,Heavy Fuel Oil
TGO,2024,HYD,0.3016,Hydropower
TGO,2024,LFO,0.0590673280498216,Light Fuel Oil
TGO,2024,SOL,0.0290434566573117,Solar
TGO,2025,BIO,0.2862684956233181,Biomass
TGO,2025,HFO,0.0009375,Heavy Fuel Oil
TGO,2025,HYD,0.3016,Hydropower
TGO,2025,LFO,0.0555616280498216,Light Fuel Oil
TGO,2025,SOL,0.0569357095912772,Solar
TGO,2026,BIO,0.3706486650182506,Biomass
TGO,2026,HFO,0.000875,Heavy Fuel Oil
TGO,2026,HYD,0.3016,Hydropower
TGO,2026,LFO,0.0520559280498216,Light Fuel Oil
TGO,2026,SOL,0.0853916087076158,Solar
TGO,2027,BIO,0.3706486650182506,Biomass
TGO,2027,HFO,0.0008125,Heavy Fuel Oil
TGO,2027,HYD,0.3016,Hydropower
TGO,2027,LFO,0.0455741,Light Fuel Oil
TGO,2027,SOL,0.178868095889002,Solar
TGO,2028,BIO,0.3706486650182506,Biomass
TGO,2028,HFO,0.00075,Heavy Fuel Oil
TGO,2028,HYD,0.3016,Hydropower
TGO,2028,LFO,0.0420684,Light Fuel Oil
TGO,2028,SOL,0.3034863973948202,Solar
TGO,2029,BIO,0.3706486650182506,Biomass
TGO,2029,HFO,0.0006875,Heavy Fuel Oil
TGO,2029,HYD,0.3016,Hydropower
TGO,2029,LFO,0.0385627,Light Fuel Oil
TGO,2029,SOL,0.4419878598735685,Solar
TGO,2030,BIO,0.3706486650182506,Biomass
TGO,2030,HFO,0.000625,Heavy Fuel Oil
TGO,2030,HYD,0.3016,Hydropower
TGO,2030,LFO,0.035057,Light Fuel Oil
TGO,2030,SOL,0.6419378598735683,Solar
