Country,y,f,Total installed capacity (GW),Source
UGA,2020,BIO,0.0605,Biomass
UGA,2020,HYD,1.521951,Hydropower
UGA,2020,LFO,0.1039,Light Fuel Oil
UGA,2020,SOL,0.0450094999999999,Solar
UGA,2021,BIO,0.057475,Biomass
UGA,2021,HYD,1.521951,Hydropower
UGA,2021,LFO,0.098705,Light Fuel Oil
UGA,2021,SOL,0.044009,Solar
UGA,2022,BIO,0.05445,Biomass
UGA,2022,HYD,1.521951,Hydropower
UGA,2022,LFO,0.09351,Light Fuel Oil
UGA,2022,SOL,0.0430085,Solar
UGA,2023,BIO,0.051425,Biomass
UGA,2023,HYD,1.521951,Hydropower
UGA,2023,LFO,0.088315,Light Fuel Oil
UGA,2023,SOL,0.042008,Solar
UGA,2024,BIO,0.0484,Biomass
UGA,2024,HYD,1.521951,Hydropower
UGA,2024,LFO,0.08312,Light Fuel Oil
UGA,2024,SOL,0.0410075,Solar
UGA,2025,BIO,0.03025,Biomass
UGA,2025,GEO,0.0928795293412715,Geothermal
UGA,2025,HYD,1.527351,Hydropower
UGA,2025,LFO,0.077925,Light Fuel Oil
UGA,2025,SOL,0.040007,Solar
UGA,2026,BIO,0.027225,Biomass
UGA,2026,GEO,0.0928795293412715,Geothermal
UGA,2026,HYD,1.527351,Hydropower
UGA,2026,LFO,0.07273,Light Fuel Oil
UGA,2026,SOL,0.0390065,Solar
UGA,2027,BIO,0.0242,Biomass
UGA,2027,GEO,0.1928795293412715,Geothermal
UGA,2027,HYD,1.527351,Hydropower
UGA,2027,LFO,0.067535,Light Fuel Oil
UGA,2027,SOL,0.038006,Solar
UGA,2028,BIO,0.021175,Biomass
UGA,2028,GEO,0.2928795293412715,Geothermal
UGA,2028,HYD,1.527351,Hydropower
UGA,2028,LFO,0.06234,Light Fuel Oil
UGA,2028,SOL,0.0370055,Solar
UGA,2029,BIO,0.01815,Biomass
UGA,2029,GEO,0.3928795293412715,Geothermal
UGA,2029,HYD,1.527351,Hydropower
UGA,2029,LFO,0.057145,Light Fuel Oil
UGA,2029,SOL,0.0360049999999999,Solar
UGA,2030,BIO,0.015125,Biomass
UGA,2030,GEO,0.45,Geothermal
UGA,2030,HYD,1.527351,Hydropower
UGA,2030,LFO,0.05195,Light Fuel Oil
UGA,2030,SOL,0.0470645495123041,Solar
