Country,y,f,Total annual demand (GWh),Demand type
COG,2020.0,EL3E,2068.8611127662,Current electrified
COG,2021.0,EL3E,1553.6944456874,Current electrified
COG,2021.0,EL3U,138.5277778886,New electrified
COG,2022.0,EL3E,1454.6111122748,Current electrified
COG,2022.0,EL3U,277.02777799940003,New electrified
COG,2023.0,EL3E,1361.0833344222003,Current electrified
COG,2023.0,EL3U,415.555555888,New electrified
COG,2024.0,EL3E,1274.0555565748,Current electrified
COG,2024.0,EL3U,554.0833337766,New electrified
COG,2025.0,EL3E,1194.722223178,Current electrified
COG,2025.0,EL3U,692.5833338874,New electrified
COG,2026.0,EL3E,1251.8333343348,Current electrified
COG,2026.0,EL3U,831.111111776,New electrified
COG,2027.0,EL3E,1317.8055566098,Current electrified
COG,2027.0,EL3U,870.7777784744,New electrified
COG,2028.0,EL3E,1392.2777788916,Current electrified
COG,2028.0,EL3U,910.416667395,New electrified
COG,2029.0,EL3E,1475.2500011802,Current electrified
COG,2029.0,EL3U,950.0833340934,New electrified
COG,2030.0,EL3E,1566.5000012532,Current electrified
COG,2030.0,EL3U,989.722223014,New electrified
COG,2022.0,CODEL1,187.25000014980003,Exports (COD)
COG,2023.0,CODEL1,187.25000014980003,Exports (COD)
COG,2024.0,CODEL1,187.25000014980003,Exports (COD)
COG,2025.0,CODEL1,187.25000014980003,Exports (COD)
COG,2026.0,CODEL1,187.25000014980003,Exports (COD)
COG,2027.0,CODEL1,160.27777790599998,Exports (COD)
COG,2028.0,CODEL1,126.944444546,Exports (COD)
COG,2029.0,CODEL1,103.8333334164,Exports (COD)
COG,2030.0,CODEL1,187.25000014980003,Exports (COD)
