Country,y,f,Total annual demand (GWh),Demand type
GNB,2020.0,EL3E,91.6388889622,Current electrified
GNB,2021.0,EL3E,93.9444445196,Current electrified
GNB,2021.0,EL3U,5.6388888934,New electrified
GNB,2022.0,EL3E,96.0555556324,Current electrified
GNB,2022.0,EL3U,11.3055555646,New electrified
GNB,2023.0,EL3E,97.9722223006,Current electrified
GNB,2023.0,EL3U,16.944444458,New electrified
GNB,2024.0,EL3E,99.6666667464,Current electrified
GNB,2024.0,EL3U,22.5833333514,New electrified
GNB,2025.0,EL3E,104.9444445284,Current electrified
GNB,2025.0,EL3U,28.2500000226,New electrified
GNB,2026.0,EL3E,110.277777866,Current electrified
GNB,2026.0,EL3U,33.888888916,New electrified
GNB,2027.0,EL3E,115.6666667592,Current electrified
GNB,2027.0,EL3U,35.416666695,New electrified
GNB,2028.0,EL3E,121.1388889858,Current electrified
GNB,2028.0,EL3U,36.944444474,New electrified
GNB,2029.0,EL3E,126.6388889902,Current electrified
GNB,2029.0,EL3U,38.472222253000005,New electrified
GNB,2030.0,EL3E,133.0000001064,Current electrified
GNB,2030.0,EL3U,40.000000032,New electrified
GNB,2020.0,GINEL1,70.52777783420001,Exports (GIN)
GNB,2021.0,GMBEL1,134.027777885,Exports (GMB)
GNB,2022.0,GMBEL1,125.5833334338,Exports (GMB)
GNB,2023.0,GMBEL1,5.7500000046,Exports (GMB)
GNB,2024.0,GMBEL1,5.361111115400001,Exports (GMB)
GNB,2025.0,GINEL1,2.8333333356000003,Exports (GIN)
GNB,2025.0,GMBEL1,1.111111112,Exports (GMB)
GNB,2026.0,GINEL1,2.5277777798,Exports (GIN)
GNB,2027.0,GMBEL1,1.6388888902,Exports (GMB)
GNB,2028.0,GINEL1,8.638888895800001,Exports (GIN)
GNB,2029.0,GINEL1,14.6111111228,Exports (GIN)
GNB,2029.0,GMBEL1,5.1111111152,Exports (GMB)
GNB,2030.0,GINEL1,11.666666676000002,Exports (GIN)
GNB,2030.0,GMBEL1,18.222222236800004,Exports (GMB)
