Country,y,f,Total annual demand (GWh),Demand type
LBR,2020.0,EL3E,317.1944446982001,Current electrified
LBR,2021.0,EL3E,325.277778038,Current electrified
LBR,2021.0,EL3U,156.0277779026,New electrified
LBR,2022.0,EL3E,332.5555558216,Current electrified
LBR,2022.0,EL3U,312.0277780274,New electrified
LBR,2023.0,EL3E,339.11111138240005,Current electrified
LBR,2023.0,EL3U,468.05555593,New electrified
LBR,2024.0,EL3E,345.05555583160003,Current electrified
LBR,2024.0,EL3U,624.0833338326,New electrified
LBR,2025.0,EL3E,363.2777780684,Current electrified
LBR,2025.0,EL3U,780.0833339574,New electrified
LBR,2026.0,EL3E,381.7500003054,Current electrified
LBR,2026.0,EL3U,936.11111186,New electrified
LBR,2027.0,EL3E,400.4722225426001,Current electrified
LBR,2027.0,EL3U,980.277778562,New electrified
LBR,2028.0,EL3E,419.3611114466,Current electrified
LBR,2028.0,EL3U,1024.444445264,New electrified
LBR,2029.0,EL3E,438.4444447952,Current electrified
LBR,2029.0,EL3U,1068.611111966,New electrified
LBR,2030.0,EL3E,460.4722225906,Current electrified
LBR,2030.0,EL3U,1112.777778668,New electrified
LBR,2020.0,CIVEL1,986.4722230114,Exports (CIV)
LBR,2021.0,GINEL1,209.9444446124,Exports (GIN)
LBR,2021.0,SLEEL1,708.5833339002,Exports (SLE)
LBR,2022.0,SLEEL1,218.0833335078,Exports (SLE)
LBR,2023.0,CIVEL1,2809.5000022476,Exports (CIV)
LBR,2024.0,CIVEL1,2809.5000022476,Exports (CIV)
LBR,2025.0,CIVEL1,2809.5000022476,Exports (CIV)
LBR,2026.0,CIVEL1,2809.5000022476,Exports (CIV)
LBR,2027.0,CIVEL1,2809.5000022476,Exports (CIV)
LBR,2028.0,CIVEL1,2809.5000022476,Exports (CIV)
LBR,2029.0,CIVEL1,2809.5000022476,Exports (CIV)
LBR,2030.0,CIVEL1,2809.5000022476,Exports (CIV)
LBR,2030.0,SLEEL1,38.333333364000005,Exports (SLE)
