Country,y,f,Total annual demand (GWh),Demand type
LSO,2020.0,EL3E,953.5277785406,Current electrified
LSO,2021.0,EL3E,1113.8333342244,Current electrified
LSO,2021.0,EL3U,35.972222251000005,New electrified
LSO,2022.0,EL3E,1292.9722232566,Current electrified
LSO,2022.0,EL3U,71.94444450200001,New electrified
LSO,2023.0,EL3E,1492.6944456386,Current electrified
LSO,2023.0,EL3U,107.916666753,New electrified
LSO,2024.0,EL3E,1715.4444458167998,Current electrified
LSO,2024.0,EL3U,143.88888900400002,New electrified
LSO,2025.0,EL3E,1926.2777793188,Current electrified
LSO,2025.0,EL3U,179.861111255,New electrified
LSO,2026.0,EL3E,2157.6111128372004,Current electrified
LSO,2026.0,EL3U,215.833333506,New electrified
LSO,2027.0,EL3E,2410.6666685952,Current electrified
LSO,2027.0,EL3U,226.250000181,New electrified
LSO,2028.0,EL3E,2687.0555577052005,Current electrified
LSO,2028.0,EL3U,236.666666856,New electrified
LSO,2029.0,EL3E,2988.4444468352003,Current electrified
LSO,2029.0,EL3U,247.083333531,New electrified
LSO,2030.0,EL3E,3284.5277804054,Current electrified
LSO,2030.0,EL3U,257.50000020600004,New electrified
LSO,2023.0,ZAFEL1,210.72222239080003,Exports (ZAF)
LSO,2024.0,ZAFEL1,130.9166667714,Exports (ZAF)
LSO,2025.0,ZAFEL1,75.138888949,Exports (ZAF)
LSO,2026.0,ZAFEL1,16.916666680200002,Exports (ZAF)
LSO,2028.0,ZAFEL1,47.2777778156,Exports (ZAF)
LSO,2029.0,ZAFEL1,263.8888891,Exports (ZAF)
LSO,2030.0,ZAFEL1,530.138889313,Exports (ZAF)
