Country,y,f,Total annual demand (GWh),Demand type
MRT,2020.0,EL3E,1249.3055565550003,Current electrified
MRT,2021.0,EL3E,1427.8611122534,Current electrified
MRT,2021.0,EL3U,44.3888889244,New electrified
MRT,2022.0,EL3E,1604.9444457283998,Current electrified
MRT,2022.0,EL3U,88.8055556266,New electrified
MRT,2023.0,EL3E,1780.8055569802,Current electrified
MRT,2023.0,EL3U,133.194444551,New electrified
MRT,2024.0,EL3E,1955.7222237868,Current electrified
MRT,2024.0,EL3U,177.5833334754,New electrified
MRT,2025.0,EL3E,2059.9444460924005,Current electrified
MRT,2025.0,EL3U,222.0000001776,New electrified
MRT,2026.0,EL3E,2163.5555572864,Current electrified
MRT,2026.0,EL3U,266.388889102,New electrified
MRT,2027.0,EL3E,2266.6111129244005,Current electrified
MRT,2027.0,EL3U,280.833333558,New electrified
MRT,2028.0,EL3E,2369.0833352286004,Current electrified
MRT,2028.0,EL3U,295.277778014,New electrified
MRT,2029.0,EL3E,2471.1388908658005,Current electrified
MRT,2029.0,EL3U,309.72222247,New electrified
MRT,2030.0,EL3E,2578.5000020628004,Current electrified
MRT,2030.0,EL3U,324.166666926,New electrified
MRT,2020.0,SENEL1,810.1944450926001,Exports (SEN)
MRT,2021.0,SENEL1,180.0277779218,Exports (SEN)
MRT,2022.0,SENEL1,574.2777782372001,Exports (SEN)
MRT,2030.0,SENEL1,253.9444446476,Exports (SEN)
