Country,y,f,Total annual demand (GWh),Demand type
NAM,2020.0,EL3E,4928.6944483874,Current electrified
NAM,2020.0,EL3U,171.86111124860005,New electrified
NAM,2021.0,EL3E,5757.222226828,Current electrified
NAM,2021.0,EL3U,343.75000027500005,New electrified
NAM,2022.0,EL3E,6683.138894235401,Current electrified
NAM,2022.0,EL3U,515.6111115236,New electrified
NAM,2023.0,EL3E,7715.5277839502,Current electrified
NAM,2023.0,EL3U,687.5000005500001,New electrified
NAM,2024.0,EL3E,8866.944451538,Current electrified
NAM,2024.0,EL3U,859.3611117986001,New electrified
NAM,2025.0,EL3E,9956.666674632,Current electrified
NAM,2025.0,EL3U,1031.250000825,New electrified
NAM,2026.0,EL3E,11152.4166755886,Current electrified
NAM,2026.0,EL3U,1203.1111120736,New electrified
NAM,2027.0,EL3E,12460.5277877462,Current electrified
NAM,2027.0,EL3U,1374.9722233222,New electrified
NAM,2028.0,EL3E,13889.027788889,Current electrified
NAM,2028.0,EL3U,1546.8611123486,New electrified
NAM,2029.0,EL3E,15446.9166790242,Current electrified
NAM,2029.0,EL3U,1718.7222235972,New electrified
NAM,2030.0,EL3E,16977.3889024708,Current electrified
NAM,2030.0,EL3U,1890.6111126236,New electrified
NAM,2023.0,ZAFEL1,1427.8055566978,Exports (ZAF)
NAM,2024.0,ZAFEL1,1324.8888899488,Exports (ZAF)
NAM,2025.0,ZAFEL1,789.5277784094,Exports (ZAF)
NAM,2026.0,ZAFEL1,927.1111118528,Exports (ZAF)
NAM,2027.0,ZAFEL1,222.0555557332,Exports (ZAF)
