Country,y,f,Total annual demand (GWh),Demand type
ZMB,2020.0,EL3E,14589.2777894492,Current electrified
ZMB,2021.0,EL3E,14682.1666784124,Current electrified
ZMB,2021.0,EL3U,613.611111602,New electrified
ZMB,2022.0,EL3E,15417.6111234452,Current electrified
ZMB,2022.0,EL3U,1227.222223204,New electrified
ZMB,2023.0,EL3E,16168.5000129348,Current electrified
ZMB,2023.0,EL3U,1840.833334806,New electrified
ZMB,2024.0,EL3E,16934.8889024368,Current electrified
ZMB,2024.0,EL3U,2454.444446408,New electrified
ZMB,2025.0,EL3E,17716.8333475068,Current electrified
ZMB,2025.0,EL3U,3068.05555801,New electrified
ZMB,2026.0,EL3E,17912.2500143298,Current electrified
ZMB,2026.0,EL3U,3681.666669612,New electrified
ZMB,2027.0,EL3E,18123.1111256096,Current electrified
ZMB,2027.0,EL3U,3900.00000312,New electrified
ZMB,2028.0,EL3E,18349.2777924572,Current electrified
ZMB,2028.0,EL3U,4118.333336628,New electrified
ZMB,2029.0,EL3E,18590.138903761,Current electrified
ZMB,2029.0,EL3U,4336.666670136,New electrified
ZMB,2030.0,EL3E,18844.8055706314,Current electrified
ZMB,2030.0,EL3U,4555.000003644,New electrified
ZMB,2020.0,ZWEEL1,2730.2777799620003,Exports (ZWE)
ZMB,2021.0,BWAEL1,2177.5833350754,Exports (BWA)
ZMB,2021.0,NAMEL1,2496.6111131084003,Exports (NAM)
ZMB,2021.0,ZWEEL1,5179.083337476601,Exports (ZWE)
ZMB,2022.0,BWAEL1,2177.5833350754,Exports (BWA)
ZMB,2022.0,NAMEL1,2134.2777794852,Exports (NAM)
ZMB,2022.0,ZWEEL1,3897.0555586732,Exports (ZWE)
ZMB,2023.0,BWAEL1,2496.6111131084003,Exports (BWA)
ZMB,2023.0,CODEL1,599.3333338128,Exports (COD)
ZMB,2023.0,NAMEL1,1587.5277790478,Exports (NAM)
ZMB,2023.0,ZWEEL1,2203.1111128736,Exports (ZWE)
ZMB,2024.0,BWAEL1,2496.6111131084003,Exports (BWA)
ZMB,2024.0,CODEL1,177.083333475,Exports (COD)
ZMB,2024.0,NAMEL1,2015.7222238348,Exports (NAM)
ZMB,2024.0,ZWEEL1,3941.527780931001,Exports (ZWE)
ZMB,2025.0,BWAEL1,2496.6111131084003,Exports (BWA)
ZMB,2025.0,CODEL1,226.5555557368,Exports (COD)
ZMB,2025.0,NAMEL1,2171.7500017374,Exports (NAM)
ZMB,2025.0,ZWEEL1,4049.5555587952,Exports (ZWE)
ZMB,2026.0,BWAEL1,2496.6111131084003,Exports (BWA)
ZMB,2026.0,CODEL1,476.250000381,Exports (COD)
ZMB,2026.0,NAMEL1,2416.5555574888003,Exports (NAM)
ZMB,2026.0,ZWEEL1,5280.0555597796,Exports (ZWE)
ZMB,2027.0,BWAEL1,2496.6111131084003,Exports (BWA)
ZMB,2027.0,CODEL1,413.9444447756,Exports (COD)
ZMB,2027.0,NAMEL1,2377.8055574578,Exports (NAM)
ZMB,2027.0,ZWEEL1,5158.777781904801,Exports (ZWE)
ZMB,2028.0,BWAEL1,2451.4444464056,Exports (BWA)
ZMB,2028.0,CODEL1,352.0277780594,Exports (COD)
ZMB,2028.0,NAMEL1,2384.3333352408004,Exports (NAM)
ZMB,2028.0,ZWEEL1,4811.1944482934005,Exports (ZWE)
ZMB,2029.0,BWAEL1,2300.6666685072005,Exports (BWA)
ZMB,2029.0,CODEL1,204.5277779414,Exports (COD)
ZMB,2029.0,NAMEL1,2496.6111131084003,Exports (NAM)
ZMB,2029.0,ZWEEL1,5273.055559774,Exports (ZWE)
ZMB,2030.0,BWAEL1,2202.638890651,Exports (BWA)
ZMB,2030.0,CODEL1,136.0833334422,Exports (COD)
ZMB,2030.0,NAMEL1,2266.6944462578,Exports (NAM)
ZMB,2030.0,TZAEL1,429.583333677,Exports (TZA)
ZMB,2030.0,ZWEEL1,5560.3333377816,Exports (ZWE)
