Country,y,f,Total annual demand (GWh),Demand type
ZWE,2020.0,EL3E,6405.4722273466,Current electrified
ZWE,2021.0,EL3E,5999.4722270218,Current electrified
ZWE,2021.0,EL3U,524.9166670866,New electrified
ZWE,2022.0,EL3E,5373.361115409801,Current electrified
ZWE,2022.0,EL3U,1049.8055563954,New electrified
ZWE,2023.0,EL3E,4737.6111149012,Current electrified
ZWE,2023.0,EL3U,1574.722223482,New electrified
ZWE,2024.0,EL3E,4091.9722254958,Current electrified
ZWE,2024.0,EL3U,2099.6388905686,New electrified
ZWE,2025.0,EL3E,3436.527780527,Current electrified
ZWE,2025.0,EL3U,2624.5277798774,New electrified
ZWE,2026.0,EL3E,3441.6666694200003,Current electrified
ZWE,2026.0,EL3U,3149.444446964,New electrified
ZWE,2027.0,EL3E,3437.0000027496003,Current electrified
ZWE,2027.0,EL3U,3338.3888915596003,New electrified
ZWE,2028.0,EL3E,3422.5833360714005,Current electrified
ZWE,2028.0,EL3U,3527.361113933,New electrified
ZWE,2029.0,EL3E,3399.6944471642005,Current electrified
ZWE,2029.0,EL3U,3716.3333363064,New electrified
ZWE,2030.0,EL3E,3370.138891585,Current electrified
ZWE,2030.0,EL3U,3905.277780902,New electrified
ZWE,2020.0,MOZEL1,2740.8611133038003,Exports (MOZ)
ZWE,2021.0,ZAFEL1,3936.250003149,Exports (ZAF)
ZWE,2022.0,ZAFEL1,2368.7777796728,Exports (ZAF)
ZWE,2023.0,BWAEL1,656.5277783030001,Exports (BWA)
ZWE,2023.0,ZAFEL1,4932.4444483904,Exports (ZAF)
ZWE,2024.0,BWAEL1,1617.6111124052002,Exports (BWA)
ZWE,2024.0,NAMEL1,617.3888893828,Exports (NAM)
ZWE,2024.0,ZAFEL1,4993.194448439001,Exports (ZAF)
ZWE,2025.0,BWAEL1,1930.6666682112,Exports (BWA)
ZWE,2025.0,NAMEL1,617.3888893828,Exports (NAM)
ZWE,2025.0,ZAFEL1,4337.8055590258,Exports (ZAF)
ZWE,2026.0,BWAEL1,2319.8333351892,Exports (BWA)
ZWE,2026.0,NAMEL1,1354.3333344168002,Exports (NAM)
ZWE,2026.0,ZAFEL1,3669.7777807136,Exports (ZAF)
ZWE,2027.0,BWAEL1,2315.8611129638,Exports (BWA)
ZWE,2027.0,NAMEL1,1608.5000012868002,Exports (NAM)
ZWE,2027.0,ZAFEL1,3284.8888915168,Exports (ZAF)
ZWE,2028.0,BWAEL1,2307.7500018462,Exports (BWA)
ZWE,2028.0,NAMEL1,2456.1944464094,Exports (NAM)
ZWE,2028.0,ZAFEL1,3120.7500024966,Exports (ZAF)
ZWE,2029.0,BWAEL1,2217.916668441,Exports (BWA)
ZWE,2029.0,NAMEL1,2496.6111131084003,Exports (NAM)
ZWE,2029.0,ZAFEL1,3120.7500024966,Exports (ZAF)
ZWE,2030.0,BWAEL1,1817.2500014538,Exports (BWA)
ZWE,2030.0,NAMEL1,2496.6111131084003,Exports (NAM)
ZWE,2030.0,ZAFEL1,3249.3888914884005,Exports (ZAF)
