Country,y,f,Total annual production (GWh),Source
CAF,2020.0,HYD,39.0000000312,Hydropower
CAF,2020.0,LFO,126.50000010120002,Light Fuel Oil
CAF,2021.0,BIO,175.8888890296,Biomass
CAF,2021.0,HYD,39.0000000312,Hydropower
CAF,2021.0,LFO,19.2777777932,Light Fuel Oil
CAF,2022.0,BIO,175.8888890296,Biomass
CAF,2022.0,HYD,39.0000000312,Hydropower
CAF,2022.0,LFO,59.777777825600005,Light Fuel Oil
CAF,2023.0,BIO,145.9166667834,Biomass
CAF,2023.0,HYD,169.88888902480002,Hydropower
CAF,2023.0,LFO,8.472222229,Light Fuel Oil
CAF,2024.0,BIO,138.7777778888,Biomass
CAF,2024.0,HYD,221.88888906640005,Hydropower
CAF,2024.0,LFO,7.972222228600001,Light Fuel Oil
CAF,2025.0,BIO,130.6388889934,Biomass
CAF,2025.0,HYD,282.00000022560005,Hydropower
CAF,2025.0,LFO,7.500000006,Light Fuel Oil
CAF,2026.0,BIO,126.5833334346,Biomass
CAF,2026.0,HYD,332.30555582140005,Hydropower
CAF,2026.0,LFO,6.972222227800001,Light Fuel Oil
CAF,2026.0,SOL,4.6388888926,Solar
CAF,2027.0,BIO,127.0277778794,Biomass
CAF,2027.0,HYD,348.6944447234,Hydropower
CAF,2027.0,LFO,6.4722222274000005,Light Fuel Oil
CAF,2027.0,SOL,9.5277777854,Solar
CAF,2028.0,BIO,129.1944445478,Biomass
CAF,2028.0,HYD,361.4444447336001,Hydropower
CAF,2028.0,LFO,6.4166666718,Light Fuel Oil
CAF,2028.0,SOL,15.6388889014,Solar
CAF,2029.0,BIO,131.05555566040002,Biomass
CAF,2029.0,HYD,374.50000029960006,Hydropower
CAF,2029.0,LFO,6.3611111162,Light Fuel Oil
CAF,2029.0,SOL,21.805555573,Solar
CAF,2030.0,BIO,137.5277778878,Biomass
CAF,2030.0,HFO,0.0277777778,Heavy Fuel Oil
CAF,2030.0,HYD,374.50000029960006,Hydropower
CAF,2030.0,LFO,4.9722222262,Light Fuel Oil
CAF,2030.0,SOL,39.16666669800001,Solar
