Country,y,f,Total annual production (GWh),Source
CMR,2020.0,HFO,1256.5000010052,Heavy Fuel Oil
CMR,2020.0,HYD,4095.000003276,Hydropower
CMR,2020.0,Imports (TCD),1470.1111122872,Imports (TCD)
CMR,2020.0,LFO,556.0277782226,Light Fuel Oil
CMR,2020.0,NGA,2011.9722238318,Natural Gas
CMR,2020.0,SOL,11.5555555648,Solar
CMR,2021.0,HFO,1193.6944453994,Heavy Fuel Oil
CMR,2021.0,HYD,5842.6111157852,Hydropower
CMR,2021.0,Imports (TCD),816.7500006534001,Imports (TCD)
CMR,2021.0,LFO,364.9166669586001,Light Fuel Oil
CMR,2021.0,NGA,1548.9722234614,Natural Gas
CMR,2021.0,SOL,11.1666666756,Solar
CMR,2022.0,HFO,226.16666684760003,Heavy Fuel Oil
CMR,2022.0,HYD,8339.222228893601,Hydropower
CMR,2022.0,Imports (TCD),1142.4166675806,Imports (TCD)
CMR,2022.0,LFO,349.94444472439994,Light Fuel Oil
CMR,2022.0,NGA,454.58333369700006,Natural Gas
CMR,2022.0,SOL,10.7500000086,Solar
CMR,2023.0,HFO,213.611111282,Heavy Fuel Oil
CMR,2023.0,HYD,9201.0555629164,Hydropower
CMR,2023.0,Imports (TCD),1474.5000011796,Imports (TCD)
CMR,2023.0,LFO,225.277777958,Light Fuel Oil
CMR,2023.0,NGA,178.9722223654,Natural Gas
CMR,2023.0,SOL,10.3611111194,Solar
CMR,2024.0,HFO,201.0555557164,Heavy Fuel Oil
CMR,2024.0,HYD,9649.944452164402,Hydropower
CMR,2024.0,Imports (TCD),1807.1388903346,Imports (TCD)
CMR,2024.0,LFO,216.5000001732,Light Fuel Oil
CMR,2024.0,NGA,168.44444457920002,Natural Gas
CMR,2024.0,SOL,9.972222230200002,Solar
CMR,2025.0,HFO,188.472222373,Heavy Fuel Oil
CMR,2025.0,HYD,10113.5555636464,Hydropower
CMR,2025.0,Imports (TCD),2128.6666683696,Imports (TCD)
CMR,2025.0,LFO,207.7222223884,Light Fuel Oil
CMR,2025.0,NGA,157.91666679300002,Natural Gas
CMR,2025.0,SOL,9.5555555632,Solar
CMR,2026.0,HFO,175.9166668074,Heavy Fuel Oil
CMR,2026.0,HYD,10628.0833418358,Hydropower
CMR,2026.0,Imports (TCD),2449.6944464042,Imports (TCD)
CMR,2026.0,LFO,199.166666826,Light Fuel Oil
CMR,2026.0,NGA,147.3888890068,Natural Gas
CMR,2026.0,SOL,9.166666674,Solar
CMR,2027.0,HFO,163.333333464,Heavy Fuel Oil
CMR,2027.0,HYD,11162.861120041402,Hydropower
CMR,2027.0,Imports (TCD),2810.1111133592003,Imports (TCD)
CMR,2027.0,LFO,147.1944445622,Light Fuel Oil
CMR,2027.0,NGA,136.8611112206,Natural Gas
CMR,2027.0,SOL,8.777777784800001,Solar
CMR,2028.0,HFO,150.7777778984,Heavy Fuel Oil
CMR,2028.0,HYD,11571.8611203686,Hydropower
CMR,2028.0,Imports (TCD),3205.972224787,Imports (TCD)
CMR,2028.0,LFO,136.19444455340002,Light Fuel Oil
CMR,2028.0,NGA,167.3055556894,Natural Gas
CMR,2028.0,SOL,8.3611111178,Solar
CMR,2029.0,HFO,138.22222233280002,Heavy Fuel Oil
CMR,2029.0,HYD,11571.8611203686,Hydropower
CMR,2029.0,Imports (TCD),3572.361113969,Imports (TCD)
CMR,2029.0,LFO,121.05555565240002,Light Fuel Oil
CMR,2029.0,NGA,115.8055556482,Natural Gas
CMR,2029.0,SOL,419.8888892248,Solar
CMR,2030.0,HFO,125.6388889894,Heavy Fuel Oil
CMR,2030.0,HYD,11571.8611203686,Hydropower
CMR,2030.0,Imports (TCD),3927.7222253644,Imports (TCD)
CMR,2030.0,LFO,110.0555556436,Light Fuel Oil
CMR,2030.0,NGA,105.277777862,Natural Gas
CMR,2030.0,SOL,807.6944450906,Solar
