Country,y,f,Total annual production (GWh),Source
COD,2020.0,HFO,29.6111111348,Heavy Fuel Oil
COD,2020.0,HYD,10866.3333420264,Hydropower
COD,2020.0,Imports (AGO),2739.5277799694,Imports (AGO)
COD,2020.0,LFO,12.3333333432,Light Fuel Oil
COD,2020.0,NGA,20.3611111274,Natural Gas
COD,2020.0,SOL,4.583333337,Solar
COD,2021.0,HFO,28.1388889114,Heavy Fuel Oil
COD,2021.0,HYD,10866.3333420264,Hydropower
COD,2021.0,Imports (AGO),2446.2222241792,Imports (AGO)
COD,2021.0,Imports (RWA),484.77777816560007,Imports (RWA)
COD,2021.0,LFO,17.777777792000002,Light Fuel Oil
COD,2021.0,NGA,19.3333333488,Natural Gas
COD,2021.0,SOL,4.5277777814,Solar
COD,2022.0,HFO,26.666666688000003,Heavy Fuel Oil
COD,2022.0,HYD,11070.222231078398,Hydropower
COD,2022.0,Imports (AGO),1403.9722233454,Imports (AGO)
COD,2022.0,Imports (BDI),70.7500000566,Imports (BDI)
COD,2022.0,Imports (COG),187.25000014980003,Imports (COG)
COD,2022.0,Imports (RWA),1570.1111123672,Imports (RWA)
COD,2022.0,LFO,17.1388889026,Light Fuel Oil
COD,2022.0,NGA,18.3055555702,Natural Gas
COD,2022.0,SOL,4.4722222258,Solar
COD,2023.0,HFO,25.166666686800003,Heavy Fuel Oil
COD,2023.0,HYD,11070.222231078398,Hydropower
COD,2023.0,Imports (AGO),648.0833338518,Imports (AGO)
COD,2023.0,Imports (BDI),40.694444477,Imports (BDI)
COD,2023.0,Imports (COG),187.25000014980003,Imports (COG)
COD,2023.0,Imports (RWA),2654.5277799014,Imports (RWA)
COD,2023.0,Imports (ZMB),599.3333338128,Imports (ZMB)
COD,2023.0,LFO,16.500000013199998,Light Fuel Oil
COD,2023.0,NGA,17.305555569400003,Natural Gas
COD,2023.0,SOL,4.416666670200001,Solar
COD,2024.0,HFO,23.6944444634,Heavy Fuel Oil
COD,2024.0,HYD,11070.222231078398,Hydropower
COD,2024.0,Imports (AGO),3743.888891884,Imports (AGO)
COD,2024.0,Imports (BDI),389.2500003114,Imports (BDI)
COD,2024.0,Imports (COG),187.25000014980003,Imports (COG)
COD,2024.0,Imports (RWA),2112.5555572456,Imports (RWA)
COD,2024.0,Imports (ZMB),177.083333475,Imports (ZMB)
