Country,y,f,Total annual production (GWh),Source
COG,2020.0,BIO,33.9444444716,Biomass
COG,2020.0,HFO,128.333333436,Heavy Fuel Oil
COG,2020.0,HYD,847.1944451222,Hydropower
COG,2020.0,Imports (COD),499.3333337328,Imports (COD)
COG,2020.0,LFO,734.3888894764001,Light Fuel Oil
COG,2020.0,NGA,711.6111116804,Natural Gas
COG,2020.0,SOL,201.9722223838,Solar
COG,2021.0,BIO,32.222222248,Biomass
COG,2021.0,HFO,121.9166667642,Heavy Fuel Oil
COG,2021.0,HYD,847.1944451222,Hydropower
COG,2021.0,Imports (COD),499.3333337328,Imports (COD)
COG,2021.0,LFO,212.4722223922,Light Fuel Oil
COG,2021.0,NGA,878.4444451472,Natural Gas
COG,2021.0,SOL,201.9166668282,Solar
COG,2022.0,BIO,30.5277778022,Biomass
COG,2022.0,HFO,23.1111111296,Heavy Fuel Oil
COG,2022.0,HYD,2217.9444462188003,Hydropower
COG,2022.0,LFO,125.7222223228,Light Fuel Oil
COG,2022.0,NGA,426.8333336748,Natural Gas
COG,2022.0,SOL,201.8611112726,Solar
COG,2023.0,BIO,28.8333333564,Biomass
COG,2023.0,HFO,21.805555573,Heavy Fuel Oil
COG,2023.0,HYD,2217.9444462188003,Hydropower
COG,2023.0,Imports (COD),80.9166667314,Imports (COD)
COG,2023.0,LFO,80.47222228659999,Light Fuel Oil
COG,2023.0,NGA,403.13888921140006,Natural Gas
COG,2023.0,SOL,201.805555717,Solar
COG,2024.0,BIO,27.1388889106,Biomass
COG,2024.0,HFO,20.5277777942,Heavy Fuel Oil
COG,2024.0,HYD,2217.9444462188003,Hydropower
COG,2024.0,Imports (COD),167.0277779114,Imports (COD)
COG,2024.0,LFO,39.3888889204,Light Fuel Oil
COG,2024.0,NGA,379.4166669702,Natural Gas
COG,2024.0,SOL,201.7500001614,Solar
COG,2025.0,BIO,16.9722222358,Biomass
COG,2025.0,HFO,19.2500000154,Heavy Fuel Oil
COG,2025.0,HYD,2303.2500018426003,Hydropower
COG,2025.0,Imports (COD),123.2777778764,Imports (COD)
COG,2025.0,LFO,34.5277778054,Light Fuel Oil
COG,2025.0,NGA,355.694444729,Natural Gas
COG,2025.0,SOL,201.6944446058,Solar
COG,2026.0,BIO,15.27777779,Biomass
COG,2026.0,HFO,17.9722222366,Heavy Fuel Oil
COG,2026.0,HYD,2661.9166687962,Hydropower
COG,2026.0,Imports (COD),50.4722222626,Imports (COD)
COG,2026.0,LFO,32.2500000258,Light Fuel Oil
COG,2026.0,NGA,332.0000002656,Natural Gas
COG,2026.0,SOL,201.6388890502,Solar
COG,2027.0,BIO,13.5833333442,Biomass
COG,2027.0,HFO,16.6944444578,Heavy Fuel Oil
COG,2027.0,HYD,2767.0555577692003,Hydropower
COG,2027.0,Imports (COD),64.2777778292,Imports (COD)
COG,2027.0,LFO,36.6944444738,Light Fuel Oil
COG,2027.0,NGA,308.2777780244,Natural Gas
COG,2027.0,SOL,217.638889063,Solar
COG,2028.0,BIO,11.8888888984,Biomass
COG,2028.0,HFO,15.3888889012,Heavy Fuel Oil
COG,2028.0,HYD,2767.0555577692003,Hydropower
COG,2028.0,Imports (COD),97.0555556332,Imports (COD)
COG,2028.0,LFO,27.638888911,Light Fuel Oil
COG,2028.0,NGA,284.5555557832,Natural Gas
COG,2028.0,SOL,297.916666905,Solar
COG,2029.0,BIO,10.1666666748,Biomass
COG,2029.0,HFO,14.1111111224,Heavy Fuel Oil
COG,2029.0,HYD,2767.0555577692003,Hydropower
COG,2029.0,Imports (COD),134.444444552,Imports (COD)
COG,2029.0,LFO,25.3333333536,Light Fuel Oil
COG,2029.0,NGA,260.86111131980005,Natural Gas
COG,2029.0,SOL,383.3055558622,Solar
COG,2030.0,BIO,8.472222229,Biomass
COG,2030.0,HFO,12.8333333436,Heavy Fuel Oil
COG,2030.0,HYD,2767.0555577692003,Hydropower
COG,2030.0,Imports (COD),85.5833334018,Imports (COD)
COG,2030.0,LFO,23.0277777962,Light Fuel Oil
COG,2030.0,NGA,237.1388890786,Natural Gas
COG,2030.0,SOL,584.1388893562,Solar
