Country,y,f,Total annual production (GWh),Source
LBY,2020.0,HFO,2961.1666690356,Heavy Fuel Oil
LBY,2020.0,LFO,4078.305558818201,Light Fuel Oil
LBY,2020.0,NGA,19755.55557136,Natural Gas
LBY,2020.0,SOL,1136.1388897978002,Solar
LBY,2021.0,BIO,439.9166670186,Biomass
LBY,2021.0,HFO,2813.1111133616,Heavy Fuel Oil
LBY,2021.0,LFO,4028.083336555801,Light Fuel Oil
LBY,2021.0,NGA,22675.111129251203,Natural Gas
LBY,2021.0,SOL,2512.4166686766,Solar
LBY,2021.0,WIN,327.2777780396,Wind
LBY,2022.0,BIO,439.9166670186,Biomass
LBY,2022.0,HFO,2665.0555576876004,Heavy Fuel Oil
LBY,2022.0,Imports (EGY),105.0555556396,Imports (EGY)
LBY,2022.0,LFO,3949.3888920484,Light Fuel Oil
LBY,2022.0,NGA,23196.5555741128,Natural Gas
LBY,2022.0,SOL,3639.444447356,Solar
LBY,2022.0,WIN,654.5555560792,Wind
LBY,2023.0,BIO,439.9166670186,Biomass
LBY,2023.0,HFO,2517.0000020136,Heavy Fuel Oil
LBY,2023.0,Imports (EGY),1234.7500009878,Imports (EGY)
LBY,2023.0,LFO,3871.250003097,Light Fuel Oil
LBY,2023.0,NGA,24141.583352646605,Natural Gas
LBY,2023.0,SOL,4766.5000038132,Solar
LBY,2023.0,WIN,981.8333341188,Wind
LBY,2024.0,BIO,439.9166670186,Biomass
LBY,2024.0,HFO,2368.9444463396003,Heavy Fuel Oil
LBY,2024.0,Imports (EGY),634.1111116184001,Imports (EGY)
LBY,2024.0,LFO,3637.5277806878,Light Fuel Oil
LBY,2024.0,NGA,26558.3611323578,Natural Gas
LBY,2024.0,SOL,6347.8611161894005,Solar
LBY,2024.0,WIN,1309.1111121584,Wind
LBY,2025.0,BIO,439.9166670186,Biomass
LBY,2025.0,HFO,2220.8888906656,Heavy Fuel Oil
LBY,2025.0,LFO,3345.972224899,Light Fuel Oil
LBY,2025.0,NGA,28975.1111342912,Natural Gas
LBY,2025.0,SOL,7929.16667301,Solar
LBY,2025.0,WIN,1636.388890198,Wind
LBY,2026.0,BIO,439.9166670186,Biomass
LBY,2026.0,HFO,2072.8055572138,Heavy Fuel Oil
LBY,2026.0,LFO,2951.6111134724,Light Fuel Oil
LBY,2026.0,NGA,29402.083356855,Natural Gas
LBY,2026.0,SOL,9510.4722298306,Solar
LBY,2026.0,WIN,1963.6666682376,Wind
LBY,2027.0,BIO,439.9166670186,Biomass
LBY,2027.0,HFO,1924.7500015398,Heavy Fuel Oil
LBY,2027.0,LFO,2634.3333354408005,Light Fuel Oil
LBY,2027.0,NGA,29697.777801536,Natural Gas
LBY,2027.0,SOL,11091.833342206804,Solar
LBY,2027.0,WIN,2290.9444462772003,Wind
LBY,2028.0,BIO,439.9166670186,Biomass
LBY,2028.0,HFO,1776.6944458658,Heavy Fuel Oil
LBY,2028.0,LFO,2317.0555574092,Light Fuel Oil
LBY,2028.0,NGA,29977.1666906484,Natural Gas
LBY,2028.0,SOL,12673.1388990274,Solar
LBY,2028.0,WIN,2618.2222243168,Wind
LBY,2029.0,BIO,439.9166670186,Biomass
LBY,2029.0,HFO,1628.6388901918,Heavy Fuel Oil
LBY,2029.0,LFO,2123.9722239214,Light Fuel Oil
LBY,2029.0,NGA,30061.7778018272,Natural Gas
LBY,2029.0,SOL,14254.444455848,Solar
LBY,2029.0,WIN,2945.5000023564,Wind
LBY,2030.0,BIO,439.9166670186,Biomass
LBY,2030.0,HFO,1480.5833345178,Heavy Fuel Oil
LBY,2030.0,LFO,1930.8888904336,Light Fuel Oil
LBY,2030.0,NGA,28995.416689863,Natural Gas
LBY,2030.0,SOL,15835.750012668605,Solar
LBY,2030.0,WIN,3272.7777803960003,Wind
