Country,y,f,Total annual production (GWh),Source
LSO,2020.0,HFO,1.6111111124,Heavy Fuel Oil
LSO,2020.0,HYD,309.7777780256,Hydropower
LSO,2020.0,Imports (ZAF),823.1666673252,Imports (ZAF)
LSO,2020.0,LFO,0.5833333338,Light Fuel Oil
LSO,2021.0,HFO,1.527777779,Heavy Fuel Oil
LSO,2021.0,HYD,309.7777780256,Hydropower
LSO,2021.0,Imports (ZAF),1052.3333341752002,Imports (ZAF)
LSO,2021.0,LFO,0.5555555560000001,Light Fuel Oil
LSO,2022.0,HFO,1.4444444456,Heavy Fuel Oil
LSO,2022.0,HYD,309.7777780256,Hydropower
LSO,2022.0,Imports (ZAF),1270.9166676834002,Imports (ZAF)
LSO,2022.0,LFO,0.5277777782,Light Fuel Oil
LSO,2022.0,SOL,26.305555576600003,Solar
LSO,2023.0,HFO,1.3611111122,Heavy Fuel Oil
LSO,2023.0,HYD,1882.6666681728,Hydropower
LSO,2023.0,Imports (ZAF),12.4444444544,Imports (ZAF)
LSO,2023.0,LFO,2.5833333354,Light Fuel Oil
LSO,2023.0,SOL,177.0555556972,Solar
LSO,2024.0,HFO,1.2777777788,Heavy Fuel Oil
LSO,2024.0,HYD,1882.6666681728,Hydropower
LSO,2024.0,Imports (ZAF),26.166666687600003,Imports (ZAF)
LSO,2024.0,LFO,4.888888892800001,Light Fuel Oil
LSO,2024.0,SOL,345.694444721,Solar
LSO,2025.0,HFO,1.1944444454,Heavy Fuel Oil
LSO,2025.0,HYD,1882.6666681728,Hydropower
LSO,2025.0,Imports (ZAF),30.6388889134,Imports (ZAF)
LSO,2025.0,LFO,2.8055555578000004,Light Fuel Oil
LSO,2025.0,SOL,536.0555559844,Solar
LSO,2026.0,HFO,1.1388888898000002,Heavy Fuel Oil
LSO,2026.0,HYD,1882.6666681728,Hydropower
LSO,2026.0,Imports (ZAF),46.2777778148,Imports (ZAF)
LSO,2026.0,LFO,2.1666666684,Light Fuel Oil
LSO,2026.0,SOL,733.4166672534,Solar
LSO,2027.0,HFO,1.0555555564,Heavy Fuel Oil
LSO,2027.0,HYD,1882.6666681728,Hydropower
LSO,2027.0,Imports (ZAF),97.8888889672,Imports (ZAF)
LSO,2027.0,LFO,2.1388888906,Light Fuel Oil
LSO,2027.0,SOL,930.7500007446,Solar
LSO,2028.0,HFO,0.972222223,Heavy Fuel Oil
LSO,2028.0,HYD,1882.6666681728,Hydropower
LSO,2028.0,Imports (ZAF),47.9444444828,Imports (ZAF)
LSO,2028.0,LFO,0.3611111114,Light Fuel Oil
LSO,2028.0,SOL,1325.4722232826,Solar
LSO,2029.0,HFO,0.8888888896000001,Heavy Fuel Oil
LSO,2029.0,HYD,1882.6666681728,Hydropower
LSO,2029.0,Imports (ZAF),19.444444460000003,Imports (ZAF)
LSO,2029.0,LFO,0.3333333336,Light Fuel Oil
LSO,2029.0,SOL,1880.0833348374,Solar
LSO,2030.0,HFO,0.8055555562,Heavy Fuel Oil
LSO,2030.0,HYD,1882.6666681728,Hydropower
LSO,2030.0,Imports (ZAF),2.1388888906,Imports (ZAF)
LSO,2030.0,LFO,0.3055555558,Light Fuel Oil
LSO,2030.0,SOL,2466.0555575284,Solar
