Country,y,f,Total annual production (GWh),Source
MAR,2020.0,COA,8560.000006848,Coal
MAR,2020.0,HFO,10773.888897508,Heavy Fuel Oil
MAR,2020.0,HYD,4869.027781673,Hydropower
MAR,2020.0,Imports (DZA),5991.8333381268,Imports (DZA)
MAR,2020.0,Imports (ESP),11650.8055648762,Imports (ESP)
MAR,2020.0,LFO,220.4722223986,Light Fuel Oil
MAR,2020.0,NGA,13064.7777882296,Natural Gas
MAR,2020.0,SOL,3761.1944474534,Solar
MAR,2020.0,WIN,1538.6666678976,Wind
MAR,2021.0,BIO,439.9166670186,Biomass
MAR,2021.0,COA,3627.6666695688,Coal
MAR,2021.0,HFO,2047.0277794154,Heavy Fuel Oil
MAR,2021.0,HYD,4869.027781673,Hydropower
MAR,2021.0,Imports (DZA),5991.8333381268,Imports (DZA)
MAR,2021.0,Imports (ESP),2141.0277794906,Imports (ESP)
MAR,2021.0,LFO,352.0000002816,Light Fuel Oil
MAR,2021.0,NGA,15814.4166793182,Natural Gas
MAR,2021.0,SOL,9311.2222296712,Solar
MAR,2021.0,WIN,1856.388890374,Wind
MAR,2022.0,BIO,879.8611118150001,Biomass
MAR,2022.0,COA,3627.6666695688,Coal
MAR,2022.0,HFO,3984.5277809654,Heavy Fuel Oil
MAR,2022.0,HYD,4869.027781673,Hydropower
MAR,2022.0,Imports (DZA),5991.8333381268,Imports (DZA)
MAR,2022.0,Imports (ESP),8132.166673172401,Imports (ESP)
MAR,2022.0,LFO,519.4722226378,Light Fuel Oil
MAR,2022.0,NGA,19539.8055711874,Natural Gas
MAR,2022.0,SOL,13094.6666771424,Solar
MAR,2022.0,WIN,2898.3055578742005,Wind
MAR,2023.0,BIO,1319.7777788336,Biomass
MAR,2023.0,COA,3446.2777805348,Coal
MAR,2023.0,HFO,4684.1944481918,Heavy Fuel Oil
MAR,2023.0,HYD,7365.638894781399,Hydropower
MAR,2023.0,Imports (DZA),5991.8333381268,Imports (DZA)
MAR,2023.0,Imports (ESP),11650.8055648762,Imports (ESP)
MAR,2023.0,LFO,485.5000003884,Light Fuel Oil
MAR,2023.0,NGA,22777.3333515552,Natural Gas
MAR,2023.0,SOL,14646.0555672724,Solar
MAR,2023.0,WIN,3216.0000025728004,Wind
MAR,2024.0,BIO,1759.72222363,Biomass
MAR,2024.0,COA,3264.8888915008,Coal
MAR,2024.0,HFO,4138.5000033108,Heavy Fuel Oil
MAR,2024.0,HYD,7365.638894781399,Hydropower
MAR,2024.0,Imports (DZA),5991.8333381268,Imports (DZA)
