Country,y,f,Total annual production (GWh),Source
MWI,2020.0,BIO,123.750000099,Biomass
MWI,2020.0,HYD,1746.7500013974,Hydropower
MWI,2020.0,Imports (MOZ),268.3611113258,Imports (MOZ)
MWI,2020.0,LFO,99.7777778576,Light Fuel Oil
MWI,2020.0,SOL,17.500000014,Solar
MWI,2021.0,BIO,117.5555556496,Biomass
MWI,2021.0,HYD,1746.7500013974,Hydropower
MWI,2021.0,Imports (MOZ),1136.2777786868,Imports (MOZ)
MWI,2021.0,LFO,97.2777778556,Light Fuel Oil
MWI,2021.0,SOL,16.916666680200002,Solar
MWI,2022.0,BIO,111.3611112002,Biomass
MWI,2022.0,HYD,1746.7500013974,Hydropower
MWI,2022.0,Imports (MOZ),2047.0555571932,Imports (MOZ)
MWI,2022.0,LFO,95.000000076,Light Fuel Oil
MWI,2022.0,SOL,16.3333333464,Solar
MWI,2023.0,BIO,105.1944445286,Biomass
MWI,2023.0,HYD,4406.250003525,Hydropower
MWI,2023.0,Imports (MOZ),345.08333360940003,Imports (MOZ)
MWI,2023.0,LFO,93.0000000744,Light Fuel Oil
MWI,2023.0,SOL,15.7500000126,Solar
MWI,2024.0,BIO,99.0000000792,Biomass
MWI,2024.0,HYD,5324.2777820372,Hydropower
MWI,2024.0,Imports (MOZ),436.8888892384,Imports (MOZ)
MWI,2024.0,LFO,91.250000073,Light Fuel Oil
MWI,2024.0,SOL,15.1944444566,Solar
MWI,2025.0,BIO,61.8611111606,Biomass
MWI,2025.0,HYD,6245.4722272186,Hydropower
MWI,2025.0,Imports (MOZ),546.4166671038,Imports (MOZ)
MWI,2025.0,LFO,73.61111117,Light Fuel Oil
MWI,2025.0,SOL,14.6111111228,Solar
MWI,2026.0,BIO,55.694444489000006,Biomass
MWI,2026.0,HYD,6252.2777827796,Hydropower
MWI,2026.0,Imports (MOZ),1365.27777887,Imports (MOZ)
MWI,2026.0,LFO,67.4166667206,Light Fuel Oil
MWI,2026.0,SOL,178.25000014260002,Solar
MWI,2027.0,BIO,49.5000000396,Biomass
MWI,2027.0,HYD,6252.2777827796,Hydropower
MWI,2027.0,Imports (MOZ),1651.5555568768,Imports (MOZ)
MWI,2027.0,LFO,62.9722222726,Light Fuel Oil
MWI,2027.0,SOL,593.6666671416,Solar
MWI,2028.0,BIO,43.30555559020001,Biomass
MWI,2028.0,HYD,6252.2777827796,Hydropower
MWI,2028.0,Imports (MOZ),1998.5000015988005,Imports (MOZ)
MWI,2028.0,LFO,53.4444444872,Light Fuel Oil
MWI,2028.0,SOL,1009.0555563628,Solar
MWI,2029.0,BIO,37.1111111408,Biomass
MWI,2029.0,HYD,6252.2777827796,Hydropower
MWI,2029.0,Imports (MOZ),2397.2777796956,Imports (MOZ)
MWI,2029.0,LFO,49.0000000392,Light Fuel Oil
MWI,2029.0,SOL,1424.5000011396,Solar
MWI,2030.0,BIO,30.9444444692,Biomass
MWI,2030.0,HYD,6252.2777827796,Hydropower
MWI,2030.0,Imports (MOZ),2782.9722244486,Imports (MOZ)
MWI,2030.0,LFO,44.5555555912,Light Fuel Oil
MWI,2030.0,SOL,1839.9166681386,Solar
