Country,y,f,Total annual production (GWh),Source
NER,2020.0,COA,263.8333335444,Coal
NER,2020.0,HFO,35.611111139600006,Heavy Fuel Oil
NER,2020.0,HYD,540.9166670994,Hydropower
NER,2020.0,Imports (NGA),800.9722228630001,Imports (NGA)
NER,2020.0,LFO,98.1666667452,Light Fuel Oil
NER,2020.0,SOL,171.4166668038,Solar
NER,2021.0,COA,52.77777782,Coal
NER,2021.0,HFO,33.833333360400005,Heavy Fuel Oil
NER,2021.0,HYD,540.9166670994,Hydropower
NER,2021.0,Imports (NGA),1171.6944453818,Imports (NGA)
NER,2021.0,LFO,89.25000007140001,Light Fuel Oil
NER,2021.0,SOL,198.0000001584,Solar
NER,2022.0,COA,52.77777782,Coal
NER,2022.0,HFO,32.055555581200004,Heavy Fuel Oil
NER,2022.0,HYD,540.9166670994,Hydropower
NER,2022.0,Imports (NGA),1333.4166677334,Imports (NGA)
NER,2022.0,LFO,84.97222229020001,Light Fuel Oil
NER,2022.0,SOL,214.36111128260004,Solar
NER,2023.0,COA,50.138888929,Coal
NER,2023.0,HFO,30.277777802000003,Heavy Fuel Oil
NER,2023.0,HYD,1373.1388899874,Hydropower
NER,2023.0,Imports (BFA),212.0555557252,Imports (BFA)
NER,2023.0,Imports (NGA),451.11111147200006,Imports (NGA)
NER,2023.0,LFO,80.6388889534,Light Fuel Oil
NER,2023.0,SOL,228.94444462760003,Solar
NER,2024.0,COA,47.500000038,Coal
NER,2024.0,HFO,28.5000000228,Heavy Fuel Oil
NER,2024.0,HYD,1789.2500014314,Hydropower
NER,2024.0,Imports (BFA),212.0555557252,Imports (BFA)
NER,2024.0,Imports (NGA),194.9166668226,Imports (NGA)
NER,2024.0,LFO,76.3333333944,Light Fuel Oil
NER,2024.0,SOL,242.0277779714,Solar
NER,2025.0,COA,44.861111147,Coal
NER,2025.0,HFO,26.7222222436,Heavy Fuel Oil
NER,2025.0,HYD,2205.3333350976004,Hydropower
NER,2025.0,Imports (BFA),170.8611112478,Imports (BFA)
NER,2025.0,LFO,72.1388889466,Light Fuel Oil
NER,2025.0,SOL,296.0000002368,Solar
NER,2026.0,COA,42.222222256,Coal
NER,2026.0,HFO,24.944444464400004,Heavy Fuel Oil
NER,2026.0,HYD,2496.6111131084003,Hydropower
NER,2026.0,Imports (BFA),145.77777789440003,Imports (BFA)
NER,2026.0,LFO,61.666666716,Light Fuel Oil
NER,2026.0,SOL,439.2222225736,Solar
NER,2027.0,COA,39.583333365,Coal
NER,2027.0,HFO,23.166666685200003,Heavy Fuel Oil
NER,2027.0,HYD,2496.6111131084003,Hydropower
NER,2027.0,Imports (BFA),188.6944445954,Imports (BFA)
NER,2027.0,LFO,59.277777825200005,Light Fuel Oil
NER,2027.0,SOL,540.416667099,Solar
NER,2028.0,COA,36.944444474,Coal
NER,2028.0,HFO,21.3611111282,Heavy Fuel Oil
NER,2028.0,HYD,2496.6111131084003,Hydropower
NER,2028.0,Imports (BFA),212.0555557252,Imports (BFA)
NER,2028.0,LFO,52.8611111534,Light Fuel Oil
NER,2028.0,SOL,700.7500005606,Solar
NER,2029.0,COA,34.305555583,Coal
NER,2029.0,HFO,19.583333349,Heavy Fuel Oil
NER,2029.0,HYD,2496.6111131084003,Hydropower
NER,2029.0,Imports (BFA),59.47222226980001,Imports (BFA)
NER,2029.0,LFO,48.4444444832,Light Fuel Oil
NER,2029.0,SOL,985.416667455,Solar
NER,2030.0,COA,31.666666692000003,Coal
NER,2030.0,HFO,17.805555569800003,Heavy Fuel Oil
NER,2030.0,HYD,2496.6111131084003,Hydropower
NER,2030.0,Imports (BFA),79.52777784140001,Imports (BFA)
NER,2030.0,LFO,44.027777813,Light Fuel Oil
NER,2030.0,SOL,1487.1666678564,Solar
