Country,y,f,Total annual production (GWh),Source
SOM,2020.0,LFO,401.7222225436,Light Fuel Oil
SOM,2020.0,SOL,129.36111121460002,Solar
SOM,2020.0,WIN,17.916666681000002,Wind
SOM,2021.0,LFO,71.80555561300001,Light Fuel Oil
SOM,2021.0,SOL,129.27777788120002,Solar
SOM,2021.0,WIN,759.3611117186,Wind
SOM,2022.0,LFO,110.972222311,Light Fuel Oil
SOM,2022.0,SOL,129.1944445478,Solar
SOM,2022.0,WIN,876.6944451458,Wind
SOM,2023.0,HYD,289.83333356520006,Hydropower
SOM,2023.0,LFO,30.222222246400005,Light Fuel Oil
SOM,2023.0,SOL,129.1111112144,Solar
SOM,2023.0,WIN,926.1388896298,Wind
SOM,2024.0,HYD,434.4166670142,Hydropower
SOM,2024.0,LFO,35.2222222504,Light Fuel Oil
SOM,2024.0,SOL,129.02777788100002,Solar
SOM,2024.0,WIN,958.194445211,Wind
SOM,2025.0,HYD,633.7222227292001,Hydropower
SOM,2025.0,LFO,22.8611111294,Light Fuel Oil
SOM,2025.0,NGA,35.7222222508,Natural Gas
SOM,2025.0,SOL,128.94444454760003,Solar
SOM,2025.0,WIN,957.7500007662,Wind
SOM,2026.0,HYD,828.4722228850001,Hydropower
SOM,2026.0,LFO,29.0000000232,Light Fuel Oil
SOM,2026.0,NGA,41.1666666996,Natural Gas
SOM,2026.0,SOL,128.888888992,Solar
SOM,2026.0,WIN,957.3055563214,Wind
SOM,2027.0,HYD,998.61111191,Hydropower
SOM,2027.0,LFO,30.3888889132,Light Fuel Oil
SOM,2027.0,NGA,48.1388889274,Natural Gas
SOM,2027.0,SOL,145.9166667834,Solar
SOM,2027.0,WIN,956.8333340988,Wind
SOM,2028.0,HYD,1056.6388897342,Hydropower
SOM,2028.0,LFO,12.5833333434,Light Fuel Oil
SOM,2028.0,NGA,63.3888889396,Natural Gas
SOM,2028.0,SOL,238.63888907980004,Solar
SOM,2028.0,WIN,956.388889654,Wind
SOM,2029.0,HYD,1079.5000008636,Hydropower
SOM,2029.0,LFO,11.527777787000002,Light Fuel Oil
SOM,2029.0,NGA,87.6111111812,Natural Gas
SOM,2029.0,SOL,329.16666693,Solar
SOM,2029.0,WIN,955.9444452092,Wind
SOM,2030.0,HYD,1104.583334217,Hydropower
SOM,2030.0,LFO,10.4722222306,Light Fuel Oil
SOM,2030.0,NGA,113.472222313,Natural Gas
SOM,2030.0,SOL,421.1666670036,Solar
SOM,2030.0,WIN,955.5000007644,Wind
