Country,y,f,Total annual production (GWh),Source
SSD,2020.0,HFO,6.5833333386,Heavy Fuel Oil
SSD,2020.0,LFO,17.555555569600003,Light Fuel Oil
SSD,2020.0,NGA,499.1944448438,Natural Gas
SSD,2021.0,HFO,16.7222222356,Heavy Fuel Oil
SSD,2021.0,LFO,16.805555569,Light Fuel Oil
SSD,2021.0,NGA,510.1666670748001,Natural Gas
SSD,2022.0,HFO,26.250000021,Heavy Fuel Oil
SSD,2022.0,LFO,16.027777790600002,Light Fuel Oil
SSD,2022.0,NGA,520.416667083,Natural Gas
SSD,2023.0,HFO,38.1111111416,Heavy Fuel Oil
SSD,2023.0,LFO,22.0277777954,Light Fuel Oil
SSD,2023.0,NGA,520.416667083,Natural Gas
SSD,2024.0,GEO,514.583333745,Geothermal
SSD,2024.0,LFO,13.027777788200002,Light Fuel Oil
SSD,2024.0,NGA,69.97222227820001,Natural Gas
SSD,2025.0,GEO,546.5555559928,Geothermal
SSD,2025.0,LFO,12.0555555652,Light Fuel Oil
SSD,2025.0,NGA,76.11111117200001,Natural Gas
SSD,2026.0,GEO,578.8333337964001,Geothermal
SSD,2026.0,LFO,11.250000009,Light Fuel Oil
SSD,2026.0,NGA,82.1111111768,Natural Gas
SSD,2027.0,GEO,615.8055560482,Geothermal
SSD,2027.0,LFO,10.4444444528,Light Fuel Oil
SSD,2027.0,NGA,80.5833333978,Natural Gas
SSD,2028.0,GEO,646.3055560726001,Geothermal
SSD,2028.0,LFO,9.6388888966,Light Fuel Oil
SSD,2028.0,NGA,85.91666673540001,Natural Gas
SSD,2029.0,GEO,677.0277783194,Geothermal
SSD,2029.0,LFO,8.833333340400001,Light Fuel Oil
SSD,2029.0,NGA,91.250000073,Natural Gas
SSD,2030.0,GEO,712.0000005696,Geothermal
SSD,2030.0,LFO,8.055555562,Light Fuel Oil
SSD,2030.0,NGA,97.2222223,Natural Gas
