Country,y,f,Total annual production (GWh),Source
TGO,2020.0,HFO,8.388888895600001,Heavy Fuel Oil
TGO,2020.0,HYD,582.1388893546,Hydropower
TGO,2020.0,Imports (BEN),584.6666671344,Imports (BEN)
TGO,2020.0,Imports (GHA),329.3888891524,Imports (GHA)
TGO,2020.0,LFO,95.6666667432,Light Fuel Oil
TGO,2020.0,SOL,5.0555555596,Solar
TGO,2021.0,BIO,1259.3611121186,Biomass
TGO,2021.0,HFO,1.5833333346,Heavy Fuel Oil
TGO,2021.0,HYD,582.1388893546,Hydropower
TGO,2021.0,LFO,89.583333405,Light Fuel Oil
TGO,2021.0,SOL,4.9722222262,Solar
TGO,2022.0,BIO,1259.3611121186,Biomass
TGO,2022.0,HFO,1.5000000012,Heavy Fuel Oil
TGO,2022.0,HYD,582.1388893546,Hydropower
TGO,2022.0,Imports (BEN),160.86111123979998,Imports (BEN)
TGO,2022.0,LFO,84.8888889568,Light Fuel Oil
TGO,2022.0,SOL,4.861111115000001,Solar
TGO,2023.0,BIO,1259.3611121186,Biomass
TGO,2023.0,HFO,1.4166666678000002,Heavy Fuel Oil
TGO,2023.0,HYD,1251.6388898901998,Hydropower
TGO,2023.0,LFO,83.94444451160001,Light Fuel Oil
TGO,2023.0,SOL,4.7777777816,Solar
TGO,2024.0,BIO,1259.3611121186,Biomass
TGO,2024.0,HFO,1.3333333344,Heavy Fuel Oil
TGO,2024.0,HYD,1251.6388898901998,Hydropower
TGO,2024.0,Imports (GHA),32.0277778034,Imports (GHA)
TGO,2024.0,LFO,78.50000006280001,Light Fuel Oil
TGO,2024.0,SOL,49.7777778176,Solar
TGO,2025.0,BIO,1259.3611121186,Biomass
TGO,2025.0,HFO,1.250000001,Heavy Fuel Oil
TGO,2025.0,HYD,1251.6388898901998,Hydropower
TGO,2025.0,Imports (GHA),278.08333355580004,Imports (GHA)
TGO,2025.0,LFO,72.25000005780001,Light Fuel Oil
TGO,2025.0,SOL,97.5833334114,Solar
TGO,2026.0,BIO,1630.5833346378,Biomass
TGO,2026.0,HFO,1.1666666676,Heavy Fuel Oil
TGO,2026.0,HYD,1251.6388898901998,Hydropower
TGO,2026.0,Imports (GHA),159.52777790540003,Imports (GHA)
TGO,2026.0,LFO,67.94444449880001,Light Fuel Oil
TGO,2026.0,SOL,146.3611112282,Solar
TGO,2027.0,BIO,1630.5833346378,Biomass
TGO,2027.0,HFO,1.0833333342,Heavy Fuel Oil
TGO,2027.0,HYD,1251.6388898901998,Hydropower
TGO,2027.0,Imports (GHA),163.9166667978,Imports (GHA)
TGO,2027.0,LFO,61.0833333822,Light Fuel Oil
TGO,2027.0,SOL,306.61111135640004,Solar
TGO,2028.0,BIO,1630.5833346378,Biomass
TGO,2028.0,HFO,1.0000000008,Heavy Fuel Oil
TGO,2028.0,HYD,1251.6388898901998,Hydropower
TGO,2028.0,Imports (GHA),205.5833334978,Imports (GHA)
TGO,2028.0,LFO,56.38888893400001,Light Fuel Oil
TGO,2028.0,SOL,541.8333337668,Solar
TGO,2029.0,BIO,1630.5833346378,Biomass
TGO,2029.0,HFO,0.9166666674,Heavy Fuel Oil
TGO,2029.0,HYD,1251.6388898901998,Hydropower
TGO,2029.0,LFO,51.6944444858,Light Fuel Oil
TGO,2029.0,SOL,813.0277784282,Solar
TGO,2030.0,BIO,1630.5833346378,Biomass
TGO,2030.0,HFO,0.8333333340000001,Heavy Fuel Oil
TGO,2030.0,HYD,1251.6388898901998,Hydropower
TGO,2030.0,LFO,47.0000000376,Light Fuel Oil
TGO,2030.0,SOL,1243.3888898836,Solar
