Country,y,f,Total annual production (GWh),Source
ZAF,2020.0,BIO,957.8611118774,Biomass
ZAF,2020.0,COA,215668.6946169794,Coal
ZAF,2020.0,HFO,724.7777783576,Heavy Fuel Oil
ZAF,2020.0,HYD,2802.9444466868003,Hydropower
ZAF,2020.0,LFO,3022.3888913068,Light Fuel Oil
ZAF,2020.0,NGA,808.888889536,Natural Gas
ZAF,2020.0,SOL,5614.194448935801,Solar
ZAF,2020.0,URN,12824.6388991486,Nuclear
ZAF,2020.0,WIN,6528.2777830004,Wind
ZAF,2021.0,BIO,111854.5000894836,Biomass
ZAF,2021.0,COA,53740.6667096592,Coal
ZAF,2021.0,HFO,688.5555561064001,Heavy Fuel Oil
ZAF,2021.0,HYD,2802.9444466868003,Hydropower
ZAF,2021.0,Imports (MOZ),32039.6944700762,Imports (MOZ)
ZAF,2021.0,Imports (SWZ),12066.888898542402,Imports (SWZ)
ZAF,2021.0,Imports (ZWE),3936.250003149,Imports (ZWE)
ZAF,2021.0,LFO,2965.0277801498,Light Fuel Oil
ZAF,2021.0,NGA,768.4444450592,Natural Gas
ZAF,2021.0,SOL,5522.638893307,Solar
ZAF,2021.0,URN,12824.6388991486,Nuclear
ZAF,2021.0,WIN,6452.3055607174,Wind
ZAF,2022.0,BIO,125663.4445449752,Biomass
ZAF,2022.0,COA,53740.6667096592,Coal
ZAF,2022.0,HFO,652.3055560774001,Heavy Fuel Oil
ZAF,2022.0,HYD,2802.9444466868003,Hydropower
ZAF,2022.0,Imports (MOZ),31573.6389141478,Imports (MOZ)
ZAF,2022.0,Imports (SWZ),12066.888898542402,Imports (SWZ)
ZAF,2022.0,Imports (ZWE),2368.7777796728,Imports (ZWE)
ZAF,2022.0,LFO,3018.2222246368,Light Fuel Oil
ZAF,2022.0,NGA,728.0000005824,Natural Gas
ZAF,2022.0,SOL,6339.4722272938,Solar
ZAF,2022.0,URN,12824.6388991486,Nuclear
ZAF,2022.0,WIN,6376.3055606566,Wind
ZAF,2023.0,BIO,125619.027878273,Biomass
ZAF,2023.0,COA,51053.6389297318,Coal
ZAF,2023.0,HFO,616.0555560484,Heavy Fuel Oil
ZAF,2023.0,HYD,4913.416670597399,Hydropower
ZAF,2023.0,Imports (BWA),18.4444444592,Imports (BWA)
ZAF,2023.0,Imports (LSO),210.72222239080003,Imports (LSO)
ZAF,2023.0,Imports (MOZ),32039.6944700762,Imports (MOZ)
ZAF,2023.0,Imports (NAM),1427.8055566978,Imports (NAM)
ZAF,2023.0,Imports (SWZ),12066.888898542402,Imports (SWZ)
ZAF,2023.0,Imports (ZWE),4932.4444483904,Imports (ZWE)
ZAF,2023.0,LFO,2867.1111134048,Light Fuel Oil
ZAF,2023.0,NGA,687.5555561056001,Natural Gas
ZAF,2023.0,SOL,7156.2777835028,Solar
ZAF,2023.0,URN,12824.6388991486,Nuclear
ZAF,2023.0,WIN,6300.305560595801,Wind
ZAF,2024.0,BIO,134397.5278852958,Biomass
ZAF,2024.0,COA,48366.5833720266,Coal
ZAF,2024.0,HFO,579.8333337972001,Heavy Fuel Oil
ZAF,2024.0,HYD,4913.416670597399,Hydropower
ZAF,2024.0,Imports (BWA),455.5277781422,Imports (BWA)
ZAF,2024.0,Imports (COD),2473.1388908674,Imports (COD)
ZAF,2024.0,Imports (LSO),130.9166667714,Imports (LSO)
ZAF,2024.0,Imports (MOZ),32039.6944700762,Imports (MOZ)
ZAF,2024.0,Imports (NAM),1324.8888899488,Imports (NAM)
ZAF,2024.0,Imports (SWZ),12066.888898542402,Imports (SWZ)
ZAF,2024.0,Imports (ZWE),4993.194448439001,Imports (ZWE)
ZAF,2024.0,LFO,2715.972224395,Light Fuel Oil
ZAF,2024.0,NGA,647.1111116288,Natural Gas
ZAF,2024.0,SOL,8646.3055624726,Solar
ZAF,2024.0,URN,12824.6388991486,Nuclear
ZAF,2024.0,WIN,6224.305560535,Wind
ZAF,2025.0,BIO,147365.33345122563,Biomass
ZAF,2025.0,COA,45679.555592099205,Coal
ZAF,2025.0,HFO,543.5833337682001,Heavy Fuel Oil
ZAF,2025.0,HYD,4913.416670597399,Hydropower
ZAF,2025.0,Imports (BWA),278.13888911140003,Imports (BWA)
ZAF,2025.0,Imports (COD),2473.1388908674,Imports (COD)
ZAF,2025.0,Imports (LSO),75.138888949,Imports (LSO)
ZAF,2025.0,Imports (MOZ),32039.6944700762,Imports (MOZ)
ZAF,2025.0,Imports (NAM),789.5277784094,Imports (NAM)
ZAF,2025.0,Imports (SWZ),12066.888898542402,Imports (SWZ)
ZAF,2025.0,Imports (ZWE),4337.8055590258,Imports (ZWE)
ZAF,2025.0,LFO,2490.3333353256,Light Fuel Oil
ZAF,2025.0,NGA,606.6666671520001,Natural Gas
ZAF,2025.0,SOL,10136.305563664602,Solar
ZAF,2025.0,URN,12824.6388991486,Nuclear
ZAF,2025.0,WIN,6148.3055604742,Wind
ZAF,2026.0,BIO,156744.80568095142,Biomass
ZAF,2026.0,COA,42992.5278121718,Coal
ZAF,2026.0,HFO,507.361111517,Heavy Fuel Oil
ZAF,2026.0,HYD,4913.416670597399,Hydropower
ZAF,2026.0,Imports (BWA),163.472222353,Imports (BWA)
ZAF,2026.0,Imports (COD),2473.1388908674,Imports (COD)
ZAF,2026.0,Imports (LSO),16.916666680200002,Imports (LSO)
ZAF,2026.0,Imports (MOZ),32039.6944700762,Imports (MOZ)
ZAF,2026.0,Imports (NAM),927.1111118528,Imports (NAM)
ZAF,2026.0,Imports (SWZ),12057.0555652012,Imports (SWZ)
ZAF,2026.0,Imports (ZWE),3669.7777807136,Imports (ZWE)
ZAF,2026.0,LFO,2264.6944462562,Light Fuel Oil
ZAF,2026.0,NGA,566.2222226752001,Natural Gas
ZAF,2026.0,SOL,12534.72223225,Solar
ZAF,2026.0,URN,12824.6388991486,Nuclear
ZAF,2026.0,WIN,6072.3055604134,Wind
ZAF,2027.0,BIO,163572.4445753024,Biomass
ZAF,2027.0,COA,40305.5000322444,Coal
ZAF,2027.0,HFO,471.111111488,Heavy Fuel Oil
ZAF,2027.0,HYD,4913.416670597399,Hydropower
ZAF,2027.0,Imports (BWA),147.9444445628,Imports (BWA)
ZAF,2027.0,Imports (COD),2897.2777800956,Imports (COD)
ZAF,2027.0,Imports (MOZ),32039.6944700762,Imports (MOZ)
ZAF,2027.0,Imports (NAM),222.0555557332,Imports (NAM)
ZAF,2027.0,Imports (SWZ),12021.583342950602,Imports (SWZ)
ZAF,2027.0,Imports (ZWE),3284.8888915168,Imports (ZWE)
ZAF,2027.0,LFO,2039.0833349646,Light Fuel Oil
ZAF,2027.0,NGA,525.7777781984,Natural Gas
ZAF,2027.0,SOL,14933.138900835402,Solar
ZAF,2027.0,URN,12824.6388991486,Nuclear
ZAF,2027.0,WIN,5996.3055603526,Wind
ZAF,2028.0,BIO,169857.5279136638,Biomass
ZAF,2028.0,COA,37618.472252317006,Coal
ZAF,2028.0,HFO,434.861111459,Heavy Fuel Oil
ZAF,2028.0,HYD,4913.416670597399,Hydropower
ZAF,2028.0,Imports (BWA),139.63888900060002,Imports (BWA)
ZAF,2028.0,Imports (COD),2897.2777800956,Imports (COD)
ZAF,2028.0,Imports (LSO),47.2777778156,Imports (LSO)
ZAF,2028.0,Imports (MOZ),32039.6944700762,Imports (MOZ)
ZAF,2028.0,Imports (SWZ),11994.2777873732,Imports (SWZ)
ZAF,2028.0,Imports (ZWE),3120.7500024966,Imports (ZWE)
ZAF,2028.0,LFO,1813.4166681174,Light Fuel Oil
ZAF,2028.0,NGA,485.33333372160007,Natural Gas
ZAF,2028.0,SOL,17331.527791643002,Solar
ZAF,2028.0,URN,12824.6388991486,Nuclear
ZAF,2028.0,WIN,5920.3055602918,Wind
ZAF,2029.0,BIO,176981.7223638076,Biomass
ZAF,2029.0,COA,34931.4444723896,Coal
