r,t,y,AnnualVariableOperatingCost
REGION,AGOBACKSTOP,2040,0.0
REGION,AGOBIOCHC01N,2040,0.0
REGION,AGOBIOCHP01O,2040,0.0
REGION,AGOBIODIP00X,2015,0.00204044843894738
REGION,AGOBIODIP00X,2016,0.002069825274736854
REGION,AGOBIODIP00X,2017,0.002100699575789474
REGION,AGOBIODIP00X,2018,0.0021289520136842112
REGION,AGOBIODIP00X,2019,0.0021809365674316846
REGION,AGOBIODIP00X,2020,0.002221103149225948
REGION,AGOBIODIP00X,2021,0.0022193707336438844
REGION,AGOBIODIP00X,2022,0.0022540515671460423
REGION,AGOBIODIP00X,2023,0.0022896325798692427
REGION,AGOBIODIP00X,2024,0.002326154062560874
REGION,AGOBIODIP00X,2025,0.0023636544295998637
REGION,AGOBIODIP00X,2026,0.002404405255577148
REGION,AGOBIODIP00X,2027,0.0024461889370807582
REGION,AGOBIODIP00X,2028,0.0024890181651843583
REGION,AGOBIODIP00X,2029,0.002532898330182695
REGION,AGOBIODIP00X,2030,0.002577827146317874
REGION,AGOBIODIP00X,2031,0.0026242153542591373
REGION,AGOBIODIP00X,2032,0.0026716553861056637
REGION,AGOBIODIP00X,2033,0.0027201451266785056
REGION,AGOBIODIP00X,2034,0.0027696618548618745
REGION,AGOBIODIP00X,2035,0.0028201739794347165
REGION,AGOBIODIP00X,2036,0.0028708919199860426
REGION,AGOBIODIP00X,2037,0.0029225634650847376
REGION,AGOBIODIP00X,2038,0.002975185134920274
REGION,AGOBIODIP00X,2039,0.0030287605798821377
REGION,AGOBIODIP00X,2040,0.003083297885412411
REGION,AGOBIOIMP00X,2040,0.0
REGION,AGOBIOPRP00X,2015,326.47175023157973
REGION,AGOBIOPRP00X,2016,331.17204395789554
REGION,AGOBIOPRP00X,2017,336.1119321263163
REGION,AGOBIOPRP00X,2018,340.6323221894742
REGION,AGOBIOPRP00X,2019,348.94985078907
REGION,AGOBIOPRP00X,2020,355.3765038761521
REGION,AGOBIOPRP00X,2021,358.292133029742
REGION,AGOBIOPRP00X,2022,363.84106639008724
REGION,AGOBIOPRP00X,2023,369.5340284257993
REGION,AGOBIOPRP00X,2024,375.37746565646034
REGION,AGOBIOPRP00X,2025,381.37752438269865
REGION,AGOBIOPRP00X,2026,387.89765653906414
REGION,AGOBIOPRP00X,2027,394.5830455796418
REGION,AGOBIOPRP00X,2028,401.43572207621787
REGION,AGOBIOPRP00X,2029,408.4565484759517
REGION,AGOBIOPRP00X,2030,415.6451590575805
REGION,AGOBIOPRP00X,2031,423.06727232818275
REGION,AGOBIOPRP00X,2032,430.657677423627
REGION,AGOBIOPRP00X,2033,438.41603591528167
REGION,AGOBIOPRP00X,2034,446.33871242462055
REGION,AGOBIOPRP00X,2035,454.42065235627547
REGION,AGOBIOPRP00X,2036,462.53552284448756
REGION,AGOBIOPRP00X,2037,470.8029700602788
REGION,AGOBIOPRP00X,2038,479.2224372339647
REGION,AGOBIOPRP00X,2039,487.7945084278627
REGION,AGOBIOPRP00X,2040,496.5204773127065
REGION,AGOCO1DIP00X,2040,0.0
REGION,AGOCO1EXP00X,2015,-29247.162697598767
REGION,AGOCO1EXP00X,2016,-21479.53386801526
REGION,AGOCO1EXP00X,2017,-22925.84089374626
REGION,AGOCO1EXP00X,2018,-30274.14679231345
REGION,AGOCO1EXP00X,2019,-26785.941790581444
REGION,AGOCO1EXP00X,2020,-27352.840029535557
REGION,AGOCO1EXP00X,2021,-27919.73826848965
REGION,AGOCO1EXP00X,2022,-28486.636507443753
REGION,AGOCO1EXP00X,2023,-29053.534746397854
REGION,AGOCO1EXP00X,2024,-29620.432985351956
REGION,AGOCO1EXP00X,2025,-30187.33122430606
REGION,AGOCO1EXP00X,2026,-30612.504903521633
REGION,AGOCO1EXP00X,2027,-31037.678582737197
REGION,AGOCO1EXP00X,2028,-31462.852261952805
REGION,AGOCO1EXP00X,2029,-31888.025941168373
REGION,AGOCO1EXP00X,2030,-32313.19962038399
REGION,AGOCO1EXP00X,2040,0.0
REGION,AGOCO1IMP00X,2030,16343.962004975396
REGION,AGOCO1IMP00X,2031,2934.5516987938686
REGION,AGOCO1IMP00X,2032,2963.5253553480957
REGION,AGOCO1IMP00X,2033,2991.6273421627384
REGION,AGOCO1IMP00X,2034,3018.8474258059614
REGION,AGOCO1IMP00X,2035,3045.181593614561
REGION,AGOCO1IMP00X,2036,3089.4216224476913
REGION,AGOCO1IMP00X,2037,3133.3332916204795
REGION,AGOCO1IMP00X,2038,3176.9012411522513
REGION,AGOCO1IMP00X,2039,3222.5809875811096
REGION,AGOCO1IMP00X,2040,3264.7056156067947
REGION,AGOCO1PRP00X,2015,30396.638947598763
REGION,AGOCO1PRP00X,2016,22361.114535515255
REGION,AGOCO1PRP00X,2017,23956.731223566258
REGION,AGOCO1PRP00X,2018,31522.475682469325
REGION,AGOCO1PRP00X,2019,27890.437491702447
REGION,AGOCO1PRP00X,2020,29035.90509928365
REGION,AGOCO1PRP00X,2021,29767.670838114227
REGION,AGOCO1PRP00X,2022,30489.30138456603
REGION,AGOCO1PRP00X,2023,31213.882610853943
REGION,AGOCO1PRP00X,2024,31942.58156181907
REGION,AGOCO1PRP00X,2025,32675.417474134036
REGION,AGOCO1PRP00X,2026,33154.928332050906
REGION,AGOCO1PRP00X,2027,33635.20954155845
REGION,AGOCO1PRP00X,2028,34115.09132390641
REGION,AGOCO1PRP00X,2029,34595.296431171024
REGION,AGOCO1PRP00X,2030,19545.928589748673
REGION,AGOCO1PRP00X,2040,0.0
REGION,AGOCO1R1P00X,2015,0.0014372154225
REGION,AGOCO1R1P00X,2016,0.0014372154225
REGION,AGOCO1R1P00X,2017,0.0014372154225
REGION,AGOCO1R1P00X,2018,0.0014372154225
REGION,AGOCO1R1P00X,2019,0.0014372154225
REGION,AGOCO1R1P00X,2020,0.00214468364999099
REGION,AGOCO1R1P00X,2021,0.0023069571981626995
REGION,AGOCO1R1P00X,2022,0.002450371129778865
REGION,AGOCO1R1P00X,2023,0.002591728294709092
REGION,AGOCO1R1P00X,2024,0.0027325200705283046
REGION,AGOCO1R1P00X,2025,0.0028728005212404436
REGION,AGOCO1R1P00X,2026,0.0028947680724439083
REGION,AGOCO1R1P00X,2027,0.0029169988693439892
REGION,AGOCO1R1P00X,2028,0.002938186343079878
REGION,AGOCO1R1P00X,2029,0.002959162225453619
REGION,AGOCO1R1P00X,2030,0.0029765561060147707
REGION,AGOCO1R1P00X,2031,0.0029680624435237434
REGION,AGOCO1R1P00X,2032,0.0029589391795590155
REGION,AGOCO1R1P00X,2033,0.002949187580225902
REGION,AGOCO1R1P00X,2034,0.0029388212459454176
REGION,AGOCO1R1P00X,2035,0.0029278590866122925
REGION,AGOCO1R1P00X,2036,0.00294134435368974
REGION,AGOCO1R1P00X,2037,0.0029542588115040102
REGION,AGOCO1R1P00X,2038,0.002966604543002522
REGION,AGOCO1R1P00X,2039,0.0029806689452426434
REGION,AGOCO1R1P00X,2040,0.0029912113104568045
REGION,AGOCO1R2P00X,2040,0.0
REGION,AGOCO1RCP00X,2015,104.19869678399999
REGION,AGOCO1RCP00X,2016,104.19869678399999
REGION,AGOCO1RCP00X,2017,104.19869678399999
REGION,AGOCO1RCP00X,2018,104.19869678399999
REGION,AGOCO1RCP00X,2019,104.19869678399999
REGION,AGOCO1RCP00X,2020,155.49042811848443
REGION,AGOCO1RCP00X,2021,167.25532569563106
REGION,AGOCO1RCP00X,2022,177.6528934792275
REGION,AGOCO1RCP00X,2023,187.90134484999663
REGION,AGOCO1RCP00X,2024,198.1088052825796
REGION,AGOCO1RCP00X,2025,208.2791944390303
REGION,AGOCO1RCP00X,2026,209.87185074587302
REGION,AGOCO1RCP00X,2027,211.48359247170902
REGION,AGOCO1RCP00X,2028,213.01969284807748
REGION,AGOCO1RCP00X,2029,214.54045276549925
REGION,AGOCO1RCP00X,2030,215.80151610931998
REGION,AGOCO1RCP00X,2031,215.18572215899573
REGION,AGOCO1RCP00X,2032,214.5242818483377
REGION,AGOCO1RCP00X,2033,213.81728697049058
REGION,AGOCO1RCP00X,2034,213.06572356145423
REGION,AGOCO1RCP00X,2035,212.27096259620987
REGION,AGOCO1RCP00X,2036,213.24864988877314
REGION,AGOCO1RCP00X,2037,214.18495327993685
REGION,AGOCO1RCP00X,2038,215.0800237842262
REGION,AGOCO1RCP00X,2039,216.0996986092552
REGION,AGOCO1RCP00X,2040,216.8640243318568
REGION,AGOCOADIP00X,2040,0.0
REGION,AGOCOAIMP00X,2040,0.0
REGION,AGOCOAPRP00X,2040,0.0
REGION,AGOCOASCC01N,2040,0.0
REGION,AGOCOASCP01N,2040,0.0
REGION,AGOCOASCP01O,2040,0.0
REGION,AGOEL1TRP00X,2015,0.0003369635954207153
REGION,AGOEL1TRP00X,2016,0.0003647526128345218
REGION,AGOEL1TRP00X,2017,0.0003763374608397241
REGION,AGOEL1TRP00X,2018,0.00041089609236166227
REGION,AGOEL1TRP00X,2019,0.0004515102973457606
REGION,AGOEL1TRP00X,2020,0.00048504152937521155
REGION,AGOEL1TRP00X,2021,0.0005220507579279875
REGION,AGOEL1TRP00X,2022,0.0006024936504917627
REGION,AGOEL1TRP00X,2023,0.0006840036565185617
REGION,AGOEL1TRP00X,2024,0.0007663769222705729
REGION,AGOEL1TRP00X,2025,0.0008496448143564424
REGION,AGOEL1TRP00X,2026,0.0009356151877665681
REGION,AGOEL1TRP00X,2027,0.0009909632316080512
REGION,AGOEL1TRP00X,2028,0.001047486770257108
REGION,AGOEL1TRP00X,2029,0.0011050518136869131
REGION,AGOEL1TRP00X,2030,0.001163720596579149
REGION,AGOEL1TRP00X,2031,0.0011979028743544355
REGION,AGOEL1TRP00X,2032,0.0012333563817885722
REGION,AGOEL1TRP00X,2033,0.0012701196123232072
REGION,AGOEL1TRP00X,2034,0.0013082237982419507
REGION,AGOEL1TRP00X,2035,0.0013644988024408221
REGION,AGOEL1TRP00X,2036,0.0014329456712420246
REGION,AGOEL1TRP00X,2037,0.0015034059537969607
REGION,AGOEL1TRP00X,2038,0.0015759261885611572
REGION,AGOEL1TRP00X,2039,0.0016505628234290025
REGION,AGOEL1TRP00X,2040,0.0017273795273214103
REGION,AGOEL2DIP00X,2015,0.0003201154156496789
REGION,AGOEL2DIP00X,2016,0.00034651498219279506
REGION,AGOEL2DIP00X,2017,0.00035752058779773725
REGION,AGOEL2DIP00X,2018,0.00039035128774357836
REGION,AGOEL2DIP00X,2019,0.0004289347824784718
REGION,AGOEL2DIP00X,2020,0.00046078945290645005
REGION,AGOEL2DIP00X,2021,0.0004516422024930325
REGION,AGOEL2DIP00X,2022,0.00048394410375474133
REGION,AGOEL2DIP00X,2023,0.0005174457501153963
REGION,AGOEL2DIP00X,2024,0.0005519523069262737
REGION,AGOEL2DIP00X,2025,0.0005874924087210776
REGION,AGOEL2DIP00X,2026,0.0006257823637462812
REGION,AGOEL2DIP00X,2027,0.0006650310748051928
REGION,AGOEL2DIP00X,2028,0.0007054521218515208
REGION,AGOEL2DIP00X,2029,0.0007469178670703614
REGION,AGOEL2DIP00X,2030,0.0007894870890053819
REGION,AGOEL2DIP00X,2031,0.0008064641575090833
REGION,AGOEL2DIP00X,2032,0.0008238876121406321
REGION,AGOEL2DIP00X,2033,0.0008417565552340548
REGION,AGOEL2DIP00X,2034,0.0008600613441192659
REGION,AGOEL2DIP00X,2035,0.0008947490971255164
REGION,AGOEL2DIP00X,2036,0.0009400775230685026
REGION,AGOEL2DIP00X,2037,0.0009863506742666599
REGION,AGOEL2DIP00X,2038,0.0010335651033109815
REGION,AGOEL2DIP00X,2039,0.0010817244266011134
REGION,AGOEL2DIP00X,2040,0.0011308366542932197
REGION,AGOEL3DIP00X,2023,0.00013235772357723615
REGION,AGOEL3DIP00X,2024,0.0001761057692307691
REGION,AGOEL3DIP00X,2025,0.00021967016491754104
REGION,AGOEL3DIP00X,2026,0.0002630520646319566
REGION,AGOEL3DIP00X,2027,0.0002763839952224541
REGION,AGOEL3DIP00X,2028,0.00028966030989272966
REGION,AGOEL3DIP00X,2029,0.00030288135593220414
REGION,AGOEL3DIP00X,2030,0.00031604747774480744
REGION,AGOEL3DIP00X,2031,0.00033154357312762826
REGION,AGOEL3DIP00X,2032,0.00034780095055850924
REGION,AGOEL3DIP00X,2033,0.0003648570764729896
REGION,AGOEL3DIP00X,2034,0.0003827512642105851
REGION,AGOEL3DIP00X,2035,0.000401524765193262
REGION,AGOEL3DIP00X,2036,0.00042122086461141765
REGION,AGOEL3DIP00X,2037,0.00044188498184044995
REGION,AGOEL3DIP00X,2038,0.000463564775822115
REGION,AGOEL3DIP00X,2039,0.00048631025565643536
REGION,AGOEL3DIP00X,2040,0.0005101738966621168
REGION,AGOEL4DIP00X,2040,0.0
REGION,AGOELCODBP00,2021,0.00010044420380517256
REGION,AGOELCODBP00,2023,0.00011271627548789236
REGION,AGOELCODBP00,2024,0.00017269093270766707
REGION,AGOELCODBP00,2025,0.0001187317869196519
REGION,AGOELCODBP00,2030,0.00011209610378563707
REGION,AGOELCODBP00,2033,0.00012003492833732875
REGION,AGOELCODBP00,2034,0.00013434417346549183
REGION,AGOELCODBP00,2035,0.0001405914357206932
REGION,AGOELCODBP00,2036,0.00014638817225874645
REGION,AGOELCODBP00,2037,0.0001251250258761049
REGION,AGOGEOCVP01N,2040,0.0
REGION,AGOGEOCVP01O,2040,0.0
