r,t,y,CapitalInvestment
REGION,AGOBACKSTOP,2040,0.0
REGION,AGOBIOCHC01N,2040,0.0
REGION,AGOBIOCHP01N,2017,121.877136
REGION,AGOBIOCHP01N,2040,0.0
REGION,AGOBIOCHP01O,2040,0.0
REGION,AGOBIODIP00X,2040,0.0
REGION,AGOBIOIMP00X,2040,0.0
REGION,AGOBIOPRP00X,2040,0.0
REGION,AGOCO1DIP00X,2040,0.0
REGION,AGOCO1EXP00X,2040,0.0
REGION,AGOCO1IMP00X,2040,0.0
REGION,AGOCO1PRP00X,2040,0.0
REGION,AGOCO1R1P00X,2040,0.0
REGION,AGOCO1R2P00X,2040,0.0
REGION,AGOCO1RCP00X,2040,0.0
REGION,AGOCOADIP00X,2040,0.0
REGION,AGOCOAIMP00X,2040,0.0
REGION,AGOCOAPRP00X,2040,0.0
REGION,AGOCOASCC01N,2040,0.0
REGION,AGOCOASCP01N,2040,0.0
REGION,AGOCOASCP01O,2040,0.0
REGION,AGOEL1TRP00X,2016,25.77276426043242
REGION,AGOEL1TRP00X,2017,15.217148893157686
REGION,AGOEL1TRP00X,2018,45.26089178158991
REGION,AGOEL1TRP00X,2019,53.1913906782728
REGION,AGOEL1TRP00X,2020,43.64382469740462
REGION,AGOEL1TRP00X,2021,51.003899470278036
REGION,AGOEL1TRP00X,2022,103.31891308477998
REGION,AGOEL1TRP00X,2023,107.07732535622166
REGION,AGOEL1TRP00X,2024,108.21065913525356
REGION,AGOEL1TRP00X,2025,109.40184178213575
REGION,AGOEL1TRP00X,2026,114.57396432430389
REGION,AGOEL1TRP00X,2027,72.72714345470075
REGION,AGOEL1TRP00X,2028,75.03779673607977
REGION,AGOEL1TRP00X,2029,75.63820069895513
REGION,AGOEL1TRP00X,2030,77.08790523716
REGION,AGOEL1TRP00X,2031,21.425413063931007
REGION,AGOEL1TRP00X,2032,22.477986756521126
REGION,AGOEL1TRP00X,2033,23.582362779806378
REGION,AGOEL1TRP00X,2034,24.741094724192607
REGION,AGOEL1TRP00X,2035,61.108815999822966
REGION,AGOEL1TRP00X,2036,84.29873565928592
REGION,AGOEL1TRP00X,2037,86.82651166378001
REGION,AGOEL1TRP00X,2038,89.41584237621599
REGION,AGOEL1TRP00X,2039,92.07887019057966
REGION,AGOEL1TRP00X,2040,94.82453650556153
REGION,AGOEL2DIP00X,2016,167.84491207019664
REGION,AGOEL2DIP00X,2017,99.09490740862365
REGION,AGOEL2DIP00X,2018,294.7414073305786
REGION,AGOEL2DIP00X,2019,346.38525069366204
REGION,AGOEL2DIP00X,2020,284.2109778719447
REGION,AGOEL2DIP00X,2022,208.80041528007567
REGION,AGOEL2DIP00X,2023,301.73152391111563
REGION,AGOEL2DIP00X,2024,310.77587793788547
REGION,AGOEL2DIP00X,2025,320.18646886007105
REGION,AGOEL2DIP00X,2026,355.5107682000867
REGION,AGOEL2DIP00X,2027,353.56534724736105
REGION,AGOEL2DIP00X,2028,369.1132016453621
REGION,AGOEL2DIP00X,2029,373.52069185071537
REGION,AGOEL2DIP00X,2030,383.4557730017615
REGION,AGOEL2DIP00X,2035,228.91144897632282
REGION,AGOEL2DIP00X,2036,371.6186013409484
REGION,AGOEL2DIP00X,2037,379.36379589985415
REGION,AGOEL2DIP00X,2038,387.0807273703426
REGION,AGOEL2DIP00X,2039,394.8273073747607
REGION,AGOEL2DIP00X,2040,402.63955749608
REGION,AGOEL3DIP00X,2021,398.9217208877517
REGION,AGOEL3DIP00X,2022,397.2364752352382
REGION,AGOEL3DIP00X,2023,395.5618860593052
REGION,AGOEL3DIP00X,2024,393.8978637020728
REGION,AGOEL3DIP00X,2025,392.24431944666406
REGION,AGOEL3DIP00X,2026,390.6011655052231
REGION,AGOEL3DIP00X,2027,120.03779597860577
REGION,AGOEL3DIP00X,2028,119.53704236008743
REGION,AGOEL3DIP00X,2029,119.03941565982186
REGION,AGOEL3DIP00X,2030,118.54488989743321
REGION,AGOEL3DIP00X,2031,139.52346386755357
REGION,AGOEL3DIP00X,2032,146.377881428974
REGION,AGOEL3DIP00X,2033,153.56963860636046
REGION,AGOEL3DIP00X,2034,161.11536452036546
REGION,AGOEL3DIP00X,2035,169.03250924279993
REGION,AGOEL3DIP00X,2036,177.3393843811276
REGION,AGOEL3DIP00X,2037,186.05520567175674
REGION,AGOEL3DIP00X,2038,195.2001376817891
REGION,AGOEL3DIP00X,2039,204.795340723841
REGION,AGOEL3DIP00X,2040,214.86302009315142
REGION,AGOEL4DIP00X,2040,0.0
REGION,AGOELCODBP00,2019,87.96261400327842
REGION,AGOELCODBP00,2020,71.67223315981978
REGION,AGOELCODBP00,2023,26.428566137712753
REGION,AGOELCODBP00,2024,4.934586699189027
REGION,AGOELCODBP00,2040,0.0
REGION,AGOGEOCVP01N,2040,0.0
REGION,AGOGEOCVP01O,2040,0.0
REGION,AGOHFODIP00X,2040,0.0
REGION,AGOHFOEMP00X,2040,0.0
REGION,AGOHFOGCP01N,2040,0.0
REGION,AGOHFOGCP01O,2040,0.0
REGION,AGOHFOIMP00X,2040,0.0
REGION,AGOHYDLSP00X,2017,6828.2940902400005
REGION,AGOHYDLSP00X,2018,999.9593855999999
REGION,AGOHYDLSP00X,2024,6199.74819072
REGION,AGOHYDLSP00X,2040,0.0
REGION,AGOHYDMGRID1,2040,0.0
REGION,AGOHYDMSP00X,2016,362.44242187776
REGION,AGOHYDMSP00X,2040,0.0
REGION,AGOHYDSSP00X,2018,96.9756530688
REGION,AGOHYDSSP00X,2040,0.0
REGION,AGOLFODIP00X,2040,0.0
REGION,AGOLFOEMP00X,2040,0.0
REGION,AGOLFOIMP00X,2040,0.0
REGION,AGOLFOMGRID1,2040,0.0
REGION,AGOLFORCP00X,2016,1.3936731837038943
REGION,AGOLFORCP00X,2018,0.6600500207354495
REGION,AGOLFORCP00X,2040,0.0
REGION,AGOLFORCP01N,2017,27.433728000000002
REGION,AGOLFORCP01N,2040,0.0
REGION,AGOLFORCP01O,2040,0.0
REGION,AGOLFOSALON1,2040,0.0
REGION,AGOLNGEXP00X,2039,349.5999999999997
REGION,AGOLNGEXP00X,2040,0.0
REGION,AGOLNGIMP00X,2040,0.0
REGION,AGONGACCC01N,2040,0.0
REGION,AGONGACCP01N,2017,202.813632
REGION,AGONGACCP01N,2018,458.535168
REGION,AGONGACCP01N,2029,283.35239496951726
REGION,AGONGACCP01N,2030,340.2297115141489
REGION,AGONGACCP01N,2032,2.2069186136692664
REGION,AGONGACCP01N,2035,170.13611921698188
REGION,AGONGACCP01N,2036,238.46432985729305
REGION,AGONGACCP01N,2037,48.538085635270676
REGION,AGONGACCP01N,2038,263.72706903008344
REGION,AGONGACCP01N,2039,230.83660965886662
REGION,AGONGACCP01N,2040,267.3672300586477
REGION,AGONGACCP01O,2040,0.0
REGION,AGONGADIP00X,2040,0.0
REGION,AGONGAGCP01N,2040,0.0
REGION,AGONGAGCP01O,2040,0.0
REGION,AGONGAPRP00X,2040,0.0
REGION,AGONGGCP01N,2040,0.0
REGION,AGONGGCP01O,2040,0.0
REGION,AGOSOLARP00X,2040,0.0
REGION,AGOSOLCNP01X,2040,0.0
REGION,AGOSOLCSP01X,2040,0.0
REGION,AGOSOLMGRID1,2040,0.0
REGION,AGOSOLPRP00X,2015,2.376
REGION,AGOSOLPRP00X,2031,782.3929160209238
REGION,AGOSOLPRP00X,2032,789.7396136307484
REGION,AGOSOLPRP00X,2033,796.370593905771
REGION,AGOSOLPRP00X,2034,801.9051835653208
REGION,AGOSOLPRP00X,2035,400.5653835184171
REGION,AGOSOLPRP00X,2036,172.11014409383606
REGION,AGOSOLPRP00X,2037,172.533268727214
REGION,AGOSOLPRP00X,2038,172.81589791255502
REGION,AGOSOLPRP00X,2039,172.98399403991644
REGION,AGOSOLPRP00X,2040,172.31351830673026
REGION,AGOSOLPRSAL1,2040,0.0
REGION,AGOSOLPRSAL2,2040,0.0
REGION,AGOSOLPRSAL3,2040,0.0
REGION,AGOSOLPRSAL4,2040,0.0
REGION,AGOSOLPRSAL5,2040,0.0
REGION,AGOSOLPSP00X,2040,0.0
REGION,AGOSOLPUP00X,2040,0.0
REGION,AGOURNIMP00X,2040,0.0
REGION,AGOURNPRP00X,2040,0.0
REGION,AGOURNPWP01N,2040,0.0
REGION,AGOURNPWP01O,2040,0.0
REGION,AGOWINMGRID1,2040,0.0
REGION,AGOWINOFP00X,2040,0.0
REGION,AGOWINONP00X,2040,0.0
REGION,AGOWINPRP00X,2040,0.0
REGION,BDIBACKSTOP,2040,0.0
REGION,BDIBIOCHC01N,2040,0.0
REGION,BDIBIOCHP01N,2040,0.0
REGION,BDIBIOCHP01O,2040,0.0
REGION,BDIBIODIP00X,2040,0.0
REGION,BDIBIOEMP00X,2040,0.0
REGION,BDIBIOIMP00X,2040,0.0
REGION,BDIBIOPRP00X,2040,0.0
REGION,BDICO1DIP00X,2040,0.0
REGION,BDICO1IMP00X,2040,0.0
REGION,BDICO1PRP00X,2040,0.0
REGION,BDICO1R1P00X,2040,0.0
REGION,BDICO1R2P00X,2040,0.0
REGION,BDICO1RCP00X,2040,0.0
REGION,BDICOADIP00X,2040,0.0
REGION,BDICOAIMP00X,2040,0.0
REGION,BDICOAPRP00X,2040,0.0
REGION,BDICOASCC01N,2040,0.0
REGION,BDICOASCP01N,2040,0.0
REGION,BDICOASCP01O,2040,0.0
REGION,BDIEL1TRP00X,2017,0.08204842477781034
REGION,BDIEL1TRP00X,2018,2.8103369746226896
REGION,BDIEL1TRP00X,2019,0.7396430777304308
REGION,BDIEL1TRP00X,2020,0.08237715848945637
REGION,BDIEL1TRP00X,2021,6.857262058491192
REGION,BDIEL1TRP00X,2022,6.814764223113132
REGION,BDIEL1TRP00X,2023,6.788673012218598
REGION,BDIEL1TRP00X,2024,6.756982849143644
REGION,BDIEL1TRP00X,2025,7.398095850922901
REGION,BDIEL1TRP00X,2026,7.411218519898108
REGION,BDIEL1TRP00X,2027,3.9298956983928166
REGION,BDIEL1TRP00X,2028,3.7717759094599645
REGION,BDIEL1TRP00X,2029,3.6440355083894107
REGION,BDIEL1TRP00X,2030,2.6619585650763837
REGION,BDIEL1TRP00X,2031,2.211373172738603
REGION,BDIEL1TRP00X,2032,2.310463992700102
REGION,BDIEL1TRP00X,2033,2.4139950359228632
REGION,BDIEL1TRP00X,2034,2.5221652671807506
REGION,BDIEL1TRP00X,2035,2.615007977843148
REGION,BDIEL1TRP00X,2036,2.6184477763223506
REGION,BDIEL1TRP00X,2037,2.7416638670412503
REGION,BDIEL1TRP00X,2038,2.870354877024764
REGION,BDIEL1TRP00X,2039,3.004869707444539
REGION,BDIEL1TRP00X,2040,3.1219274972595126
REGION,BDIEL2DIP00X,2017,0.5343038379572962
REGION,BDIEL2DIP00X,2018,18.301068369810075
REGION,BDIEL2DIP00X,2019,4.816596250568386
REGION,BDIEL2DIP00X,2020,0.536444569900128
REGION,BDIEL2DIP00X,2021,2.6493313362050785
REGION,BDIEL2DIP00X,2022,2.3725831035745477
REGION,BDIEL2DIP00X,2023,2.2026757085738273
REGION,BDIEL2DIP00X,2024,1.9963076301827953
REGION,BDIEL2DIP00X,2025,6.171270627248946
REGION,BDIEL2DIP00X,2026,6.256726166665776
REGION,BDIEL2DIP00X,2027,8.256876088163105
REGION,BDIEL2DIP00X,2028,7.227191358535313
REGION,BDIEL2DIP00X,2029,6.395338867289734
REGION,BDIEL2DIP00X,2040,0.0
REGION,BDIEL3DIP00X,2021,42.00553492907632
REGION,BDIEL3DIP00X,2022,42.00553492907641
REGION,BDIEL3DIP00X,2023,42.00553492907658
REGION,BDIEL3DIP00X,2024,42.00553492907614
REGION,BDIEL3DIP00X,2025,42.005534929076106
REGION,BDIEL3DIP00X,2026,42.00553492907616
REGION,BDIEL3DIP00X,2027,17.33482003652148
REGION,BDIEL3DIP00X,2028,17.334820036520654
REGION,BDIEL3DIP00X,2029,17.334820036520565
REGION,BDIEL3DIP00X,2030,17.334820036520636
REGION,BDIEL3DIP00X,2031,14.400583272006573
REGION,BDIEL3DIP00X,2032,15.04586812122981
REGION,BDIEL3DIP00X,2033,15.720067947630282
REGION,BDIEL3DIP00X,2034,16.424478420717566
REGION,BDIEL3DIP00X,2035,17.1604532684789
REGION,BDIEL3DIP00X,2036,17.92940687895508
REGION,BDIEL3DIP00X,2037,18.732817018394062
REGION,BDIEL3DIP00X,2038,19.572227671206488
REGION,BDIEL3DIP00X,2039,20.449252007182768
REGION,BDIEL3DIP00X,2040,21.365575481651547
REGION,BDIEL4DIP00X,2040,0.0
REGION,BDIELRWABP00,2040,0.0
REGION,BDIGEOCVP01N,2025,404.7454656
REGION,BDIGEOCVP01N,2040,0.0
REGION,BDIGEOCVP01O,2040,0.0
REGION,BDIHFODIP00X,2040,0.0
REGION,BDIHFOGCP01N,2025,0.014226872332359385
REGION,BDIHFOGCP01N,2040,0.0
REGION,BDIHFOGCP01O,2040,0.0
REGION,BDIHFOIMP00X,2040,0.0
REGION,BDIHYDLSP00X,2022,139.994313984
REGION,BDIHYDLSP00X,2040,0.0
REGION,BDIHYDMGRID1,2040,0.0
REGION,BDIHYDMSP00X,2040,0.0
REGION,BDIHYDSSP00X,2016,46.69198110719999
REGION,BDIHYDSSP00X,2017,53.875362816
REGION,BDIHYDSSP00X,2040,0.0
REGION,BDILFODIP00X,2040,0.0
REGION,BDILFOIMP00X,2040,0.0
REGION,BDILFOMGRID1,2040,0.0
