Country,y,f,Total installed capacity (GW),Source
AGO,2020,BIO,0.045,Biomass
AGO,2020,GAS,0.835,Natural Gas
AGO,2020,HFO,0.2391,Heavy Fuel Oil
AGO,2020,HYD,3.775584,Hydropower
AGO,2020,LFO,0.8504177685747386,Light Fuel Oil
AGO,2020,SOL,0.0124,Solar
AGO,2021,BIO,0.045,Biomass
AGO,2021,GAS,0.83075,Natural Gas
AGO,2021,HFO,0.227145,Heavy Fuel Oil
AGO,2021,HYD,3.775584,Hydropower
AGO,2021,LFO,0.8082085185747386,Light Fuel Oil
AGO,2021,SOL,0.0118,Solar
AGO,2022,BIO,0.045,Biomass
AGO,2022,GAS,0.8265,Natural Gas
AGO,2022,HFO,0.21519,Heavy Fuel Oil
AGO,2022,HYD,3.775584,Hydropower
AGO,2022,LFO,0.7659992685747387,Light Fuel Oil
AGO,2022,SOL,0.0112,Solar
AGO,2023,BIO,0.045,Biomass
AGO,2023,GAS,0.82225,Natural Gas
AGO,2023,HFO,0.203235,Heavy Fuel Oil
AGO,2023,HYD,3.775584,Hydropower
AGO,2023,LFO,0.7237900185747387,Light Fuel Oil
AGO,2023,SOL,0.0105999999999999,Solar
AGO,2024,BIO,0.045,Biomass
AGO,2024,GAS,0.8180000000000001,Natural Gas
AGO,2024,HFO,0.19128,Heavy Fuel Oil
AGO,2024,HYD,5.945584,Hydropower
AGO,2024,LFO,0.6815807685747386,Light Fuel Oil
AGO,2024,SOL,0.0099999999999999,Solar
AGO,2025,BIO,0.045,Biomass
AGO,2025,GAS,0.81375,Natural Gas
AGO,2025,HFO,0.179325,Heavy Fuel Oil
AGO,2025,HYD,5.945584,Hydropower
AGO,2025,LFO,0.6393715185747386,Light Fuel Oil
AGO,2025,SOL,0.0093999999999999,Solar
AGO,2026,BIO,0.045,Biomass
AGO,2026,GAS,0.8095,Natural Gas
AGO,2026,HFO,0.16737,Heavy Fuel Oil
AGO,2026,HYD,5.967625589736108,Hydropower
AGO,2026,LFO,0.5922180611683817,Light Fuel Oil
AGO,2026,SOL,0.0087999999999999,Solar
AGO,2027,BIO,0.045,Biomass
AGO,2027,GAS,0.80525,Natural Gas
AGO,2027,HFO,0.155415,Heavy Fuel Oil
AGO,2027,HYD,6.104743964962937,Hydropower
AGO,2027,LFO,0.5500088111683817,Light Fuel Oil
AGO,2027,SOL,0.0081999999999999,Solar
AGO,2028,BIO,0.045,Biomass
AGO,2028,GAS,0.801,Natural Gas
AGO,2028,HFO,0.14346,Heavy Fuel Oil
AGO,2028,HYD,6.524320994854185,Hydropower
AGO,2028,LFO,0.506511,Light Fuel Oil
AGO,2028,SOL,0.0076,Solar
AGO,2029,BIO,0.045,Biomass
AGO,2029,GAS,0.79675,Natural Gas
AGO,2029,HFO,0.131505,Heavy Fuel Oil
AGO,2029,HYD,6.791906823634832,Hydropower
AGO,2029,LFO,0.46430175,Light Fuel Oil
AGO,2029,SOL,0.007,Solar
AGO,2030,BIO,0.045,Biomass
AGO,2030,GAS,0.7925,Natural Gas
AGO,2030,HFO,0.11955,Heavy Fuel Oil
AGO,2030,HYD,7.093632562797053,Hydropower
AGO,2030,LFO,0.4220925,Light Fuel Oil
AGO,2030,SOL,0.5064,Solar
BDI,2020,HYD,0.075227,Hydropower
BDI,2020,LFO,0.0071360220464383,Light Fuel Oil
BDI,2020,SOL,0.00485,Solar
BDI,2021,HYD,0.075227,Hydropower
BDI,2021,LFO,0.0068335220464383,Light Fuel Oil
BDI,2021,SOL,0.0047,Solar
BDI,2022,HYD,0.124227,Hydropower
BDI,2022,LFO,0.0065310220464383,Light Fuel Oil
BDI,2022,SOL,0.00455,Solar
BDI,2023,HYD,0.1683955750884392,Hydropower
BDI,2023,LFO,0.0062285220464383005,Light Fuel Oil
BDI,2023,SOL,0.0043999999999999,Solar
BDI,2024,GEO,0.1,Geothermal
BDI,2024,HYD,0.1683955750884392,Hydropower
BDI,2024,LFO,0.0059260220464383,Light Fuel Oil
BDI,2024,SOL,0.00425,Solar
BDI,2025,GEO,0.1,Geothermal
BDI,2025,HYD,0.1683955750884392,Hydropower
BDI,2025,LFO,0.0056235220464383,Light Fuel Oil
BDI,2025,SOL,0.0040999999999999,Solar
BDI,2026,GEO,0.1,Geothermal
BDI,2026,HYD,0.1683955750884392,Hydropower
BDI,2026,LFO,0.0053131267341656,Light Fuel Oil
BDI,2026,SOL,0.00395,Solar
BDI,2027,GEO,0.1,Geothermal
BDI,2027,HYD,0.1683955750884392,Hydropower
BDI,2027,LFO,0.0042178098062435,Light Fuel Oil
BDI,2027,SOL,0.0038,Solar
BDI,2028,GEO,0.1,Geothermal
BDI,2028,HYD,0.1683955750884392,Hydropower
BDI,2028,LFO,0.00363,Light Fuel Oil
BDI,2028,SOL,0.00365,Solar
BDI,2029,GEO,0.1,Geothermal
BDI,2029,HYD,0.1819710174441456,Hydropower
BDI,2029,LFO,0.0033275,Light Fuel Oil
BDI,2029,SOL,0.0138395134901404,Solar
BDI,2030,GEO,0.1,Geothermal
BDI,2030,HYD,0.1957712109484834,Hydropower
BDI,2030,LFO,0.003025,Light Fuel Oil
BDI,2030,SOL,0.0256456197279693,Solar
BEN,2020,GAS,0.08,Natural Gas
BEN,2020,HFO,0.12576,Heavy Fuel Oil
BEN,2020,HYD,0.4359999999999999,Hydropower
BEN,2020,LFO,0.0963248134247419,Light Fuel Oil
BEN,2020,SOL,0.00795,Solar
BEN,2021,BIO,0.045467323532447,Biomass
BEN,2021,GAS,0.076,Natural Gas
BEN,2021,HFO,0.124472,Heavy Fuel Oil
BEN,2021,HYD,0.4359999999999999,Hydropower
BEN,2021,LFO,0.0917501134247419,Light Fuel Oil
BEN,2021,SOL,0.0079,Solar
BEN,2022,BIO,0.045467323532447,Biomass
BEN,2022,GAS,0.072,Natural Gas
BEN,2022,HFO,0.123184,Heavy Fuel Oil
BEN,2022,HYD,0.4359999999999999,Hydropower
BEN,2022,LFO,0.0871754134247419,Light Fuel Oil
BEN,2022,SOL,0.00785,Solar
BEN,2023,BIO,0.045467323532447,Biomass
BEN,2023,GAS,0.068,Natural Gas
BEN,2023,HFO,0.121896,Heavy Fuel Oil
BEN,2023,HYD,1.001,Hydropower
BEN,2023,LFO,0.0826007134247419,Light Fuel Oil
BEN,2023,SOL,0.0078,Solar
BEN,2024,BIO,0.045467323532447,Biomass
BEN,2024,GAS,0.064,Natural Gas
BEN,2024,HFO,0.120608,Heavy Fuel Oil
BEN,2024,HYD,1.001,Hydropower
BEN,2024,LFO,0.0780260134247419,Light Fuel Oil
BEN,2024,SOL,0.00775,Solar
BEN,2025,BIO,0.2386196262133926,Biomass
BEN,2025,GAS,0.06,Natural Gas
BEN,2025,HFO,0.11932000000000001,Heavy Fuel Oil
BEN,2025,HYD,1.001,Hydropower
BEN,2025,LFO,0.0708833673116414,Light Fuel Oil
BEN,2025,SOL,0.0077,Solar
BEN,2026,BIO,0.2386196262133926,Biomass
BEN,2026,GAS,0.056,Natural Gas
BEN,2026,HFO,0.118032,Heavy Fuel Oil
BEN,2026,HYD,1.001,Hydropower
BEN,2026,LFO,0.0663086673116414,Light Fuel Oil
BEN,2026,SOL,0.00765,Solar
BEN,2027,BIO,0.2386196262133926,Biomass
BEN,2027,GAS,0.052,Natural Gas
BEN,2027,HFO,0.116744,Heavy Fuel Oil
BEN,2027,HYD,1.001,Hydropower
BEN,2027,LFO,0.0617339673116414,Light Fuel Oil
BEN,2027,SOL,0.0296713428836193,Solar
BEN,2028,BIO,0.2386196262133926,Biomass
BEN,2028,GAS,0.048,Natural Gas
BEN,2028,HFO,0.115456,Heavy Fuel Oil
BEN,2028,HYD,1.001,Hydropower
BEN,2028,LFO,0.0548964,Light Fuel Oil
BEN,2028,SOL,0.0590596480919478,Solar
BEN,2029,BIO,0.2386196262133926,Biomass
BEN,2029,GAS,0.044,Natural Gas
BEN,2029,HFO,0.114168,Heavy Fuel Oil
BEN,2029,HYD,1.001,Hydropower
BEN,2029,LFO,0.0503217,Light Fuel Oil
BEN,2029,SOL,0.08320053630947921,Solar
BEN,2030,BIO,0.2386196262133926,Biomass
BEN,2030,GAS,0.04,Natural Gas
BEN,2030,HFO,0.11288000000000001,Heavy Fuel Oil
BEN,2030,HYD,1.001,Hydropower
BEN,2030,LFO,0.045747,Light Fuel Oil
BEN,2030,SOL,0.13592761303122222,Solar
BFA,2020,BIO,0.00245,Biomass
BFA,2020,HFO,0.162424,Heavy Fuel Oil
BFA,2020,HYD,0.02622,Hydropower
BFA,2020,LFO,0.152827,Light Fuel Oil
BFA,2020,SOL,0.40519499999999997,Solar
BFA,2021,BIO,0.0023275,Biomass
BFA,2021,HFO,0.1543028,Heavy Fuel Oil
BFA,2021,HYD,0.02622,Hydropower
BFA,2021,LFO,0.14518565,Light Fuel Oil
BFA,2021,SOL,0.40476999999999996,Solar
BFA,2022,BIO,0.002205,Biomass
BFA,2022,HFO,0.1461816,Heavy Fuel Oil
BFA,2022,HYD,0.0471199999999999,Hydropower
BFA,2022,LFO,0.1375443,Light Fuel Oil
BFA,2022,SOL,0.4043449999999999,Solar
BFA,2023,BIO,0.0020825,Biomass
BFA,2023,HFO,0.1380604,Heavy Fuel Oil
BFA,2023,HYD,0.0611199999999999,Hydropower
BFA,2023,LFO,0.12990295,Light Fuel Oil
BFA,2023,SOL,0.40392,Solar
BFA,2024,BIO,0.00196,Biomass
BFA,2024,HFO,0.1299392,Heavy Fuel Oil
BFA,2024,HYD,0.0611199999999999,Hydropower
BFA,2024,LFO,0.1222616,Light Fuel Oil
BFA,2024,SOL,0.403495,Solar
BFA,2025,BIO,0.001225,Biomass
BFA,2025,HFO,0.121818,Heavy Fuel Oil
BFA,2025,HYD,0.0611199999999999,Hydropower
BFA,2025,LFO,0.11462025,Light Fuel Oil
BFA,2025,SOL,0.42404345485785666,Solar
BFA,2026,BIO,0.0011025,Biomass
BFA,2026,HFO,0.1136968,Heavy Fuel Oil
BFA,2026,HYD,0.0611199999999999,Hydropower
BFA,2026,LFO,0.1069789,Light Fuel Oil
BFA,2026,SOL,0.6214505034816655,Solar
BFA,2027,BIO,0.00098,Biomass
BFA,2027,HFO,0.1055756,Heavy Fuel Oil
BFA,2027,HYD,0.0611199999999999,Hydropower
BFA,2027,LFO,0.09933755,Light Fuel Oil
BFA,2027,SOL,0.6439870810215069,Solar
BFA,2028,BIO,0.0008575,Biomass
BFA,2028,HFO,0.0974544,Heavy Fuel Oil
BFA,2028,HYD,0.0611199999999999,Hydropower
BFA,2028,LFO,0.0916962,Light Fuel Oil
BFA,2028,SOL,0.6667832769857285,Solar
BFA,2029,BIO,0.000735,Biomass
BFA,2029,HFO,0.0893332,Heavy Fuel Oil
BFA,2029,HYD,0.0611199999999999,Hydropower
BFA,2029,LFO,0.08405485,Light Fuel Oil
BFA,2029,SOL,0.7269827999993396,Solar
BFA,2030,BIO,0.0006125,Biomass
BFA,2030,HFO,0.081212,Heavy Fuel Oil
BFA,2030,HYD,0.0611199999999999,Hydropower
