Country,y,f,Total annual demand (GWh),Demand type
AGO,2020.0,EL3E,12014.694454056202,Current electrified
AGO,2021.0,EL3E,11782.916676092998,Current electrified
AGO,2021.0,EL3U,1692.8333346876,New electrified
AGO,2022.0,EL3E,12643.694454559401,Current electrified
AGO,2022.0,EL3U,3385.6388915974003,New electrified
AGO,2023.0,EL3E,13531.5000108252,Current electrified
AGO,2023.0,EL3U,5078.472226285,New electrified
AGO,2024.0,EL3E,14447.500011557999,Current electrified
AGO,2024.0,EL3U,6771.3055609726,New electrified
AGO,2025.0,EL3E,15392.833345647601,Current electrified
AGO,2025.0,EL3U,8464.111117882401,New electrified
AGO,2026.0,EL3E,16408.722235349203,Current electrified
AGO,2026.0,EL3U,10156.94445257,New electrified
AGO,2027.0,EL3E,17455.6111250756,Current electrified
AGO,2027.0,EL3U,10699.444453004,New electrified
AGO,2028.0,EL3E,18533.8611259382,Current electrified
AGO,2028.0,EL3U,11241.944453438,New electrified
AGO,2029.0,EL3E,19643.638904603802,Current electrified
AGO,2029.0,EL3U,11784.444453872,New electrified
AGO,2030.0,EL3E,20784.8889055168,Current electrified
AGO,2030.0,EL3U,12326.944454306002,New electrified
BDI,2020.0,EL3E,291.66666690000005,Current electrified
BDI,2021.0,EL3E,299.0555557948,Current electrified
BDI,2021.0,EL3U,220.00000017600001,New electrified
BDI,2022.0,EL3E,305.75000024459996,Current electrified
BDI,2022.0,EL3U,440.00000035200003,New electrified
BDI,2023.0,EL3E,311.77777802720004,Current electrified
BDI,2023.0,EL3U,660.000000528,New electrified
BDI,2024.0,EL3E,317.25000025380007,Current electrified
BDI,2024.0,EL3U,880.0000007040001,New electrified
BDI,2025.0,EL3E,334.0000002672,Current electrified
BDI,2025.0,EL3U,1100.00000088,New electrified
BDI,2026.0,EL3E,351.0000002808,Current electrified
BDI,2026.0,EL3U,1320.000001056,New electrified
BDI,2027.0,EL3E,368.194444739,Current electrified
BDI,2027.0,EL3U,1412.3611122410002,New electrified
BDI,2028.0,EL3E,385.55555586400004,Current electrified
BDI,2028.0,EL3U,1504.722223426,New electrified
BDI,2029.0,EL3E,403.11111143359994,Current electrified
BDI,2029.0,EL3U,1597.083334611,New electrified
BDI,2030.0,EL3E,423.36111144980003,Current electrified
BDI,2030.0,EL3U,1689.444445796,New electrified
BEN,2020.0,EL3E,1336.1666677356,Current electrified
BEN,2021.0,EL3E,1372.6666677648002,Current electrified
BEN,2021.0,EL3U,320.694444701,New electrified
BEN,2022.0,EL3E,1408.8333344604,Current electrified
BEN,2022.0,EL3U,641.388889402,New electrified
BEN,2023.0,EL3E,1444.9444456003998,Current electrified
BEN,2023.0,EL3U,962.083334103,New electrified
BEN,2024.0,EL3E,1481.0555567403999,Current electrified
BEN,2024.0,EL3U,1282.777778804,New electrified
BEN,2025.0,EL3E,1517.1944456582,Current electrified
BEN,2025.0,EL3U,1603.472223505,New electrified
BEN,2026.0,EL3E,1592.0277790514,Current electrified
BEN,2026.0,EL3U,1924.166668206,New electrified
BEN,2027.0,EL3E,1666.8333346668003,Current electrified
BEN,2027.0,EL3U,2010.7777793864002,New electrified
BEN,2028.0,EL3E,1741.6388902822,Current electrified
BEN,2028.0,EL3U,2097.3611127890003,New electrified
BEN,2029.0,EL3E,1816.4444458976,Current electrified
BEN,2029.0,EL3U,2183.9722239694,New electrified
BEN,2030.0,EL3E,1891.1944459574,Current electrified
BEN,2030.0,EL3U,2270.555557372,New electrified
BFA,2020.0,EL3E,1657.9444457708,Current electrified
BFA,2021.0,EL3E,1700.1666680268,Current electrified
BFA,2021.0,EL3U,227.30555573740003,New electrified
BFA,2022.0,EL3E,1738.1666680572,Current electrified
BFA,2022.0,EL3U,454.63888925260005,New electrified
BFA,2023.0,EL3E,1772.4166680846001,Current electrified
BFA,2023.0,EL3U,681.9444449900001,New electrified
BFA,2024.0,EL3E,1803.5000014428,Current electrified
BFA,2024.0,EL3U,909.2500007274,New electrified
BFA,2025.0,EL3E,1898.8333348524,Current electrified
BFA,2025.0,EL3U,1136.5833342426001,New electrified
BFA,2026.0,EL3E,1995.3611127074,Current electrified
BFA,2026.0,EL3U,1363.8888899800002,New electrified
BFA,2027.0,EL3E,2093.05555723,Current electrified
BFA,2027.0,EL3U,1446.7222233795999,New electrified
BFA,2028.0,EL3E,2191.9166684202,Current electrified
BFA,2028.0,EL3U,1529.583334557,New electrified
BFA,2029.0,EL3E,2291.5833351666,Current electrified
BFA,2029.0,EL3U,1612.4444457344002,New electrified
BFA,2030.0,EL3E,2406.6944463698005,Current electrified
BFA,2030.0,EL3U,1695.277779134,New electrified
BWA,2020.0,EL3E,4110.2222255104,Current electrified
BWA,2021.0,EL3E,4001.5833365346,Current electrified
BWA,2021.0,EL3U,508.750000407,New electrified
BWA,2022.0,EL3E,4050.555558796,Current electrified
BWA,2022.0,EL3U,1017.500000814,New electrified
BWA,2023.0,EL3E,4093.6111143860003,Current electrified
BWA,2023.0,EL3U,1526.2500012210003,New electrified
BWA,2024.0,EL3E,4132.1388921946,Current electrified
BWA,2024.0,EL3U,2035.000001628,New electrified
BWA,2025.0,EL3E,4168.6388922238,Current electrified
BWA,2025.0,EL3U,2543.7500020350003,New electrified
BWA,2026.0,EL3E,4273.722225641201,Current electrified
BWA,2026.0,EL3U,3052.5000024420006,New electrified
BWA,2027.0,EL3E,4378.527781280601,Current electrified
BWA,2027.0,EL3U,3152.916669189,New electrified
BWA,2028.0,EL3E,4482.1666702524,Current electrified
BWA,2028.0,EL3U,3253.333335936,New electrified
BWA,2029.0,EL3E,4584.6388925566,Current electrified
BWA,2029.0,EL3U,3353.750002683,New electrified
BWA,2030.0,EL3E,4686.250003749,Current electrified
BWA,2030.0,EL3U,3454.16666943,New electrified
CAF,2020.0,EL3E,144.80555567140001,Current electrified
CAF,2021.0,EL3E,148.47222234100002,Current electrified
CAF,2021.0,EL3U,105.55555564000001,New electrified
CAF,2022.0,EL3E,151.805555677,Current electrified
CAF,2022.0,EL3U,211.11111128000002,New electrified
CAF,2023.0,EL3E,154.77777790160002,Current electrified
CAF,2023.0,EL3U,316.66666692,New electrified
CAF,2024.0,EL3E,157.500000126,Current electrified
CAF,2024.0,EL3U,422.22222256000003,New electrified
CAF,2025.0,EL3E,165.8055556882,Current electrified
CAF,2025.0,EL3U,527.7777782,New electrified
CAF,2026.0,EL3E,174.27777791720004,Current electrified
CAF,2026.0,EL3U,633.33333384,New electrified
CAF,2027.0,EL3E,182.80555570180002,Current electrified
CAF,2027.0,EL3U,662.50000053,New electrified
CAF,2028.0,EL3E,191.4444445976,Current electrified
CAF,2028.0,EL3U,691.6666672200001,New electrified
