Country,Total annual production (GWh),Emissions (Million tonCO2eq),Grid emission factor (gCO2eq/kWh)
AGO,316883.3058090622,68.85962902506526,217.30279810497993
BDI,16696.8333466908,5.230803451372722,313.28116791735437
BEN,61673.805604894595,48.374800515867854,784.36542129044
BFA,51745.611152507605,34.409872451833856,664.9814677117085
BWA,87393.91673658181,169.32042322641541,1937.439464313886
CAF,8053.333339776001,11.896013011111112,1477.153932317173
CIV,263457.2779885436,175.11838471918009,664.6936689552948
CMR,188059.3612615586,83.60719013705608,444.57872012429465
COD,237730.36130129537,212.62762140666374,894.4066725124064
COG,50945.2222629784,35.568942248825394,698.1801367990721
DJI,11449.722231382,5.28688313264885,461.74771979692946
DZA,1452486.5011619893,913.9113674808041,629.2047235892898
EGY,4059480.864358696,2843.160102756277,700.3752937274728
ERI,11147.3055644734,6.840602368888889,613.6552307931679
ETH,600622.8615916095,18.09640488392346,30.12939739917529
GAB,58771.0833803502,28.59152688888889,486.48970283315066
GHA,392786.1392031178,342.9408452331663,873.0981340862045
GIN,79807.41673051262,26.361989231251272,330.3200418110056
GMB,6205.7500049646,5.632058637765844,907.5548697998144
GNB,3309.2222248696003,1.6268264777449901,491.60387764804614
GNQ,43062.50003445,9.287906194444444,215.68432364619144
KEN,499876.97262212384,161.37607780702433,322.8315898620413
LBR,23740.2222412144,20.38889008261537,858.8331598353395
LBY,473235.2503785882,451.1875708601054,953.4107412732998
LSO,31434.0000251472,32.45620295950133,1032.5190218723792
MAR,949204.584092697,937.7782455389984,987.9621961954381
MLI,153249.9167892666,72.87279687051574,475.5160615892723
MOZ,331452.3891540508,337.1996235042152,1017.3395472116908
MRT,47567.9444824988,37.38083872777778,785.840950969217
MWI,91115.694517337,61.33747620000783,673.1823373012523
NAM,141615.694557737,152.89253040942924,1079.6298453141765
NER,48765.1667056788,37.84415534393263,776.0489279640994
NGA,1225241.0843135263,1322.3709383615233,1079.2740753567014
RWA,33404.4722489458,11.472139693845321,343.4312510118272
SDN,430528.44478886726,293.9265582402993,682.7111234994983
SEN,123677.66676560881,130.02180644687033,1051.2957581362268
SLE,30685.2500245482,14.221647956006876,463.46853764038286
SOM,47357.8333712196,18.992978941666667,401.0525311153512
SSD,7814.194450695801,3.591423361111111,459.6025071773482
SWZ,64530.11116273521,137.27332585772385,2127.275521214294
TCD,51302.500041042,3.3178273583333335,64.67184553733388
TGO,50580.972262687,75.03484095114612,1483.4598386417033
TUN,386689.6669760184,317.46369565619324,820.9779644199327
TZA,361790.9447338772,343.0640359060573,948.2383152469588
UGA,156855.1667921508,43.27953043282395,275.92033668979343
ZAF,3484242.0305651715,7331.195347144521,2104.1004852224182
ZMB,289419.2502315354,268.2985279177665,927.023781946528
ZWE,200722.83349391157,353.17844279582596,1759.5329671675781
