r,e,y,AnnualEmissions
REGION,AGOCO2,2015.0,3.7305
REGION,AGOCO2,2016.0,3.8923
REGION,AGOCO2,2017.0,1.0342
REGION,AGOCO2,2018.0,1.0356
REGION,AGOCO2,2019.0,1.0401
REGION,AGOCO2,2020.0,1.043
REGION,AGOCO2,2021.0,1.1275
REGION,AGOCO2,2022.0,2.3039
REGION,AGOCO2,2023.0,1.835
REGION,AGOCO2,2024.0,0.8583
REGION,AGOCO2,2025.0,1.3047
REGION,AGOCO2,2026.0,1.4628
REGION,AGOCO2,2027.0,1.5264
REGION,AGOCO2,2028.0,1.477
REGION,AGOCO2,2029.0,1.4271
REGION,AGOCO2,2030.0,1.3785
REGION,AGOCO2,2031.0,0.8331
REGION,AGOCO2,2032.0,0.5701
REGION,AGOCO2,2033.0,0.443
REGION,AGOCO2,2034.0,0.367
REGION,AGOCO2,2035.0,0.3154
REGION,AGOCO2,2036.0,0.267
REGION,AGOCO2,2037.0,0.2191
REGION,AGOCO2,2038.0,0.1705
REGION,AGOCO2,2039.0,0.1212
REGION,AGOCO2,2040.0,0.0733
REGION,BDICO2,2015.0,0.0054
REGION,BDICO2,2016.0,0.0054
REGION,BDICO2,2017.0,0.0058
REGION,BDICO2,2018.0,0.0059
REGION,BDICO2,2019.0,0.0059
REGION,BDICO2,2020.0,0.0059
REGION,BDICO2,2021.0,0.0057
REGION,BDICO2,2022.0,0.0056
REGION,BDICO2,2023.0,0.0065
REGION,BDICO2,2024.0,0.0255
REGION,BDICO2,2025.0,0.0252
REGION,BDICO2,2026.0,0.0249
REGION,BDICO2,2027.0,0.0243
REGION,BDICO2,2028.0,0.0238
REGION,BDICO2,2029.0,0.0237
REGION,BDICO2,2030.0,0.0236
REGION,BDICO2,2031.0,0.0234
REGION,BDICO2,2032.0,0.0233
REGION,BDICO2,2033.0,0.0231
REGION,BDICO2,2034.0,0.023
REGION,BDICO2,2035.0,0.0229
REGION,BDICO2,2036.0,0.0228
REGION,BDICO2,2037.0,0.0227
REGION,BDICO2,2038.0,0.0224
REGION,BDICO2,2039.0,0.0222
REGION,BDICO2,2040.0,0.022
REGION,BENCO2,2015.0,0.2637
REGION,BENCO2,2016.0,0.2616
REGION,BENCO2,2017.0,0.2638
REGION,BENCO2,2018.0,0.2603
REGION,BENCO2,2019.0,0.5956
REGION,BENCO2,2020.0,0.3024
REGION,BENCO2,2021.0,0.1677
REGION,BENCO2,2022.0,0.1593
REGION,BENCO2,2023.0,0.1537
REGION,BENCO2,2024.0,0.1453
REGION,BENCO2,2025.0,0.1342
REGION,BENCO2,2026.0,0.1446
REGION,BENCO2,2027.0,0.1353
REGION,BENCO2,2028.0,0.1254
REGION,BENCO2,2029.0,0.117
REGION,BENCO2,2030.0,0.1086
REGION,BENCO2,2031.0,0.1002
REGION,BENCO2,2032.0,0.0919
REGION,BENCO2,2033.0,0.0835
REGION,BENCO2,2034.0,0.0751
REGION,BENCO2,2035.0,0.0667
REGION,BENCO2,2036.0,0.0583
REGION,BENCO2,2037.0,0.0499
REGION,BENCO2,2038.0,0.0415
REGION,BENCO2,2039.0,0.0331
REGION,BENCO2,2040.0,0.0247
REGION,BENREN,2015.0,0.0
REGION,BENREN,2016.0,0.0
REGION,BENREN,2017.0,0.0
REGION,BENREN,2018.0,0.0
REGION,BENREN,2019.0,0.0
REGION,BENREN,2020.0,0.0
REGION,BENREN,2021.0,-22.1702
REGION,BENREN,2022.0,-19.3352
REGION,BENREN,2023.0,-39.6613
REGION,BENREN,2024.0,-35.1974
REGION,BENREN,2025.0,-31.424
REGION,BENREN,2026.0,-32.6263
REGION,BENREN,2027.0,-29.6753
