Country,NewCapacity,CapitalInvestment,AvgCapacityCost
AGO,5.30968230654982,14475.791326253568,2726.3008388273606
BDI,0.45395076240794474,1374.0562509483254,3026.8838930014267
BEN,1.0153951374781094,2819.721115257999,2776.969291246767
BFA,0.7757883967392103,2338.7294869209686,3014.648706723514
BWA,2.348382602504383,3754.8866563698266,1598.9245757337444
CAF,0.3105893975100236,793.3603730383622,2554.370430538467
CIV,6.033119220524987,16090.84116863366,2667.0848992825763
CMR,2.3180944676224646,6319.300299665304,2726.0753985348338
COD,5.693987592927411,16190.44384342973,2843.428015814458
COG,1.2398806650688066,3500.6766559300727,2823.39805317942
DJI,0.2041159969086247,651.1053367335066,3189.879022686217
DZA,20.052975817451202,40934.750135723516,2041.3304493241271
EGY,61.10000875,140957.99326264433,2307.0044693347827
ERI,0.2691946225898612,831.1040987868215,3087.372588616203
ETH,11.39387898262057,32448.302030875053,2847.8713948401096
GAB,1.4549797810674099,3805.219816034195,2615.307693995988
GHA,9.734653109534698,25001.190133960306,2568.2671845258315
GIN,2.736933324162049,7769.011994735632,2838.5828496988415
GMB,0.7109996481358174,2029.0393282556029,2853.7838711672744
GNB,0.2001713679475809,582.4449371409462,2909.731512118515
GNQ,1.5992666248743932,2414.9613728151276,1510.043000493929
KEN,9.46065663727832,26305.5298919104,2780.518403792116
LBR,1.252958263198895,3533.653304939406,2820.2482147471765
LBY,11.281584542771741,22764.775590356083,2017.8704067720498
LSO,2.1437292741940706,3671.6467926643427,1712.7380947133302
MAR,23.03265521758026,45023.00762786002,1954.7467368631933
MLI,3.557080734911085,7863.662320694635,2210.7067302455253
MOZ,12.247391467842744,33523.585114561414,2737.2020566650717
MRT,1.0742398431766333,2856.3523320058193,2658.9521419716693
MWI,2.4619744110429442,5436.026896812438,2207.9948810311244
NAM,5.952656939246178,11412.654106563423,1917.2369956882949
NER,2.5540106894315064,4572.318246347211,1790.2502386804642
NGA,34.58843822481322,88567.77822181114,2560.618020569485
RWA,0.5372088369219592,1763.3238166641975,3282.380511027143
SDN,21.92480326745598,54833.262313053565,2500.9694109522598
SEN,1.5773477341224793,4093.453493018418,2595.1496962055203
SLE,1.391571084717899,3830.6403879097315,2752.7450304030162
SOM,2.2766187229500248,5117.796863688791,2247.981540385994
SSD,0.1834599274915987,509.76792999556255,2778.6336611242077
SWZ,5.133689798286471,12505.10451800261,2435.8901704922996
TCD,3.1858124642698935,4877.399872892341,1530.975199448884
TGO,2.386978342441766,4505.005001165574,1887.3254612595968
TUN,13.992716661028629,27860.123664543822,1991.0446512604349
TZA,9.988452613994621,24910.608419005763,2493.940691484486
UGA,2.4815819411329074,4349.813521957976,1752.8389652820297
ZAF,59.78532641818615,152420.05143325156,2549.4558709457306
ZMB,7.319710420618067,19308.251318864946,2637.843604369609
ZWE,2.22,5061.512052555795,2279.9603840341415
