r,t,y,CapitalInvestment
REGION,AGOBACKSTOP,2040,0.0
REGION,AGOBIOCHC01N,2040,0.0
REGION,AGOBIOCHP01N,2017,121.877136
REGION,AGOBIOCHP01N,2040,0.0
REGION,AGOBIOCHP01O,2040,0.0
REGION,AGOBIODIP00X,2040,0.0
REGION,AGOBIOIMP00X,2040,0.0
REGION,AGOBIOPRP00X,2040,0.0
REGION,AGOCO1DIP00X,2040,0.0
REGION,AGOCO1EXP00X,2040,0.0
REGION,AGOCO1IMP00X,2040,0.0
REGION,AGOCO1PRP00X,2040,0.0
REGION,AGOCO1R1P00X,2040,0.0
REGION,AGOCO1R2P00X,2040,0.0
REGION,AGOCO1RCP00X,2040,0.0
REGION,AGOCOADIP00X,2040,0.0
REGION,AGOCOAIMP00X,2040,0.0
REGION,AGOCOAPRP00X,2040,0.0
REGION,AGOCOASCC01N,2040,0.0
REGION,AGOCOASCP01N,2040,0.0
REGION,AGOCOASCP01O,2040,0.0
REGION,AGOEL1TRP00X,2016,25.77276426043242
REGION,AGOEL1TRP00X,2017,15.217148893158264
REGION,AGOEL1TRP00X,2018,45.260891781590026
REGION,AGOEL1TRP00X,2019,53.1913906782727
REGION,AGOEL1TRP00X,2020,43.9411113171782
REGION,AGOEL1TRP00X,2021,91.36474766512703
REGION,AGOEL1TRP00X,2022,144.10190758084596
REGION,AGOEL1TRP00X,2023,147.3926933656902
REGION,AGOEL1TRP00X,2024,148.35643059142186
REGION,AGOEL1TRP00X,2025,149.37908461151522
REGION,AGOEL1TRP00X,2026,154.38373750607622
REGION,AGOEL1TRP00X,2027,85.28068833546871
REGION,AGOEL1TRP00X,2028,87.24433400929836
REGION,AGOEL1TRP00X,2029,88.08766149684665
REGION,AGOEL1TRP00X,2030,31.185233626564454
REGION,AGOEL1TRP00X,2031,35.70794890667663
REGION,AGOEL1TRP00X,2032,37.462185687240655
REGION,AGOEL1TRP00X,2033,39.30275709165325
REGION,AGOEL1TRP00X,2034,79.64965951385594
REGION,AGOEL1TRP00X,2035,98.29676409671858
REGION,AGOEL1TRP00X,2036,102.45235687498527
REGION,AGOEL1TRP00X,2037,105.8723414480684
REGION,AGOEL1TRP00X,2038,109.3978073136368
REGION,AGOEL1TRP00X,2039,113.04306297389758
REGION,AGOEL1TRP00X,2040,116.81932290703693
REGION,AGOEL2DIP00X,2016,167.84491207019664
REGION,AGOEL2DIP00X,2017,99.09490740862365
REGION,AGOEL2DIP00X,2018,294.7414073305786
REGION,AGOEL2DIP00X,2019,346.38525069366204
REGION,AGOEL2DIP00X,2020,286.1469246295948
REGION,AGOEL2DIP00X,2022,208.7960745922784
REGION,AGOEL2DIP00X,2023,301.72936085840627
REGION,AGOEL2DIP00X,2024,310.77371972421855
REGION,AGOEL2DIP00X,2025,320.1843154692308
REGION,AGOEL2DIP00X,2026,355.50861961592153
REGION,AGOEL2DIP00X,2027,353.5632034537937
REGION,AGOEL2DIP00X,2028,367.19236261045836
REGION,AGOEL2DIP00X,2029,373.52069185071537
REGION,AGOEL2DIP00X,2030,3.800285223984308
REGION,AGOEL2DIP00X,2034,250.16540735423357
REGION,AGOEL2DIP00X,2035,358.4015293998659
REGION,AGOEL2DIP00X,2036,371.6186013409483
REGION,AGOEL2DIP00X,2037,379.3637958998548
REGION,AGOEL2DIP00X,2038,387.0807273703414
REGION,AGOEL2DIP00X,2039,394.82730737476084
REGION,AGOEL2DIP00X,2040,402.63955749607965
REGION,AGOEL3DIP00X,2021,663.6897226435814
REGION,AGOEL3DIP00X,2022,660.8859640083977
REGION,AGOEL3DIP00X,2023,658.099934650934
REGION,AGOEL3DIP00X,2024,655.3314854066066
REGION,AGOEL3DIP00X,2025,652.580468676278
REGION,AGOEL3DIP00X,2026,649.846738406524
REGION,AGOEL3DIP00X,2027,201.78931190120994
REGION,AGOEL3DIP00X,2028,200.9475209695445
REGION,AGOEL3DIP00X,2029,200.11098653792956
REGION,AGOEL3DIP00X,2030,199.27966493212853
REGION,AGOEL3DIP00X,2031,232.5321198802179
REGION,AGOEL3DIP00X,2032,243.9558059178141
REGION,AGOEL3DIP00X,2033,255.94170775657818
REGION,AGOEL3DIP00X,2034,268.51753976490124
REGION,AGOEL3DIP00X,2035,281.7123845220279
REGION,AGOEL3DIP00X,2036,295.5567604567289
REGION,AGOEL3DIP00X,2037,310.08269283415626
REGION,AGOEL3DIP00X,2038,325.32378825646504
REGION,AGOEL3DIP00X,2039,341.31531285169325
REGION,AGOEL3DIP00X,2040,358.0942743333379
REGION,AGOEL4DIP00X,2040,0.0
REGION,AGOELCODBP00,2019,89.04396314619046
REGION,AGOELCODBP00,2020,71.98239000248027
REGION,AGOELCODBP00,2040,0.0
REGION,AGOGEOCVP01N,2040,0.0
REGION,AGOGEOCVP01O,2040,0.0
REGION,AGOHFODIP00X,2040,0.0
REGION,AGOHFOEMP00X,2040,0.0
REGION,AGOHFOGCP01N,2040,0.0
REGION,AGOHFOGCP01O,2040,0.0
REGION,AGOHFOIMP00X,2040,0.0
REGION,AGOHYDLSP00X,2017,6828.2940902400005
REGION,AGOHYDLSP00X,2018,999.9593855999999
REGION,AGOHYDLSP00X,2024,6199.74819072
REGION,AGOHYDLSP00X,2026,21.126039511823844
REGION,AGOHYDLSP00X,2027,856.6390708697078
REGION,AGOHYDLSP00X,2028,1231.9465235521827
REGION,AGOHYDLSP00X,2029,1428.513408
REGION,AGOHYDLSP00X,2031,1428.513408
REGION,AGOHYDLSP00X,2032,1177.6425093423998
REGION,AGOHYDLSP00X,2033,1220.0372096592705
REGION,AGOHYDLSP00X,2034,1408.3746628991369
REGION,AGOHYDLSP00X,2035,1428.513408
REGION,AGOHYDLSP00X,2036,1428.513408
REGION,AGOHYDLSP00X,2037,1428.513408
REGION,AGOHYDLSP00X,2038,1428.513408
REGION,AGOHYDLSP00X,2039,1020.9102773674039
REGION,AGOHYDLSP00X,2040,1428.513408
REGION,AGOHYDMGRID1,2040,0.0
REGION,AGOHYDMSP00X,2016,362.44242187776
REGION,AGOHYDMSP00X,2023,1428.513408
REGION,AGOHYDMSP00X,2024,257.06977540094806
REGION,AGOHYDMSP00X,2026,1428.513408
REGION,AGOHYDMSP00X,2028,185.94700654368108
REGION,AGOHYDMSP00X,2029,200.82038973554788
REGION,AGOHYDMSP00X,2030,502.5541059196768
REGION,AGOHYDMSP00X,2031,229.82285402848152
REGION,AGOHYDMSP00X,2035,86.72628867431966
REGION,AGOHYDMSP00X,2036,149.9893740253565
REGION,AGOHYDMSP00X,2037,385.5244989450117
REGION,AGOHYDMSP00X,2038,2.1109555481617623
REGION,AGOHYDMSP00X,2040,448.4489020922538
REGION,AGOHYDSSP00X,2018,96.9756530688
REGION,AGOHYDSSP00X,2040,0.0
REGION,AGOLFODIP00X,2040,0.0
REGION,AGOLFOEMP00X,2040,0.0
REGION,AGOLFOIMP00X,2040,0.0
REGION,AGOLFOMGRID1,2040,0.0
REGION,AGOLFORCP00X,2016,1.3936731837038905
REGION,AGOLFORCP00X,2018,0.4330142654232122
REGION,AGOLFORCP00X,2040,0.0
REGION,AGOLFORCP01N,2017,27.433728000000002
REGION,AGOLFORCP01N,2040,0.0
REGION,AGOLFORCP01O,2040,0.0
REGION,AGOLFOSALON1,2040,0.0
REGION,AGOLNGEXP00X,2039,349.5999999999997
REGION,AGOLNGEXP00X,2040,0.0
REGION,AGOLNGIMP00X,2040,0.0
REGION,AGONGACCC01N,2040,0.0
REGION,AGONGACCP01N,2017,202.813632
REGION,AGONGACCP01N,2018,458.535168
REGION,AGONGACCP01N,2040,0.0
REGION,AGONGACCP01O,2040,0.0
REGION,AGONGADIP00X,2040,0.0
REGION,AGONGAGCP01N,2040,0.0
REGION,AGONGAGCP01O,2040,0.0
REGION,AGONGAPRP00X,2040,0.0
REGION,AGONGGCP01N,2040,0.0
REGION,AGONGGCP01O,2040,0.0
REGION,AGOSOLARP00X,2040,0.0
REGION,AGOSOLCNP01X,2040,0.0
REGION,AGOSOLCSP01X,2040,0.0
REGION,AGOSOLMGRID1,2040,0.0
REGION,AGOSOLPRP00X,2015,2.376
REGION,AGOSOLPRP00X,2030,734.4
REGION,AGOSOLPRP00X,2031,782.3929160209236
REGION,AGOSOLPRP00X,2032,789.7396136307466
REGION,AGOSOLPRP00X,2033,796.3705939057714
REGION,AGOSOLPRP00X,2034,349.30112400263124
REGION,AGOSOLPRP00X,2035,170.3413854471662
REGION,AGOSOLPRP00X,2036,172.1101440938344
REGION,AGOSOLPRP00X,2037,172.53326872721337
REGION,AGOSOLPRP00X,2038,172.81589791255837
REGION,AGOSOLPRP00X,2039,172.98399403991053
REGION,AGOSOLPRP00X,2040,172.31351830673654
REGION,AGOSOLPRSAL1,2040,0.0
REGION,AGOSOLPRSAL2,2040,0.0
REGION,AGOSOLPRSAL3,2040,0.0
REGION,AGOSOLPRSAL4,2040,0.0
REGION,AGOSOLPRSAL5,2040,0.0
REGION,AGOSOLPSP00X,2040,0.0
REGION,AGOSOLPUP00X,2040,0.0
REGION,AGOURNIMP00X,2040,0.0
REGION,AGOURNPRP00X,2040,0.0
REGION,AGOURNPWP01N,2040,0.0
REGION,AGOURNPWP01O,2040,0.0
REGION,AGOWINMGRID1,2040,0.0
REGION,AGOWINOFP00X,2040,0.0
REGION,AGOWINONP00X,2040,0.0
REGION,AGOWINPRP00X,2040,0.0
REGION,BDIBACKSTOP,2040,0.0
REGION,BDIBIOCHC01N,2040,0.0
REGION,BDIBIOCHP01N,2040,0.0
REGION,BDIBIOCHP01O,2040,0.0
REGION,BDIBIODIP00X,2040,0.0
REGION,BDIBIOEMP00X,2040,0.0
REGION,BDIBIOIMP00X,2040,0.0
REGION,BDIBIOPRP00X,2040,0.0
REGION,BDICO1DIP00X,2040,0.0
REGION,BDICO1IMP00X,2040,0.0
REGION,BDICO1PRP00X,2040,0.0
REGION,BDICO1R1P00X,2040,0.0
REGION,BDICO1R2P00X,2040,0.0
REGION,BDICO1RCP00X,2040,0.0
REGION,BDICOADIP00X,2040,0.0
REGION,BDICOAIMP00X,2040,0.0
REGION,BDICOAPRP00X,2040,0.0
REGION,BDICOASCC01N,2040,0.0
REGION,BDICOASCP01N,2040,0.0
REGION,BDICOASCP01O,2040,0.0
REGION,BDIEL1TRP00X,2017,0.08204842477782576
REGION,BDIEL1TRP00X,2018,2.810336974622674
REGION,BDIEL1TRP00X,2019,0.7396430777304308
REGION,BDIEL1TRP00X,2020,0.08237715848943837
REGION,BDIEL1TRP00X,2021,12.628696860453937
REGION,BDIEL1TRP00X,2022,12.598615284033517
REGION,BDIEL1TRP00X,2023,12.560093426859153
REGION,BDIEL1TRP00X,2024,12.528403297088381
REGION,BDIEL1TRP00X,2025,13.169516332055988
REGION,BDIEL1TRP00X,2026,13.182639034104703
REGION,BDIEL1TRP00X,2027,6.398944460478168
REGION,BDIEL1TRP00X,2028,5.131021581958903
REGION,BDIEL1TRP00X,2029,5.131021581958739
REGION,BDIEL1TRP00X,2030,5.1310215819588825
REGION,BDIEL1TRP00X,2031,4.2056196487166435
REGION,BDIEL1TRP00X,2032,4.394071921076329
REGION,BDIEL1TRP00X,2033,4.543428595561675
REGION,BDIEL1TRP00X,2034,4.682079360988387
REGION,BDIEL1TRP00X,2035,4.876856436156556
REGION,BDIEL1TRP00X,2036,5.101378905524722
REGION,BDIEL1TRP00X,2037,5.335854228531239
REGION,BDIEL1TRP00X,2038,5.5807899561525165
REGION,BDIEL1TRP00X,2039,5.836758387327802
REGION,BDIEL1TRP00X,2040,4.943742310220606
REGION,BDIEL2DIP00X,2017,0.5343038379572962
REGION,BDIEL2DIP00X,2018,18.301068369810075
REGION,BDIEL2DIP00X,2019,4.816596250568386
REGION,BDIEL2DIP00X,2020,0.536444569900128
REGION,BDIEL2DIP00X,2021,2.6493313362050785
REGION,BDIEL2DIP00X,2022,2.4534384622496357
REGION,BDIEL2DIP00X,2023,2.202582017544069
REGION,BDIEL2DIP00X,2024,1.996214156030433
REGION,BDIEL2DIP00X,2025,6.171177369221788
REGION,BDIEL2DIP00X,2026,6.256633124015137
REGION,BDIEL2DIP00X,2027,8.256783260143699
REGION,BDIEL2DIP00X,2040,0.0
REGION,BDIEL3DIP00X,2021,79.58943460246044
REGION,BDIEL3DIP00X,2022,79.58943460246063
REGION,BDIEL3DIP00X,2023,79.5894346024601
REGION,BDIEL3DIP00X,2024,79.58943460246098
REGION,BDIEL3DIP00X,2025,79.5894346024601
REGION,BDIEL3DIP00X,2026,79.58943460246006
REGION,BDIEL3DIP00X,2027,33.41349369358384
REGION,BDIEL3DIP00X,2028,33.41349369358384
REGION,BDIEL3DIP00X,2029,33.41349369358285
REGION,BDIEL3DIP00X,2030,33.41349369358384
REGION,BDIEL3DIP00X,2031,27.387225597354945
REGION,BDIEL3DIP00X,2032,28.614437121113255
REGION,BDIEL3DIP00X,2033,29.89663954267894
REGION,BDIEL3DIP00X,2034,31.23629698399185
REGION,BDIEL3DIP00X,2035,32.635983983393
REGION,BDIEL3DIP00X,2036,34.09839044334151
REGION,BDIEL3DIP00X,2037,35.62632679983402
REGION,BDIEL3DIP00X,2038,37.22272942347685
REGION,BDIEL3DIP00X,2039,38.89066626256505
REGION,BDIEL3DIP00X,2040,40.6333427390222
REGION,BDIEL4DIP00X,2040,0.0
REGION,BDIELRWABP00,2040,0.0
REGION,BDIGEOCVP01N,2024,406.78619904000004
