Country,Total discounted costs (Million USD),Total discounted electricity (GWh),LCOE (USD/kWh)
AGO,7517.7787840598485,209546.38690759256,0.035876441942065546
BDI,396.1730137529622,12846.40533382977,0.03083921170614777
BEN,2266.0593676854965,39513.208308642104,0.05734941465610822
BFA,4284.02015353194,35600.693242263354,0.12033530146110095
BWA,7576.458383386269,57342.12259355842,0.1321272746927819
CAF,326.4714019887855,5078.918295120877,0.06427971135161085
CIV,12069.90990743838,180279.92258160128,0.06695093793361874
CMR,6107.175711532385,123328.76251448246,0.04951947613043812
COD,4691.294859562009,182370.94457463908,0.0257239160026503
COG,2512.2678652679956,32581.624330530925,0.07710689435805233
DJI,634.956025110447,7446.598749844467,0.08526792518849077
DZA,125349.66149940174,980058.4597910874,0.12790018824603758
EGY,305999.6736377314,2692203.777643434,0.11366140861208583
ERI,909.2694043143596,7210.76718489012,0.1260988437152288
ETH,8265.786420608561,379158.831853237,0.021800326739607752
GAB,2646.856230288704,39783.36845860656,0.06653172752434679
GHA,19325.28759133685,262558.30909002584,0.07360379360422606
GIN,2632.7646718433098,71026.54771865714,0.037067332658092006
GMB,741.222507441845,15682.742288027857,0.047263577621095725
GNB,261.21884655598984,3016.5041072169684,0.08659654927405047
GNQ,1447.6633554246282,28540.06691901291,0.0507238949205203
KEN,10666.336937417327,301851.60236779606,0.035336360164226505
LBR,1668.9360483195665,31498.342399561636,0.052984884955177614
LBY,46959.200858539545,305523.95792314206,0.15370055159586749
LSO,1509.9009657495706,20343.87402376708,0.0742189498413922
MAR,77727.43375663133,622577.754023216,0.12484775315909034
MLI,9494.664173260739,104663.31233748057,0.09071625922410867
MOZ,18630.424917379565,403112.59551161114,0.046216429664607046
MRT,2880.4517788740736,26659.064653897793,0.10804774346998426
MWI,2302.38451205026,56697.27798032429,0.04060837828668351
NAM,6029.296326858912,93646.14761594262,0.06438381588942656
NER,2204.4790205553836,29280.946465181023,0.07528715040604324
NGA,54639.29683635611,769050.6259716954,0.0710477242864465
RWA,1708.169365837004,33700.27474460103,0.050687105039422926
SDN,24352.26643617179,414817.36134689656,0.058705996193362996
SEN,7035.246438392272,81897.60135177994,0.08590296079824528
SLE,1288.5198005544148,25984.552319587197,0.049587916109030926
SOM,1680.5369936584784,29356.220725286636,0.05724636728224728
SSD,445.507498848738,5241.630078878012,0.08499407477150703
SWZ,6067.435688501909,122218.85972748071,0.04964402140578682
TCD,2198.377833045677,64179.954402744246,0.034253340525148106
TGO,2017.8772518370333,32813.17844392538,0.06149593997074665
TUN,30517.620942299473,250268.39422446024,0.12193957226148536
TZA,13940.99709910194,253878.2160482223,0.05491214376760056
UGA,4319.164534421804,99660.0904889122,0.04333895858645982
ZAF,271061.39274344523,2279536.110904127,0.11891076936523494
ZMB,9826.327135868523,264412.85437734507,0.037162819330429815
ZWE,7747.373919433486,114938.45913295377,0.06740453959341666
