Country,Total discounted costs (Million USD),Total discounted electricity (GWh),LCOE (USD/kWh)
AGO,4479.417839166777,184829.94401071704,0.024235347054517565
BDI,198.69573044821928,6414.459421938098,0.03097622377478293
BEN,1668.89951967329,32621.304776888086,0.05115980280640678
BFA,2535.056555055669,30741.709281842584,0.08246309701955921
BWA,2836.8097708145956,51259.52275855311,0.055342102660158855
CAF,182.35176405238943,2815.3228351880834,0.06477117358379507
CIV,7315.476980123583,141293.60463628432,0.051775004247042636
CMR,4379.403220755136,94979.22387149966,0.046109065143342995
COD,2724.595105182681,124193.48564311878,0.021938309333003597
COG,1382.051678381396,25766.352742187708,0.05363784669913869
DJI,350.9600683932922,6880.319379807093,0.05100926992187567
DZA,61353.415805266624,987546.5582010805,0.062127112180946985
EGY,165699.21398337747,2693208.513998735,0.061524836685354134
ERI,319.6301985061145,5159.259242465223,0.061952730708951
ETH,7486.996961350174,331616.72551134945,0.022577259786294872
GAB,1753.8122662354217,37121.435974486936,0.04724527002244184
GHA,9829.86437703169,204516.9910963899,0.0480638030333569
GIN,1674.1313029372102,53053.81539763117,0.03155534225747616
GMB,216.86401874623255,3235.667792357487,0.0670229555884743
GNB,143.84430666991713,1815.5793927682428,0.07922777006771124
GNQ,1161.1026637125917,27514.152498388707,0.042200197290488545
KEN,8778.928546215098,262829.751862284,0.033401578337352876
LBR,695.076585304269,12802.257949588957,0.054293280766662406
LBY,23486.902774214424,317200.3225629426,0.07404438489987311
LSO,906.6463838171109,17179.457476434218,0.052775030006669055
MAR,42407.974810498396,623228.5777206786,0.06804561973970485
MLI,6529.865842333891,96490.83741183017,0.0676734290787003
MOZ,7225.198715436634,173050.09248543408,0.041752065033104746
MRT,1862.9831736638873,29907.628442054025,0.06229123707596588
MWI,2415.8000972246473,47200.58808044674,0.051181567761555365
NAM,4446.223094569671,88426.11425502911,0.050281787592139936
NER,1185.3253812499088,23166.002421928693,0.051166591441253254
NGA,30334.22148402952,609950.6904574793,0.04973225206332342
RWA,782.0466187926901,24274.305503923235,0.0322170543114527
SDN,12929.605238951863,262232.58706118,0.04930586767973017
SEN,4196.939267777255,72806.37509782825,0.05764521667419816
SLE,632.3389542386482,12025.068698114927,0.052585059604505616
SOM,744.7514955322629,12233.500369326322,0.06087803760562399
SSD,286.09978611326704,4845.291033030084,0.05904697657229266
SWZ,1730.558487995176,34869.30837537546,0.04962984838601755
TCD,561.3656397412929,18496.860265151718,0.03034923936787865
TGO,1035.9973320441732,21054.43595959539,0.0492056559497632
TUN,17296.027093636407,260971.86838072125,0.06627544647227622
TZA,7332.957425629098,169499.92469674168,0.04326230491694171
UGA,1613.0210698982721,66075.62131522452,0.024411742754609788
ZAF,87253.77255524845,2210660.7104747947,0.03946954507392883
ZMB,5838.005881843906,179038.54516080586,0.03260753641960407
ZWE,3742.65655214731,110201.05117643246,0.033962076697029844
