r,t,y,NewCapacity
REGION,AGOBIOCHC01N,2040,0.0
REGION,AGOBIOCHP01N,2017,0.045
REGION,AGOBIOCHP01N,2040,0.0
REGION,AGOBIOCHP01O,2040,0.0
REGION,AGOBIODIP00X,2015,99999.0
REGION,AGOBIODIP00X,2016,99999.0
REGION,AGOBIODIP00X,2017,99999.0
REGION,AGOBIODIP00X,2018,99999.0
REGION,AGOBIODIP00X,2019,99999.0
REGION,AGOBIODIP00X,2020,99999.0
REGION,AGOBIODIP00X,2021,99999.0
REGION,AGOBIODIP00X,2022,99999.0
REGION,AGOBIODIP00X,2023,99999.0
REGION,AGOBIODIP00X,2024,99999.0
REGION,AGOBIODIP00X,2025,99999.0
REGION,AGOBIODIP00X,2026,99999.0
REGION,AGOBIODIP00X,2027,99999.0
REGION,AGOBIODIP00X,2028,99999.0
REGION,AGOBIODIP00X,2029,99999.0
REGION,AGOBIODIP00X,2030,99999.0
REGION,AGOBIODIP00X,2031,99999.0
REGION,AGOBIODIP00X,2032,99999.0
REGION,AGOBIODIP00X,2033,99999.0
REGION,AGOBIODIP00X,2034,99999.0
REGION,AGOBIODIP00X,2035,99999.0
REGION,AGOBIODIP00X,2036,99999.0
REGION,AGOBIODIP00X,2037,99999.0
REGION,AGOBIODIP00X,2038,99999.0
REGION,AGOBIODIP00X,2039,99999.0
REGION,AGOBIODIP00X,2040,99999.0
REGION,AGOBIOIMP00X,2015,99999.0
REGION,AGOBIOIMP00X,2016,99999.0
REGION,AGOBIOIMP00X,2017,99999.0
REGION,AGOBIOIMP00X,2018,99999.0
REGION,AGOBIOIMP00X,2019,99999.0
REGION,AGOBIOIMP00X,2020,99999.0
REGION,AGOBIOIMP00X,2021,99999.0
REGION,AGOBIOIMP00X,2022,99999.0
REGION,AGOBIOIMP00X,2023,99999.0
REGION,AGOBIOIMP00X,2024,99999.0
REGION,AGOBIOIMP00X,2025,99999.0
REGION,AGOBIOIMP00X,2026,99999.0
REGION,AGOBIOIMP00X,2027,99999.0
REGION,AGOBIOIMP00X,2028,99999.0
REGION,AGOBIOIMP00X,2029,99999.0
REGION,AGOBIOIMP00X,2030,99999.0
REGION,AGOBIOIMP00X,2031,99999.0
REGION,AGOBIOIMP00X,2032,99999.0
REGION,AGOBIOIMP00X,2033,99999.0
REGION,AGOBIOIMP00X,2034,99999.0
REGION,AGOBIOIMP00X,2035,99999.0
REGION,AGOBIOIMP00X,2036,99999.0
REGION,AGOBIOIMP00X,2037,99999.0
REGION,AGOBIOIMP00X,2038,99999.0
REGION,AGOBIOIMP00X,2039,99999.0
REGION,AGOBIOIMP00X,2040,99999.0
REGION,AGOBIOPRP00X,2015,99999.0
REGION,AGOBIOPRP00X,2016,99999.0
REGION,AGOBIOPRP00X,2017,99999.0
REGION,AGOBIOPRP00X,2018,99999.0
REGION,AGOBIOPRP00X,2019,99999.0
REGION,AGOBIOPRP00X,2020,99999.0
REGION,AGOBIOPRP00X,2021,99999.0
REGION,AGOBIOPRP00X,2022,99999.0
REGION,AGOBIOPRP00X,2023,99999.0
REGION,AGOBIOPRP00X,2024,99999.0
REGION,AGOBIOPRP00X,2025,99999.0
REGION,AGOBIOPRP00X,2026,99999.0
REGION,AGOBIOPRP00X,2027,99999.0
REGION,AGOBIOPRP00X,2028,99999.0
REGION,AGOBIOPRP00X,2029,99999.0
REGION,AGOBIOPRP00X,2030,99999.0
REGION,AGOBIOPRP00X,2031,99999.0
REGION,AGOBIOPRP00X,2032,99999.0
REGION,AGOBIOPRP00X,2033,99999.0
REGION,AGOBIOPRP00X,2034,99999.0
REGION,AGOBIOPRP00X,2035,99999.0
REGION,AGOBIOPRP00X,2036,99999.0
REGION,AGOBIOPRP00X,2037,99999.0
REGION,AGOBIOPRP00X,2038,99999.0
REGION,AGOBIOPRP00X,2039,99999.0
REGION,AGOBIOPRP00X,2040,99999.0
REGION,AGOCO1DIP00X,2015,99999.0
REGION,AGOCO1DIP00X,2016,99999.0
REGION,AGOCO1DIP00X,2017,99999.0
REGION,AGOCO1DIP00X,2018,99999.0
REGION,AGOCO1DIP00X,2019,99999.0
REGION,AGOCO1DIP00X,2020,99999.0
REGION,AGOCO1DIP00X,2021,99999.0
REGION,AGOCO1DIP00X,2022,99999.0
REGION,AGOCO1DIP00X,2023,99999.0
REGION,AGOCO1DIP00X,2024,99999.0
REGION,AGOCO1DIP00X,2025,99999.0
REGION,AGOCO1DIP00X,2026,99999.0
REGION,AGOCO1DIP00X,2027,99999.0
REGION,AGOCO1DIP00X,2028,99999.0
REGION,AGOCO1DIP00X,2029,99999.0
REGION,AGOCO1DIP00X,2030,99999.0
REGION,AGOCO1DIP00X,2031,99999.0
REGION,AGOCO1DIP00X,2032,99999.0
REGION,AGOCO1DIP00X,2033,99999.0
REGION,AGOCO1DIP00X,2034,99999.0
REGION,AGOCO1DIP00X,2035,99999.0
REGION,AGOCO1DIP00X,2036,99999.0
REGION,AGOCO1DIP00X,2037,99999.0
REGION,AGOCO1DIP00X,2038,99999.0
REGION,AGOCO1DIP00X,2039,99999.0
REGION,AGOCO1DIP00X,2040,99999.0
REGION,AGOCO1EXP00X,2015,99999.0
