r,t,y,CapitalInvestment
REGION,AGOBACKSTOP,2040,0.0
REGION,AGOBIOCHC01N,2040,0.0
REGION,AGOBIOCHP01N,2017,121.877136
REGION,AGOBIOCHP01N,2040,0.0
REGION,AGOBIOCHP01O,2040,0.0
REGION,AGOBIODIP00X,2040,0.0
REGION,AGOBIOIMP00X,2040,0.0
REGION,AGOBIOPRP00X,2040,0.0
REGION,AGOCO1DIP00X,2040,0.0
REGION,AGOCO1EXP00X,2040,0.0
REGION,AGOCO1IMP00X,2040,0.0
REGION,AGOCO1PRP00X,2040,0.0
REGION,AGOCO1R1P00X,2040,0.0
REGION,AGOCO1R2P00X,2040,0.0
REGION,AGOCO1RCP00X,2040,0.0
REGION,AGOCOADIP00X,2040,0.0
REGION,AGOCOAIMP00X,2040,0.0
REGION,AGOCOAPRP00X,2040,0.0
REGION,AGOCOASCC01N,2040,0.0
REGION,AGOCOASCP01N,2040,0.0
REGION,AGOCOASCP01O,2040,0.0
REGION,AGOEL1TRP00X,2016,25.77276426043242
REGION,AGOEL1TRP00X,2017,15.217148893158264
REGION,AGOEL1TRP00X,2018,45.260891781590026
REGION,AGOEL1TRP00X,2019,53.1913906782727
REGION,AGOEL1TRP00X,2020,44.03250226813483
REGION,AGOEL1TRP00X,2021,60.788814281351414
REGION,AGOEL1TRP00X,2022,113.83733320043451
REGION,AGOEL1TRP00X,2023,117.16479850889885
REGION,AGOEL1TRP00X,2024,118.25569614889409
REGION,AGOEL1TRP00X,2025,119.40470987366695
REGION,AGOEL1TRP00X,2026,124.53492847184702
REGION,AGOEL1TRP00X,2027,76.15922443044416
REGION,AGOEL1TRP00X,2028,78.07034452870616
REGION,AGOEL1TRP00X,2029,79.04216314163308
REGION,AGOEL1TRP00X,2030,22.1773130093263
REGION,AGOEL1TRP00X,2031,25.05599344266136
REGION,AGOEL1TRP00X,2032,26.286927915699554
REGION,AGOEL1TRP00X,2033,27.578442731077857
REGION,AGOEL1TRP00X,2034,67.34926472815467
REGION,AGOEL1TRP00X,2035,85.39193281949277
REGION,AGOEL1TRP00X,2036,88.91333503535412
REGION,AGOEL1TRP00X,2037,91.66790794472074
REGION,AGOEL1TRP00X,2038,94.49520157608609
REGION,AGOEL1TRP00X,2039,97.40790894203433
REGION,AGOEL1TRP00X,2040,100.415549251672
REGION,AGOEL2DIP00X,2016,167.84491207019664
REGION,AGOEL2DIP00X,2017,99.09490740862365
REGION,AGOEL2DIP00X,2018,294.7414073305786
REGION,AGOEL2DIP00X,2019,346.38525069366204
REGION,AGOEL2DIP00X,2020,286.7420675099444
REGION,AGOEL2DIP00X,2022,208.79474019120138
REGION,AGOEL2DIP00X,2023,301.72869589930326
REGION,AGOEL2DIP00X,2024,310.77305625272044
REGION,AGOEL2DIP00X,2025,320.18365348034814
REGION,AGOEL2DIP00X,2026,355.50795910469424
REGION,AGOEL2DIP00X,2027,353.56254441527875
REGION,AGOEL2DIP00X,2028,366.60186410041194
REGION,AGOEL2DIP00X,2029,373.5206918507152
REGION,AGOEL2DIP00X,2030,3.800285223984308
REGION,AGOEL2DIP00X,2034,250.16540735423467
REGION,AGOEL2DIP00X,2035,358.4015293998648
REGION,AGOEL2DIP00X,2036,371.61860134094775
REGION,AGOEL2DIP00X,2037,379.363795899854
REGION,AGOEL2DIP00X,2038,387.080727370345
REGION,AGOEL2DIP00X,2039,394.8273073747597
REGION,AGOEL2DIP00X,2040,402.6395574960808
REGION,AGOEL3DIP00X,2021,465.17271193517655
REGION,AGOEL3DIP00X,2022,463.20758883104327
REGION,AGOEL3DIP00X,2023,461.25489197960707
REGION,AGOEL3DIP00X,2024,459.3145168330511
REGION,AGOEL3DIP00X,2025,457.38635994080073
REGION,AGOEL3DIP00X,2026,455.4703189356702
REGION,AGOEL3DIP00X,2027,142.3904981839621
REGION,AGOEL3DIP00X,2028,141.79649729762212
REGION,AGOEL3DIP00X,2029,141.20620560503076
REGION,AGOEL3DIP00X,2030,140.61959228798352
REGION,AGOEL3DIP00X,2031,163.16600222976
REGION,AGOEL3DIP00X,2032,171.18191496664457
REGION,AGOEL3DIP00X,2033,179.59233021232632
REGION,AGOEL3DIP00X,2034,188.4166949261776
REGION,AGOEL3DIP00X,2035,197.67541613069116
REGION,AGOEL3DIP00X,2036,207.3899083728431
REGION,AGOEL3DIP00X,2037,217.58264353523194
REGION,AGOEL3DIP00X,2038,228.27720311238244
REGION,AGOEL3DIP00X,2039,239.49833307544645
REGION,AGOEL3DIP00X,2040,251.2720014526797
REGION,AGOEL4DIP00X,2040,0.0
REGION,AGOELCODBP00,2019,89.07993051737343
REGION,AGOELCODBP00,2020,15.711189343446131
REGION,AGOELCODBP00,2021,38.41894167574403
REGION,AGOELCODBP00,2040,0.0
REGION,AGOGEOCVP01N,2040,0.0
REGION,AGOGEOCVP01O,2040,0.0
REGION,AGOHFODIP00X,2040,0.0
REGION,AGOHFOEMP00X,2040,0.0
REGION,AGOHFOGCP01N,2040,0.0
REGION,AGOHFOGCP01O,2040,0.0
REGION,AGOHFOIMP00X,2040,0.0
REGION,AGOHYDLSP00X,2017,6828.2940902400005
REGION,AGOHYDLSP00X,2018,999.9593855999999
REGION,AGOHYDLSP00X,2024,6199.74819072
REGION,AGOHYDLSP00X,2030,1172.0703266409444
REGION,AGOHYDLSP00X,2032,1234.8610403065532
REGION,AGOHYDLSP00X,2033,1428.513408
REGION,AGOHYDLSP00X,2034,1237.1976129221398
REGION,AGOHYDLSP00X,2035,1335.6510747664643
REGION,AGOHYDLSP00X,2036,1390.0885190314646
REGION,AGOHYDLSP00X,2037,1382.8760267831394
REGION,AGOHYDLSP00X,2038,1428.513408
REGION,AGOHYDLSP00X,2039,1428.513408
REGION,AGOHYDLSP00X,2040,1428.513408
REGION,AGOHYDMGRID1,2040,0.0
REGION,AGOHYDMSP00X,2016,362.44242187776
REGION,AGOHYDMSP00X,2026,903.5548980703596
REGION,AGOHYDMSP00X,2027,1059.1304120160542
REGION,AGOHYDMSP00X,2028,340.56967214163006
REGION,AGOHYDMSP00X,2029,1035.5561234729978
REGION,AGOHYDMSP00X,2031,772.5567789145596
REGION,AGOHYDMSP00X,2033,160.5981747239411
REGION,AGOHYDMSP00X,2038,69.92197212889435
REGION,AGOHYDMSP00X,2039,71.59597569940291
REGION,AGOHYDMSP00X,2040,116.47725819782842
REGION,AGOHYDSSP00X,2018,96.9756530688
REGION,AGOHYDSSP00X,2040,0.0
REGION,AGOLFODIP00X,2040,0.0
REGION,AGOLFOEMP00X,2040,0.0
REGION,AGOLFOIMP00X,2040,0.0
REGION,AGOLFOMGRID1,2040,0.0
REGION,AGOLFORCP00X,2016,1.3936731837038905
REGION,AGOLFORCP00X,2018,0.3632196221434443
REGION,AGOLFORCP00X,2040,0.0
REGION,AGOLFORCP01N,2017,27.433728000000002
REGION,AGOLFORCP01N,2040,0.0
REGION,AGOLFORCP01O,2040,0.0
REGION,AGOLFOSALON1,2040,0.0
REGION,AGOLNGEXP00X,2039,349.5999999999997
REGION,AGOLNGEXP00X,2040,0.0
REGION,AGOLNGIMP00X,2040,0.0
REGION,AGONGACCC01N,2040,0.0
REGION,AGONGACCP01N,2017,202.813632
REGION,AGONGACCP01N,2018,458.535168
REGION,AGONGACCP01N,2040,0.0
REGION,AGONGACCP01O,2040,0.0
REGION,AGONGADIP00X,2040,0.0
REGION,AGONGAGCP01N,2040,0.0
REGION,AGONGAGCP01O,2040,0.0
REGION,AGONGAPRP00X,2040,0.0
REGION,AGONGGCP01N,2040,0.0
REGION,AGONGGCP01O,2040,0.0
REGION,AGOSOLARP00X,2040,0.0
REGION,AGOSOLCNP01X,2040,0.0
REGION,AGOSOLCSP01X,2040,0.0
REGION,AGOSOLMGRID1,2040,0.0
REGION,AGOSOLPRP00X,2015,2.376
REGION,AGOSOLPRP00X,2030,734.4
REGION,AGOSOLPRP00X,2031,782.3929160209296
REGION,AGOSOLPRP00X,2032,789.7396136307415
REGION,AGOSOLPRP00X,2033,796.370593905771
REGION,AGOSOLPRP00X,2034,349.3011240026263
REGION,AGOSOLPRP00X,2035,170.34138544716885
REGION,AGOSOLPRP00X,2036,172.11014409383696
REGION,AGOSOLPRP00X,2037,172.5332687272107
REGION,AGOSOLPRP00X,2038,172.81589791253592
REGION,AGOSOLPRP00X,2039,172.98399403993463
REGION,AGOSOLPRP00X,2040,172.31351830671795
REGION,AGOSOLPRSAL1,2040,0.0
REGION,AGOSOLPRSAL2,2040,0.0
REGION,AGOSOLPRSAL3,2040,0.0
REGION,AGOSOLPRSAL4,2040,0.0
REGION,AGOSOLPRSAL5,2040,0.0
REGION,AGOSOLPSP00X,2040,0.0
REGION,AGOSOLPUP00X,2040,0.0
REGION,AGOURNIMP00X,2040,0.0
REGION,AGOURNPRP00X,2040,0.0
REGION,AGOURNPWP01N,2040,0.0
REGION,AGOURNPWP01O,2040,0.0
REGION,AGOWINMGRID1,2040,0.0
REGION,AGOWINOFP00X,2040,0.0
REGION,AGOWINONP00X,2040,0.0
REGION,AGOWINPRP00X,2040,0.0
REGION,BDIBACKSTOP,2040,0.0
REGION,BDIBIOCHC01N,2040,0.0
REGION,BDIBIOCHP01N,2040,0.0
REGION,BDIBIOCHP01O,2040,0.0
REGION,BDIBIODIP00X,2040,0.0
REGION,BDIBIOEMP00X,2040,0.0
REGION,BDIBIOIMP00X,2040,0.0
REGION,BDIBIOPRP00X,2040,0.0
REGION,BDICO1DIP00X,2040,0.0
REGION,BDICO1IMP00X,2040,0.0
REGION,BDICO1PRP00X,2040,0.0
REGION,BDICO1R1P00X,2040,0.0
REGION,BDICO1R2P00X,2040,0.0
REGION,BDICO1RCP00X,2040,0.0
REGION,BDICOADIP00X,2040,0.0
REGION,BDICOAIMP00X,2040,0.0
REGION,BDICOAPRP00X,2040,0.0
REGION,BDICOASCC01N,2040,0.0
REGION,BDICOASCP01N,2040,0.0
REGION,BDICOASCP01O,2040,0.0
REGION,BDIEL1TRP00X,2017,0.08204842477782576
REGION,BDIEL1TRP00X,2018,2.810336974622674
REGION,BDIEL1TRP00X,2019,0.7396430777304308
REGION,BDIEL1TRP00X,2020,0.08237715848943837
REGION,BDIEL1TRP00X,2021,4.363255491803457
REGION,BDIEL1TRP00X,2022,4.319522537034644
REGION,BDIEL1TRP00X,2023,4.281000716519721
REGION,BDIEL1TRP00X,2024,4.2493106232808895
REGION,BDIEL1TRP00X,2025,4.8904236946539825
REGION,BDIEL1TRP00X,2026,4.903546432981932
REGION,BDIEL1TRP00X,2027,3.0811253950573123
REGION,BDIEL1TRP00X,2028,2.8971496470743077
REGION,BDIEL1TRP00X,2029,2.7952950963360337
REGION,BDIEL1TRP00X,2030,1.8132181530231404
REGION,BDIEL1TRP00X,2031,1.3850470497170466
REGION,BDIEL1TRP00X,2032,1.447110499492865
REGION,BDIEL1TRP00X,2033,1.511954989666561
REGION,BDIEL1TRP00X,2034,1.579705137636942
REGION,BDIEL1TRP00X,2035,1.6303165559202273
REGION,BDIEL1TRP00X,2036,1.5896326933138087
REGION,BDIEL1TRP00X,2037,1.6667479578939053
REGION,BDIEL1TRP00X,2038,1.7472723806456087
REGION,BDIEL1TRP00X,2039,1.8314622967437855
REGION,BDIEL1TRP00X,2040,1.8959401313037714
REGION,BDIEL2DIP00X,2017,0.5343038379572962
REGION,BDIEL2DIP00X,2018,18.301068369810075
REGION,BDIEL2DIP00X,2019,4.816596250568386
REGION,BDIEL2DIP00X,2020,0.5364445699000048
REGION,BDIEL2DIP00X,2021,2.7381268489948085
REGION,BDIEL2DIP00X,2022,2.4533354512139263
REGION,BDIEL2DIP00X,2023,2.20247924523613
REGION,BDIEL2DIP00X,2024,1.9961116216213524
REGION,BDIEL2DIP00X,2025,6.171075071886495
REGION,BDIEL2DIP00X,2026,6.256531062932329
REGION,BDIEL2DIP00X,2027,8.256681434495935
REGION,BDIEL2DIP00X,2028,7.058621282768538
REGION,BDIEL2DIP00X,2029,6.395338867289734
REGION,BDIEL2DIP00X,2040,0.0
REGION,BDIEL3DIP00X,2021,25.675631996121993
REGION,BDIEL3DIP00X,2022,25.675631996122082
REGION,BDIEL3DIP00X,2023,25.675631996122004
REGION,BDIEL3DIP00X,2024,25.675631996122082
REGION,BDIEL3DIP00X,2025,25.675631996121826
REGION,BDIEL3DIP00X,2026,25.6756319961218
REGION,BDIEL3DIP00X,2027,11.807775966906064
REGION,BDIEL3DIP00X,2028,11.807775966905162
REGION,BDIEL3DIP00X,2029,11.807775966905165
REGION,BDIEL3DIP00X,2030,11.80777596690605
REGION,BDIEL3DIP00X,2031,9.01950228074638
REGION,BDIEL3DIP00X,2032,9.423662866423596
REGION,BDIEL3DIP00X,2033,9.84593373955742
REGION,BDIEL3DIP00X,2034,10.287126415477399
REGION,BDIEL3DIP00X,2035,10.74808877322251
REGION,BDIEL3DIP00X,2036,11.229706684974172
REGION,BDIEL3DIP00X,2037,11.732905718524687
REGION,BDIEL3DIP00X,2038,12.258652916018312
REGION,BDIEL3DIP00X,2039,12.807958652403352
REGION,BDIEL3DIP00X,2040,13.38187857715773
REGION,BDIEL4DIP00X,2040,0.0
REGION,BDIELRWABP00,2040,0.0
REGION,BDIGEOCVP01N,2024,280.1603002533667
REGION,BDIGEOCVP01N,2027,124.72015783499506
REGION,BDIGEOCVP01N,2040,0.0
REGION,BDIGEOCVP01O,2040,0.0
REGION,BDIHFODIP00X,2040,0.0
